,y
2351,0.0
3892,0.0
3010,0.0
3687,0.0
2129,1.0
2006,0.0
2388,0.0
2465,0.0
2001,0.0
2596,0.0
3277,0.0
3838,0.0
2184,0.0
2916,0.0
2830,0.0
3531,0.0
2537,0.0
3679,0.0
2876,0.0
2527,1.0
3793,0.0
2908,0.0
3902,1.0
3990,0.0
3262,0.0
2622,0.0
2739,0.0
3986,0.0
3939,1.0
3444,0.0
3718,0.0
3441,0.0
3802,0.0
3809,0.0
3335,1.0
2747,1.0
3942,1.0
3209,0.0
2730,0.0
3502,0.0
3702,0.0
2781,0.0
3500,0.0
2994,0.0
2164,0.0
2865,0.0
2118,1.0
3966,0.0
2612,0.0
2627,0.0
2604,1.0
3650,1.0
2535,0.0
2396,0.0
2384,0.0
2520,0.0
3671,0.0
2049,0.0
3897,0.0
2194,0.0
2110,0.0
2584,0.0
2484,1.0
3625,0.0
3622,1.0
2251,0.0
2719,0.0
2630,0.0
2317,0.0
2043,0.0
2749,0.0
2434,0.0
2046,0.0
2709,0.0
3584,0.0
2296,0.0
2462,0.0
2111,0.0
2935,0.0
2382,0.0
2424,0.0
3507,0.0
2508,0.0
2034,0.0
2466,0.0
2438,0.0
2446,0.0
2572,0.0
2794,0.0
3075,0.0
3271,0.0
2011,0.0
2354,0.0
3000,0.0
3169,0.0
2488,0.0
3527,1.0
3111,0.0
2912,0.0
3923,0.0
2795,0.0
3888,1.0
3989,1.0
2528,0.0
2992,0.0
3342,0.0
3743,0.0
3656,0.0
3124,0.0
3945,0.0
3380,1.0
3860,0.0
2371,0.0
2152,0.0
2383,0.0
2595,0.0
2676,1.0
3915,0.0
2956,0.0
2890,0.0
2945,0.0
2598,0.0
3304,0.0
3662,0.0
2451,0.0
2732,0.0
3756,0.0
2857,1.0
2571,0.0
2417,0.0
3035,0.0
3144,0.0
2444,0.0
3937,1.0
2004,0.0
2758,0.0
2378,0.0
3234,0.0
3486,0.0
2315,0.0
2692,0.0
2952,0.0
2985,0.0
3265,1.0
3125,0.0
2954,0.0
3228,0.0
2045,0.0
2613,0.0
2163,0.0
2135,0.0
2807,0.0
2350,0.0
2039,0.0
2411,0.0
2210,0.0
2331,0.0
3991,1.0
3080,0.0
2741,0.0
3485,0.0
2793,0.0
3865,1.0
3340,0.0
2784,0.0
2786,0.0
3839,0.0
3029,0.0
3353,0.0
3024,1.0
2225,0.0
3566,0.0
2620,0.0
2052,0.0
3822,0.0
3117,0.0
3746,0.0
3965,0.0
2391,0.0
3151,0.0
2013,1.0
3861,0.0
3493,0.0
2650,0.0
3178,0.0
2348,0.0
2881,0.0
2259,0.0
2911,0.0
2500,1.0
2934,0.0
2193,0.0
3506,0.0
2345,0.0
2936,0.0
2958,0.0
3955,0.0
3929,0.0
2086,0.0
2647,0.0
