ix,goal_cost,intv_cost
3022,1.0,0.48400000000000004
2284,1.0,0.8001
2632,1.0,0.6824000000000001
3127,1.0,0.2837
2519,1.0,0.8846
2406,1.0,0.38270000000000004
3846,1.0,0.48460000000000003
3140,1.0,0.684
3229,1.0,0.9822000000000001
2219,1.0,0.48260000000000003
3557,1.0,0.0002
3201,1.0,0.5828
3422,1.0,0.38100000000000006
3212,1.0,0.38230000000000003
2208,1.0,0.782
2920,1.0,0.6827000000000001
2603,1.0,0.6841000000000002
3890,1.0,0.2832
2983,1.0,0.9831000000000001
3542,1.0,0.9826
2860,1.0,0.9844
3237,1.0,0.38270000000000004
3621,1.0,0.0819
2002,1.0,0.38160000000000005
3456,1.0,1.0843
3207,1.0,0.7821000000000001
3709,1.0,0.48310000000000003
3261,1.0,0.5838
3380,1.0,0.38270000000000004
3945,1.0,0.7834000000000001
2877,1.0,0.6824000000000001
2037,1.0,0.38410000000000005
2477,1.0,0.8818000000000001
3737,1.0,0.48300000000000004
3771,1.0,0.6835000000000001
3416,1.0,0.0829
2385,1.0,0.8839
3793,1.0,0.7823000000000001
3592,1.0,0.28200000000000003
3680,1.0,0.08170000000000001
2856,1.0,0.6828000000000001
2587,1.0,0.9833000000000001
2044,1.0,0.9847
3091,1.0,0.9831000000000001
3054,1.0,0.7821
2569,1.0,0.2844
3032,1.0,0.6827000000000001
2765,1.0,0.8819
2790,1.0,0.7837000000000001
3613,1.0,0.8822000000000001
3303,1.0,0.6818
2753,1.0,0.8828
3774,1.0,0.9829
3730,1.0,0.18430000000000002
2657,1.0,0.6837000000000001
2957,1.0,0.7843000000000001
2589,1.0,0.18220000000000003
3033,1.0,0.18080000000000002
3358,1.0,0.8839
2686,1.0,0.6829000000000001
2687,1.0,0.6835000000000001
3255,1.0,0.7821
2871,1.0,0.8844000000000001
3477,1.0,0.883
3788,1.0,0.1826
2921,1.0,0.8827
3198,1.0,0.6834000000000001
3614,1.0,0.5823
3701,1.0,0.9844
2939,1.0,0.8818000000000001
3787,1.0,0.4823
3633,1.0,0.6822000000000001
2135,1.0,0.8819
3841,1.0,0.2823
2557,1.0,1.0834000000000001
3743,1.0,0.7809000000000001
3747,1.0,0.7831000000000001
2610,1.0,0.9825
2084,1.0,0.8824000000000001
3015,1.0,0.9843000000000001
3153,1.0,0.8819
3218,1.0,0.982
3571,1.0,0.7815000000000001
3676,1.0,0.6831
2942,1.0,0.7822000000000001
2128,1.0,0.6847000000000001
3802,1.0,0.48260000000000003
3462,1.0,0.0833
2388,1.0,0.5846
3111,1.0,0.9818
2270,1.0,0.5827
2098,1.0,0.6851
2058,1.0,0.3839
3327,1.0,0.8827
2878,1.0,0.28350000000000003
3248,1.0,0.08310000000000001
2499,1.0,0.38480000000000003
3274,1.0,0.4828
3657,1.0,0.6828000000000001
3986,1.0,0.6849000000000001
3530,1.0,0.6829000000000001
2709,1.0,0.382
2533,1.0,0.9815
2854,1.0,0.7844000000000001
2431,1.0,0.9832000000000001
2631,1.0,0.8819
3742,1.0,0.6837000000000001
2996,1.0,0.3835
3434,1.0,0.6844000000000001
2806,1.0,0.5838
3770,1.0,0.8841000000000001
3506,1.0,1.1833
3605,1.0,0.8839
3907,1.0,0.6845000000000001
3639,1.0,0.6842000000000001
3290,1.0,0.5849
2886,1.0,0.783
2376,1.0,0.48240000000000005
3078,1.0,0.9827
2738,1.0,1.0826
2314,1.0,0.8816
3641,1.0,0.8818
2225,1.0,0.6834000000000001
3447,1.0,0.685
3162,1.0,0.5831
3210,1.0,0.6835
3163,1.0,0.7815000000000001
3813,1.0,0.5833
2062,1.0,1.084
3998,1.0,0.6819000000000001
2069,1.0,0.38280000000000003
3930,1.0,0.7824000000000001
2599,1.0,0.6837000000000001
2349,1.0,0.1825
2263,1.0,1.0829
3445,1.0,0.1845
2683,1.0,0.18370000000000003
3123,1.0,0.3834000000000001
3012,1.0,0.08410000000000001
3960,1.0,0.0819
3863,1.0,0.8811
2279,1.0,0.882
3216,1.0,0.38420000000000004
2734,1.0,0.7845000000000001
2810,1.0,0.5832
2022,1.0,0.8824000000000001
2249,1.0,0.7832000000000001
3343,1.0,0.6829000000000001
3297,1.0,0.7834000000000001
2287,1.0,0.6832000000000001
2035,1.0,1.0832
2553,1.0,0.9842000000000001
3851,1.0,0.6816000000000001
2969,1.0,0.7844000000000001
2046,1.0,0.6843000000000001
2842,1.0,0.7843000000000001
2340,1.0,0.9826
2515,1.0,0.7839
3628,1.0,0.7839
3750,1.0,1.0842
3660,1.0,0.8833000000000001
3995,1.0,0.683
2933,1.0,0.084
2989,1.0,1.0824
3165,1.0,0.8836
3415,1.0,0.9841
3618,1.0,0.2833
2283,1.0,0.5829
2143,1.0,1.0823
2009,1.0,0.983
3807,1.0,0.885
2053,1.0,0.6836000000000001
3186,1.0,0.8832000000000001
2318,1.0,0.8827
3291,1.0,0.6838000000000001
2697,1.0,0.5829
3068,1.0,1.083
2113,1.0,0.8809
2172,1.0,0.9815
3634,1.0,0.7829
3205,1.0,1.0826
3286,1.0,0.1835
3075,1.0,0.5833
2899,1.0,0.9844
3005,1.0,0.6824000000000001
2652,1.0,0.7829000000000002
3341,1.0,0.3834000000000001
3152,1.0,0.6823000000000001
2238,1.0,0.38260000000000005
2298,1.0,0.7838
2548,1.0,0.8847
2409,1.0,0.2825
2696,1.0,0.7842000000000001
3330,1.0,0.7822000000000001
2772,1.0,0.2843
3974,1.0,0.584
2206,1.0,0.0847
3011,1.0,0.6829000000000001
2594,1.0,0.8824000000000001
3892,1.0,0.9
