,y_hat
12655,False
15965,False
15679,False
18494,False
13777,False
10913,False
18728,False
19962,False
11944,False
19884,False
12605,False
18801,False
18055,False
17713,False
17249,False
13556,False
12088,False
13652,False
10548,False
19742,False
15008,False
13356,False
12477,False
12661,False
15646,False
11557,False
14694,False
10661,False
18686,False
11865,False
15927,False
14343,False
12493,False
12340,False
14111,False
14050,False
19569,False
12574,False
19077,False
17396,False
12927,False
11014,False
19080,False
10062,False
13965,False
10571,False
14781,False
14957,False
11816,False
17194,False
12239,False
12908,False
11894,False
10061,False
12897,False
16715,False
14727,False
13352,False
17122,False
18658,False
13963,False
10494,False
13707,False
15934,False
12089,False
16829,False
10802,False
13458,False
12388,False
19717,False
15617,False
13896,False
15027,False
14524,False
12377,False
12913,False
10218,False
13682,False
14510,False
13271,False
10350,False
16076,False
12410,False
11332,False
14166,False
15423,False
18567,False
13068,False
17068,False
19868,False
17677,False
14415,False
11570,False
12901,False
17117,False
17731,False
14438,False
10838,False
14059,False
13571,False
19710,False
14093,False
19753,False
19229,False
12207,False
19087,False
15385,False
11682,False
17316,False
13082,False
18620,False
14348,False
15029,False
13471,False
13316,False
19291,False
12724,False
11787,False
10260,False
14124,False
15477,False
17807,False
12917,False
10408,False
19617,False
11761,False
19218,False
15496,False
10362,False
13722,False
19046,False
17070,False
18607,False
18232,False
15166,False
19621,False
18770,False
19347,False
12590,False
13907,False
19658,False
16179,False
17349,False
12756,False
11606,False
18042,False
18106,False
18325,False
11859,False
14575,False
17519,False
14400,False
10684,False
10142,False
17381,False
11906,False
19630,False
15931,False
14303,False
19225,False
15099,False
15549,False
13868,False
18584,False
10790,False
15998,False
14756,False
19963,False
10243,False
12046,False
10003,False
15716,False
14794,False
16568,False
10962,False
18255,False
18682,False
10159,False
12572,False
18338,False
19154,False
19161,False
18142,False
16824,False
16461,False
18488,False
15763,False
11401,False
15295,False
12285,False
11024,False
10663,False
12211,False
18799,False
16510,False
14434,False
11654,False
14013,False
11920,False
10368,False
