,h_post,h_post_individualized
15390,0.74,
16106,0.78,
10579,0.96,
10941,0.88,
17792,0.74,
15487,0.9,
11884,0.86,
19608,0.96,
10246,0.88,
13034,0.7,
14368,0.9,
13423,0.7,
15787,0.88,
18365,0.92,
11051,0.9,
13596,0.7,
11355,0.86,
19569,0.74,
13906,0.74,
15572,0.88,
19302,0.84,
12880,0.9,
12317,0.9,
18429,0.74,
19645,0.94,
17657,0.7,
12406,0.92,
13089,0.76,
18066,0.84,
14895,0.78,
16288,0.78,
17933,0.88,
16901,0.86,
15712,0.92,
13062,0.96,
12766,0.76,
16955,0.92,
15938,0.9,
19560,0.74,
14612,0.88,
18003,0.92,
16450,0.78,
11038,0.88,
10813,0.76,
18950,0.9,
12898,0.74,
12226,0.94,
17737,0.9,
10684,0.92,
10415,0.8,
18927,1.0,
17916,0.78,
19002,0.9,
11988,0.74,
15255,0.86,
10122,0.84,
17195,0.9,
13282,0.86,
11007,0.9,
15571,0.82,
12906,0.94,
11018,0.94,
19449,0.82,
19058,0.98,
16346,0.74,
10343,0.9,
18226,0.88,
14252,0.84,
17378,0.9,
10266,0.94,
15485,0.78,
11739,0.74,
13820,0.94,
17728,0.92,
16503,0.9,
10481,0.82,
19431,0.94,
17103,0.92,
18220,0.74,
11952,0.88,
18439,0.9,
10447,0.9,
12954,0.92,
18774,0.9,
15436,0.86,
19787,0.88,
13635,0.74,
15417,0.72,
19000,0.92,
14404,0.76,
18297,0.92,
19373,0.76,
19877,0.88,
17327,0.88,
12966,0.7,
10222,0.84,
12527,0.8,
10974,0.92,
16195,0.9,
12252,0.78,
19483,0.84,
15605,0.76,
14302,0.82,
13000,0.74,
10795,0.88,
11600,0.88,
19437,0.7,
16119,0.78,
10085,0.72,
17233,0.88,
11813,0.9,
10019,0.74,
12247,0.76,
11005,0.94,
19745,0.84,
18779,0.76,
11184,0.9,
14546,0.76,
11124,0.92,
12315,0.88,
14939,0.94,
14104,0.8,
15772,0.88,
13943,0.76,
19631,0.9,
15037,0.8,
12043,0.84,
18701,0.86,
13032,0.68,
11511,0.94,
14916,0.88,
16494,0.86,
11671,0.86,
14846,0.64,
11489,0.94,
12305,0.8,
17330,0.76,
15973,0.78,
11946,0.68,
13490,0.94,
12227,0.88,
16484,0.9,
11741,0.88,
17129,0.84,
10416,0.82,
19362,0.74,
13304,0.76,
17586,0.9,
18614,0.92,
17163,0.88,
10112,0.72,
12810,0.86,
17857,0.76,
10560,0.88,
14303,0.88,
11382,0.9,
17442,0.86,
12303,0.84,
18715,0.9,
13924,0.8,
12524,0.58,
14539,0.92,
13514,0.88,
10802,0.9,
15706,0.94,
12280,0.8,
13513,0.88,
17689,0.8,
10098,0.9,
15642,0.84,
10166,0.78,
16630,0.86,
14757,0.76,
19134,0.9,
10855,0.74,
19397,0.78,
12660,0.9,
18628,0.88,
15729,0.8,
10569,0.68,
17594,0.72,
11481,0.76,
12477,0.86,
15185,0.74,
16026,0.92,
13186,0.78,
11217,0.86,
11259,0.9,
19237,0.88,
18452,0.88,
18747,0.88,
12002,0.88,
10907,0.74,
17056,0.9,
16264,0.88,
16696,0.9,
19751,0.88,
16763,0.92,
14965,0.9,
10282,0.94,
