ix,goal_cost,intv_cost
286,1.0,6.1
272,1.0,4.0
207,1.0,5.6999999061226845
312,0.752,1.200000025331974
268,1.0,0.8
362,1.0,9.0
323,1.0,5.0
349,1.0,0.700000025331974
217,1.0,2.5
298,0.784,0.2
302,1.0,1.9
319,1.0,7.9
389,1.0,1.2
258,1.0,8.0
321,1.0,4.099999964237213
202,1.0,0.8
277,1.0,0.30000000447034836
213,1.0,0.7000000178813934
317,1.0,3.1000000536441803
395,1.0,1.900000013411045
308,1.0,1.0000000074505806
353,1.0,2.0
244,1.0,3.0
229,1.0,3.100000023841858
246,0.836,2.999999910593033
370,1.0,4.600000113248825
275,1.0,11.2
385,1.0,1.7000000000000002
232,1.0,1.9
304,1.0,0.7999999895691872
309,1.0,1.1000000014901161
234,1.0,8.1
325,1.0,2.6
372,1.0,6.400000244379044
274,1.0,5.0
292,1.0,3.2999999299645424
393,1.0,3.2
361,1.0,0.8999999910593033
364,1.0,7.8999998569488525
296,1.0,5.4999998807907104
331,1.0,0.4
295,1.0,4.800000000000001
328,0.824,2.9
245,1.0,4.0
211,1.0,3.0
397,1.0,1.7999999999999998
252,1.0,3.0999999046325684
326,1.0,0.5
330,1.0,3.9
305,1.0,3.6999999582767487
