,x1,x2,x3
355,-0.07561004,-2.281407,1.0686488
226,-0.017225266,-1.2499006,0.62425756
375,-0.34473735,-0.2861662,0.59127784
237,-0.16408812,-0.08296665,0.2641534
382,-0.0885092,-0.35518178,0.40108028
323,-0.49036834,0.14313579,0.587396
301,-0.19919288,-0.01318121,0.26762295
311,-0.16087228,0.18060514,0.16950278
246,0.12426434,-2.8901246,1.3887439
340,-0.07355366,-0.59018683,0.4619035
315,-0.0136066675,-0.023768067,0.18142724
296,0.86632794,-0.34453475,0.18062139
379,-1.1501766,-2.0790787,1.8804735
200,0.3673845,-0.46542472,0.21969715
288,0.13903335,0.17914525,0.48553583
261,-0.92213255,0.24222176,0.7116313
255,-0.10087383,-0.2669828,0.35100365
369,-0.21558316,0.22988401,0.18376191
398,-0.05440085,-0.6106111,0.45981747
293,0.39935994,0.111067295,0.5408317
228,0.43666685,-0.63794404,0.24541244
274,0.21476912,-2.2679973,0.9092927
217,-0.15859829,0.17178807,0.23599839
395,-0.08558673,-0.937065,0.70731497
335,-0.18105963,-1.5033221,0.92121124
316,-0.113418914,-0.0313436,0.2198812
292,-0.15157972,0.22425787,0.54607654
256,0.22893773,-0.56741905,0.27110416
325,-0.46635664,0.3098237,0.42832366
319,0.25967506,0.22139347,0.18090552
370,-0.24473743,1.0473108,0.601105
391,-0.11743234,0.5004007,0.37533137
387,0.39363605,-0.606115,0.14172226
270,-0.22615409,0.30643535,0.23393607
337,-0.34307992,0.11192818,0.4069506
202,-0.22913352,0.14294629,0.22574246
350,0.2294831,-0.10370588,0.16145667
287,-0.51663387,-0.342131,0.6248405
333,-0.15831853,0.5327988,0.4434967
229,-0.62721586,-0.23020183,0.7380079
310,-0.51876557,0.23089099,0.3971901
309,-0.03592363,-0.15639502,0.22187924
290,-0.5960923,-0.46526808,0.71252096
376,0.04983847,-0.25527838,0.24155648
331,-0.11465168,-0.088124484,0.29571974
334,-0.11215506,-0.12482047,0.25496617
248,-0.15536153,0.1278348,0.1870079
286,-0.07129199,-0.91313493,1.2926685
357,0.38297462,-0.14861435,0.2696554
298,-0.18562093,0.30346504,0.17959802
