ix,goal_cost,intv_cost
378,1.0,7.8
312,1.0,1.4
300,1.0,1.5000000149011612
216,1.0,1.6
392,1.0,2.3000000715255737
359,1.0,1.0
335,1.0,4.6
342,1.0,1.9
250,1.0,4.9
326,1.0,6.100000023841858
361,1.0,2.0
339,1.0,2.000000014901161
204,1.0,6.8999999999999995
340,1.0,6.7
399,1.0,3.499999910593033
333,1.0,1.0
200,1.0,2.4000000000000004
379,1.0,4.1
238,1.0,1.3
220,1.0,0.4
202,1.0,0.6000000000000001
242,1.0,0.8
254,1.0,5.4
231,1.0,7.2
218,1.0,10.599999785423279
279,1.0,0.4
309,1.0,3.7
298,1.0,0.8999999999999999
313,1.0,9.99999988079071
203,1.0,3.3
329,1.0,3.8000000000000003
265,1.0,2.6
355,1.0,5.199999809265137
261,1.0,4.0
296,1.0,7.6
228,1.0,6.199999928474426
390,1.0,4.5
328,1.0,7.9999998807907104
377,1.0,1.2
367,1.0,1.1
369,1.0,2.200000047683716
272,1.0,3.0
293,1.0,9.100000143051147
391,1.0,1.0999999791383743
269,1.0,2.0
287,1.0,1.4000000059604645
327,1.0,5.3999999999999995
352,1.0,2.3
252,1.0,2.5999999999999996
347,1.0,2.80000002682209
