,x1,x2,x3
384,0.35930088,0.97443867,1.0137067
343,-0.7615417,-0.75087833,0.32660806
359,-0.2323565,-2.902085,0.08795514
234,-0.21058115,-0.42536777,0.2779802
318,0.2068824,0.28445637,0.23845664
325,-0.46638006,-0.97071725,0.40399122
350,-0.017629266,0.0018454492,0.34095216
382,0.6366816,-1.1398025,-1.4504765
312,-0.4764898,-0.45420852,0.38059643
328,0.22289623,-1.2687149,-2.4518528
273,0.70840526,0.29351652,0.08274837
374,0.15179418,-2.7267814,0.07193961
338,0.5908413,-1.8855327,0.26255947
247,-0.32022452,-0.30057383,0.26617002
259,0.18219015,0.5627067,0.23094894
205,-0.31908545,-0.425503,0.35085773
240,0.56125474,-0.5962249,0.20570174
213,-0.4079264,-2.4865675,0.14000502
229,-0.30571303,-1.7642233,0.37562066
210,-0.45262402,-1.8658906,0.09643316
261,0.45090958,0.30474088,0.18512258
323,-0.45712864,-0.42026317,0.32940876
348,-0.47628164,-0.508269,0.3467908
321,0.36910135,-1.8505824,0.71504736
270,-0.48629704,-0.9588974,0.270938
283,-0.4398227,-2.3434498,0.15935874
223,0.16147485,0.39079928,-0.1126582
265,-0.15242115,-1.9550148,0.11199808
282,0.11397288,-0.46920195,0.26993144
319,-0.7118251,-2.4099932,0.5500452
364,0.47896987,0.09863537,0.33634156
238,-0.46438342,-0.41030496,0.36847925
305,-0.43915832,-2.1427913,0.23021793
351,0.91272944,-0.5697098,-0.015668105
365,0.16657941,0.39791134,0.38674557
237,-0.37956113,-0.61864763,0.21629214
203,-0.34468699,-0.5150485,0.57731056
344,-0.41841406,-0.38686606,0.60749495
367,-1.3692355,-2.247331,0.3614292
366,-0.51651293,-0.64863116,0.3593676
306,-0.49967957,0.92477584,0.66182196
284,-0.44460604,0.24399869,0.36147088
317,-0.6917117,-0.022798251,0.852417
231,-0.5006307,-0.7687093,0.26535368
327,0.3184905,-1.1479973,0.039824534
295,0.49871606,-0.0811583,0.21628168
236,0.4510942,0.8582638,0.35060474
228,-0.55251783,-0.5744467,0.42034036
253,-0.48286217,0.1417456,0.43251085
342,-0.44903472,1.0159286,0.52772003
