,x1,x2,x3
287,-0.07553761,-0.41181177,0.3994695
233,-1.6674763,-2.1532404,-5.1356306
388,-0.22784983,-0.73047584,-0.17471892
278,0.69292593,0.4946166,-0.96386707
217,0.385738,-1.9006284,-0.9735476
224,-1.5901183,0.3071946,-1.5724266
269,-0.46740097,-0.87408984,-1.6823647
329,-0.07066231,0.36852384,-0.82231814
354,-0.80860436,-0.50972766,-2.5658119
353,-0.20502865,-0.99075735,-1.5678604
334,-0.16112125,-0.9299151,0.4936394
316,-0.029449847,-0.059288025,-0.5559099
270,1.3856091,-1.0796733,-0.20263678
344,-0.6863276,0.042479873,-0.023144186
292,-0.2392857,-2.7224069,-1.1693666
249,0.67413616,0.035341322,-0.49649888
373,-2.1239219,-1.6010733,-3.2786713
264,-1.0407716,-0.9342268,-3.1082335
335,-1.2013278,-2.1295238,-2.3897958
347,-0.88637686,-0.45167902,-0.90133154
399,-0.8304513,-1.6602371,-2.9180286
376,-1.543672,-1.2174853,-1.7241534
284,-0.5113039,-0.99832904,-0.7840835
234,0.19730756,-0.14733937,-0.6328789
280,-0.77739227,-1.7500324,-1.4842849
222,-1.1119684,-3.0135524,-5.8365636
258,-0.6606485,0.6954344,0.2908648
260,-0.78521323,-0.25550783,-0.74932826
236,-0.37417465,-1.0827374,-1.0217061
336,-1.7790219,-1.8031604,-4.4188776
220,0.37596434,-1.3372333,-3.2088943
205,-1.4900814,-0.552465,-2.5920098
231,-0.030516792,0.47040707,-0.20501602
266,-1.7194012,-0.91777796,-2.085822
250,0.119796395,-1.1054537,-1.9486036
240,-0.71074414,-0.9727683,-1.7914768
226,-0.11015814,-0.98406833,-1.7316682
385,-0.6314253,-1.0588868,-0.6679809
380,-0.11307384,-0.010400072,-1.2174838
279,-0.39735863,-1.2532761,0.24260867
311,-1.0987986,-3.0555255,-3.7799742
256,-0.3358496,-1.2813648,-0.34616008
298,-0.20462248,-0.96730244,-0.19030024
331,0.03844142,0.794973,-0.021834731
255,-0.84712654,0.52184707,-0.8512109
351,-1.635138,-0.60881615,-0.75443244
265,-0.4295704,-0.17308724,-1.966173
215,-1.993105,-1.3877914,-3.7409766
219,0.4964955,-0.3740903,0.4216815
387,-0.73426855,-1.5460639,-2.638083
