,x1,x2,x3
281,-0.08257464,0.01569499,0.8315711
294,-0.5796122,-0.5332523,0.8636624
310,-0.18417034,-0.008202541,1.2174153
200,0.15334064,0.63663185,0.2638442
362,-0.84595907,-1.5061942,1.2301056
387,-0.5643277,-0.3768708,0.9710907
383,-0.58461285,-0.6065723,0.8998648
202,-0.07359657,-0.21989289,0.646351
280,-0.27895507,-0.37202725,0.6749617
210,-0.06796646,-0.6506058,0.9879041
317,-0.20197926,-1.1622204,1.3589376
266,0.431545,-0.044341624,0.5390792
221,-1.1765357,-0.62246114,0.8571423
314,-0.23275317,-1.7017096,1.2657822
320,0.2952317,0.8072299,0.24651611
204,-0.04516328,-0.029835295,0.53132784
326,-0.09174824,-0.03205604,0.58335185
264,-0.48076865,-1.129482,0.9690708
396,-1.0603781,-1.6909286,1.0937049
307,-1.1550936,-0.71864814,0.9187807
282,-1.0774688,-0.64651734,0.929167
319,0.0076222047,-0.12437984,0.5267377
284,-0.83201975,1.1972992,0.90249044
265,-0.98063076,0.4585453,0.5537126
333,-1.1087791,0.19995943,0.59110826
289,-0.61646944,-0.7099618,0.9524032
359,-0.33108738,-0.3207767,1.0037154
259,-1.0034136,-1.7287847,1.3438886
258,0.094951555,-0.7524866,0.87746614
374,-0.110370114,-0.61750346,0.91050327
248,-0.22448492,-0.4070475,1.046541
349,-0.2878388,-1.1055363,0.92185885
385,-0.041150965,-1.1415384,1.1114627
381,-0.49308932,-0.89561546,0.8711818
394,-1.081347,0.64853364,0.6367292
398,-0.049371276,-0.39559165,0.96038854
249,0.10246428,-0.20278303,0.5779752
355,-1.2086968,-1.15064,0.87319356
328,0.6312775,-1.2679304,1.0779144
240,-1.3197592,-2.1313138,1.2126961
372,-0.19669008,0.46874306,0.97231257
237,-0.45837718,-1.3258681,1.2785172
378,-1.5858164,-1.1293446,1.1111939
338,-0.8684598,-0.10804486,0.5606005
243,-2.1593766,-0.06158922,0.6471538
261,-0.98226774,-0.58673626,0.91369885
376,0.48862582,-0.7051018,0.90988743
234,0.10849714,-1.2857752,1.1218879
260,0.20331012,-0.6040935,0.9556141
244,-1.1792076,-1.7376609,1.323202
