,y_hat
312,False
230,False
241,False
213,False
203,False
323,False
237,False
373,False
301,False
314,False
287,False
353,False
388,False
352,False
370,False
399,False
248,False
308,False
344,False
228,False
225,False
316,False
259,False
386,False
261,False
258,False
376,False
289,False
220,False
253,False
264,False
265,False
206,False
267,False
209,False
359,False
350,False
375,False
393,False
254,False
320,False
313,False
321,False
283,False
396,False
309,False
290,False
238,False
247,False
229,False
