ix,goal_cost,intv_cost
219,1.0,2.3
367,1.0,2.600000001490116
254,1.0,1.6
281,1.0,2.1
333,1.0,2.1
337,1.0,7.699999999999999
394,1.0,2.7
334,1.0,4.100000023841858
382,0.874,4.1
253,1.0,1.0
258,1.0,3.5999998822808266
216,1.0,1.9
207,1.0,7.4
365,1.0,8.5
288,1.0,4.6
343,0.772,4.0
317,1.0,2.8000000715255737
220,1.0,2.0999999791383743
325,1.0,5.7
396,0.872,3.5000000596046448
298,1.0,4.7
374,1.0,4.1
384,1.0,3.9
348,1.0,1.6000000014901161
214,1.0,1.400000050663948
247,0.762,1.5999999642372131
242,1.0,3.6
289,1.0,3.5999999999999996
379,1.0,4.5
310,1.0,1.1
346,1.0,0.8999999999999999
330,1.0,1.3
370,1.0,4.0
296,1.0,7.8
320,1.0,1.1
255,1.0,9.600000000000001
307,1.0,5.500000216066837
327,1.0,0.30000000000000004
264,1.0,5.1
266,1.0,3.9000000000000004
369,1.0,3.6
364,1.0,3.4999999403953552
338,1.0,2.7
314,1.0,3.5
322,1.0,1.200000025331974
353,1.0,1.1
211,1.0,1.2999999999999998
225,1.0,2.3
246,0.766,0.6000000000000001
351,1.0,3.0999999999999996
