,y_hat
235,False
283,False
295,False
312,False
253,False
229,False
284,False
214,False
329,False
392,False
231,False
372,False
352,False
319,False
331,False
340,False
240,False
320,False
342,False
365,False
201,False
398,False
248,False
332,False
236,False
259,False
290,False
239,False
330,False
356,False
381,False
200,False
277,False
216,False
232,False
299,False
333,False
255,False
251,False
334,False
382,False
238,False
230,False
224,False
289,False
301,False
368,False
286,False
269,False
292,False
