,y_hat
287,False
280,False
299,False
226,False
295,False
311,False
268,False
324,False
229,False
370,False
282,False
335,False
398,False
258,False
381,False
248,False
253,False
334,False
210,False
284,False
349,False
235,False
254,False
277,False
327,False
339,False
259,False
344,False
200,False
365,False
351,False
394,False
329,False
261,False
266,False
250,False
255,False
319,False
203,False
352,False
206,False
303,False
368,False
376,False
286,False
240,False
380,False
251,False
312,False
216,False
