,years_experience,degree,nr_commits,nr_languages,nr_stars
234,2.0,0.0,1008.0,3.0,6.0
399,1.0,1.0,2020.0,6.0,7.0
304,0.0,0.0,1021.0,4.0,3.0
344,0.0,2.0,4.0,11.0,11.0
230,2.0,2.0,2019.0,7.0,7.0
372,0.0,0.0,2.0,12.0,14.0
370,3.0,0.0,2021.0,2.0,6.0
325,2.0,0.0,2026.0,2.0,2.0
258,1.0,0.0,1020.0,4.0,4.0
314,1.0,1.0,2019.0,3.0,3.0
221,0.0,2.0,2020.0,2.0,1.0
284,2.0,0.0,2022.0,5.0,8.0
219,3.0,0.0,2024.0,10.0,3.0
241,0.0,0.0,1020.0,0.0,6.0
297,0.0,0.0,1022.0,2.0,4.0
320,2.0,0.0,1010.0,9.0,5.0
367,1.0,1.0,2026.0,7.0,10.0
307,0.0,2.0,1010.0,1.0,7.0
329,2.0,0.0,2021.0,6.0,9.0
257,1.0,0.0,3037.0,2.0,4.0
356,3.0,0.0,3031.0,6.0,8.0
319,2.0,0.0,2028.0,3.0,4.0
311,2.0,0.0,2024.0,1.0,5.0
363,1.0,0.0,2022.0,1.0,6.0
223,0.0,1.0,2018.0,6.0,0.0
248,1.0,0.0,2019.0,6.0,2.0
264,3.0,1.0,3030.0,8.0,1.0
249,1.0,0.0,1007.0,1.0,5.0
333,1.0,0.0,2019.0,4.0,6.0
378,2.0,1.0,2024.0,0.0,4.0
294,1.0,1.0,2022.0,5.0,5.0
232,2.0,0.0,1009.0,4.0,6.0
239,2.0,0.0,2023.0,1.0,7.0
274,4.0,0.0,3033.0,7.0,7.0
323,2.0,0.0,2021.0,1.0,2.0
253,1.0,2.0,2021.0,1.0,4.0
385,1.0,0.0,2024.0,2.0,8.0
312,2.0,0.0,1020.0,4.0,4.0
242,0.0,1.0,2018.0,2.0,12.0
215,2.0,0.0,2017.0,6.0,7.0
283,1.0,1.0,2022.0,9.0,8.0
282,1.0,1.0,1007.0,3.0,8.0
388,2.0,0.0,3029.0,5.0,5.0
332,3.0,0.0,3031.0,3.0,5.0
371,0.0,1.0,2019.0,1.0,9.0
386,0.0,0.0,1007.0,1.0,9.0
256,2.0,0.0,2019.0,5.0,7.0
279,2.0,0.0,2018.0,6.0,6.0
210,1.0,0.0,1018.0,10.0,5.0
208,1.0,0.0,2018.0,3.0,6.0
