,h_post,h_post_individualized
224,1.0,
326,1.0,
219,0.9999964517440569,
390,0.9999963524904939,
225,1.0,
267,0.9999966387989142,
384,1.0,
277,1.0,
392,1.0,
242,0.9999964499462962,
235,1.0,
332,0.9999964533159302,
351,0.9999967265840713,
340,0.9999965478043008,
251,1.0,
353,0.9999960317147958,
209,0.9999965478588755,
264,0.9999965464644891,
394,0.9999963480999685,
202,1.0,
362,1.0,
303,1.0,
367,1.0,
217,0.9999962434505903,
382,0.9999962440458957,
339,1.0,
213,0.9999967274827017,
205,1.0,
296,1.0,
238,1.0,
293,0.9999965451710305,
297,1.0,
283,0.9999963461531864,
396,0.9999963478975137,
371,1.0,
248,1.0,
356,1.0,
244,0.9999968202496088,
349,0.9999963472812792,
325,0.9999963474830951,
200,1.0,
317,0.9999962480674162,
228,1.0,
253,1.0,
216,1.0,
208,0.9999964487845149,
236,1.0,
322,1.0,
262,0.999996547102343,
376,0.9999968226395206,
