,y_hat
314,False
244,False
346,False
259,False
304,False
268,False
296,False
356,False
284,False
286,False
297,False
352,False
389,False
279,False
285,False
359,False
380,False
211,False
302,False
354,False
386,False
301,False
300,False
348,False
362,False
313,False
299,False
214,False
238,False
316,False
332,False
397,False
369,False
334,False
335,False
288,False
364,False
392,False
318,False
233,False
260,False
351,False
382,False
221,False
305,False
240,False
372,False
395,False
315,False
360,False
