,y_hat
201,False
255,False
353,False
315,False
275,False
272,False
290,False
394,False
338,False
331,False
380,False
326,False
396,False
367,False
213,False
256,False
254,False
263,False
389,False
341,False
362,False
325,False
239,False
260,False
227,False
388,False
283,False
342,False
337,False
292,False
354,False
234,False
392,False
386,False
350,False
200,False
393,False
387,False
333,False
327,False
219,False
293,False
216,False
317,False
390,False
308,False
225,False
299,False
205,False
369,False
