,years_experience,degree
372,2.0,2.0
298,0.0,2.0
211,1.0,1.0
385,0.0,3.0
241,1.0,1.0
330,0.0,2.0
273,1.0,2.0
392,2.0,0.0
293,1.0,1.0
378,2.0,1.0
321,2.0,1.0
359,0.0,3.0
205,1.0,2.0
362,0.0,2.0
394,2.0,1.0
326,0.0,1.0
300,2.0,1.0
265,1.0,1.0
276,3.0,1.0
329,0.0,1.0
217,2.0,1.0
363,1.0,1.0
236,0.0,2.0
200,0.0,2.0
297,0.0,2.0
201,2.0,1.0
259,2.0,1.0
323,0.0,1.0
322,1.0,1.0
313,1.0,0.0
364,0.0,1.0
308,1.0,1.0
345,2.0,2.0
318,0.0,2.0
352,2.0,1.0
221,1.0,2.0
396,1.0,1.0
365,1.0,2.0
239,2.0,1.0
250,1.0,3.0
270,1.0,1.0
269,3.0,1.0
316,1.0,1.0
379,2.0,1.0
213,1.0,1.0
209,1.0,1.0
207,1.0,1.0
231,3.0,0.0
294,2.0,1.0
292,3.0,1.0
