,x1,x2,x3
2353,0.0,-0.1,1.9
2016,0.0,-0.0,0.9
3929,0.2,0.0,1.5
3001,0.0,-0.0,0.4
3129,0.0,0.1,0.2
3644,0.4,0.1,3.7
2880,-0.0,0.0,0.4
3239,-0.0,0.0,0.7
2508,0.0,0.4,1.4
2773,-0.0,0.0,0.3
2644,-0.0,0.0,1.5
2287,0.0,0.0,0.3
3161,-0.0,0.1,0.9
2779,0.1,0.1,2.7
2487,-0.0,0.2,0.7
2426,0.1,0.1,0.7
2637,0.3,-0.0,3.8
2258,0.1,0.0,7.5
3625,0.1,0.1,1.7
3789,0.0,2.0,6.3
3365,-0.0,0.0,2.3
3426,0.1,0.2,1.8
2950,0.0,-0.0,2.8
2654,-0.0,0.1,2.9
2915,0.0,0.2,3.3
3023,0.0,-0.0,0.4
3880,0.0,0.1,0.5
2783,0.3,0.3,1.4
3155,-0.0,0.3,1.8
2956,-0.0,0.0,0.8
2359,0.0,0.0,1.1
3319,-0.0,-0.0,0.7
3535,0.0,0.1,2.1
3314,0.0,-0.0,4.0
2261,0.0,-0.0,0.5
2990,0.0,-0.0,0.7
2885,-0.0,0.2,1.3
3105,0.0,-0.0,0.2
2505,0.0,0.3,1.0
2068,-0.0,-0.0,0.6
3287,0.0,-0.0,1.4
2201,0.1,0.5,1.8
3421,-0.0,-0.0,3.7
2666,0.1,0.5,0.5
3482,-0.0,0.1,0.7
3004,0.1,0.1,2.1
2662,0.0,0.1,0.4
3373,-0.0,0.0,0.1
3579,0.1,0.6,1.6
3069,-0.0,0.0,1.2
2749,-0.0,0.0,0.7
2932,-0.0,0.2,1.6
3328,-0.0,-0.0,2.2
3501,0.1,-0.0,1.8
3130,-0.0,0.0,4.0
3917,-0.0,0.1,0.9
2418,-0.0,-0.0,1.6
2902,-0.0,0.0,1.0
3617,0.0,0.0,3.0
2174,0.0,0.0,0.8
2264,-0.0,0.0,0.9
3514,-0.0,0.0,2.2
2161,0.4,0.7,5.5
