ix,goal_cost,intv_cost
3019,0.856,9.3
3393,0.862,10.7
2217,0.856,5.0
2379,0.861,5.6
2775,0.86,9.2
3949,0.856,2.8
2667,0.8920000195503235,1.0
2819,0.87,0.4
3895,0.856,2.9
2197,0.851,4.4
2597,0.862,2.3
3638,0.88,0.7
3450,0.859,5.300000000000001
2385,0.8619999885559082,1.5
2412,0.855,7.799999999999999
2035,0.8519999980926514,0.5
3772,0.852,6.8
3121,0.864,3.6999999999999997
2907,0.869,6.4
3764,0.855,7.800000000000001
3388,0.856,0.6
2787,0.866,5.1
3573,0.868,0.6
3912,0.86,7.5
2408,0.861,7.699999999999999
2050,0.867,1.5
2742,0.877,1.2
2625,0.888,0.5
3212,0.857,1.7000000000000002
3042,0.856,8.7
3125,0.896,0.5
3631,0.861,7.5
3644,0.86,8.0
2960,0.887,0.7
2983,0.855,11.8
2876,0.852,1.9
3823,0.855,7.6
3173,0.875,2.9000000000000004
2872,0.854,4.5
2102,0.861,1.3
3690,0.852,12.600000000000001
2108,0.873,1.3
3127,0.868,0.9
3978,0.859,6.5
2768,0.854,6.300000000000001
3574,0.864,4.6
2153,0.873,1.2
2878,0.86,9.6
2567,0.862,3.4
2532,0.865,8.7
2773,0.868,1.9000000000000001
2640,0.851,0.8
3228,0.855,3.5
2277,0.856,8.5
2464,0.876,1.3
3782,0.852,7.800000000000001
3360,0.862,9.7
2025,0.864,6.5
3941,0.858,3.5
2688,0.865,6.0
2993,0.854,7.0
3189,0.858,4.6
2181,0.886,1.0
3593,0.852,1.5
3140,0.897,1.2
3958,0.877,1.9
3501,0.851,5.5
2753,0.865,11.9
3530,0.901,0.8
2287,0.867,0.6
3588,0.855,7.7
2909,0.853,9.399999999999999
3056,0.914,2.0
2249,0.861,3.7
3481,0.879,0.7
2063,0.861,9.4
3838,0.854,2.3
3975,0.854,5.2
2652,0.865,2.5
2074,0.863,5.4
2014,0.872,4.3
3661,0.859,4.800000000000001
2578,0.851,11.7
2405,0.878,0.7
2513,0.8709999918937683,1.5
3535,0.86,6.199999999999999
3174,0.903,0.9
2735,0.862,1.7999999999999998
2167,0.892,0.6
3527,0.9,0.6
3083,0.899,1.5
3596,0.864,4.800000000000001
2027,0.864,3.9000000000000004
2621,0.864,5.5
2962,0.861,1.1
3055,0.86,1.3
3651,0.874,3.5
2559,0.875,2.2
3817,0.856,1.0
2104,0.874,1.3
3405,0.889,0.7
3637,0.887,0.5
3352,0.858,4.3
3632,0.853,4.5
3790,0.91,7.2
2093,0.855,1.1
3115,0.86,7.9
3403,0.889,1.2
3193,0.908,0.7
3332,0.859,1.9
2309,0.851,6.300000000000001
3462,0.852,10.5
2336,0.852,9.7
2677,0.855,3.6
2138,0.857,7.2
2173,0.898,0.7
3196,0.856,4.4
2856,0.875,0.9
2087,0.87,2.7
3383,0.892,1.9
2064,0.857,1.5
3626,0.853,4.1
2975,0.859,3.2
3137,0.873,0.8
3510,0.851,0.9
3618,0.853,5.2
2910,0.884,1.0
2265,0.863,2.7
2312,0.856,7.0
3035,0.862,1.9
2426,0.869,3.4
2855,0.861,5.6
2985,0.852,3.0
2272,0.874,2.0
2307,0.888,1.7
2394,0.891,0.5
2560,0.854,7.0
2101,0.861,1.1
3746,0.861,3.1
2571,0.856,8.3
2708,0.881,0.9
2122,0.853,5.300000000000001
3451,0.866,11.1
2530,0.857,11.3
2068,0.856,5.4
2940,0.856,4.8
3863,0.871,3.4000000000000004
3337,0.861,4.0
3880,0.865,4.7
3744,0.859,13.5
2964,0.8500000238418579,4.0
2442,0.862,1.2
2081,0.857,15.299999999999999
3505,0.86,2.4
2225,0.858,2.0999999999999996
3771,0.856,8.1
2031,0.875,3.2
2363,0.852,6.5
2611,0.86,2.6
2018,0.858,2.9000000000000004
3854,0.868,1.2000000000000002
2019,0.865,8.0
3497,0.86,3.8
2003,0.8920000195503235,0.5
2883,0.858,0.8
2536,0.95,0.8
2665,0.862,1.5
2043,0.941,0.9
3361,0.856,6.5
2897,0.857,6.2
2951,0.851,7.1
2901,0.852,2.2
3131,0.863,5.4
2134,0.854,0.9
2475,0.852,6.7
3363,0.88,7.0
3037,0.858,2.8
2830,0.861,2.3
3241,0.851,5.6
3599,0.853,1.3
3904,0.859,1.2
2744,0.881,1.5
3305,0.856,5.7
2674,0.873,1.4
3239,0.862,11.2
3843,0.851,3.9000000000000004
2091,0.8880000114440918,0.5
2893,0.858,10.4
2506,0.895,1.8
3309,0.853,2.7
3009,0.864,9.3
3169,0.861,2.4
3306,0.87,2.8
2700,0.856,8.6
3311,0.852,0.8
2186,0.86,8.5
2438,0.899,0.6
2533,0.867,3.4
3511,0.855,6.4
2861,0.852,2.0
