,x1,x2,x3
2653,0.23475076,-0.3419743,0.12753749
3398,0.9939562,0.36413336,-1.7597089
3497,0.054559838,-0.02449944,-0.009311748
2983,0.4859824,0.4424083,0.8055618
2854,0.33312628,1.0833904,-1.7348245
2155,1.4336655,-0.8325596,-0.99484193
3851,0.58826214,-0.33025026,-0.40611568
2658,1.3023125,0.7410622,-2.6971445
3359,0.8452943,-0.9859762,0.061379958
3683,1.2985775,-0.7182221,-0.94898534
3411,-0.06217723,0.3667683,0.2809909
2625,1.2099906,0.37934393,-2.1029727
2333,0.15384726,0.93091667,-1.2879831
3929,0.7899326,-0.94603217,0.04528866
3479,1.0398079,0.47049856,-2.0083134
2235,0.28606823,0.2135115,-0.62194204
2278,1.0660385,0.30668396,-0.08064218
3894,0.57221484,1.1379105,-2.0730038
2446,0.89051414,-0.004435825,-1.2039207
3512,-0.88520545,1.0142896,0.11799981
3148,0.56480575,0.112299845,-0.8986703
3189,0.5149427,-0.26774216,0.3121918
2851,0.040323745,0.20232674,0.06277226
3939,-0.39729616,2.0322225,-1.820099
3352,1.5312698,-0.63131374,-1.3257651
3964,0.58435225,1.3918378,-2.4311256
3976,-0.16350508,1.2774967,-0.010164356
2627,1.8477924,-1.2930018,-1.0298445
3644,0.9751828,-1.0042379,-0.10879211
3021,0.99885905,0.49006683,-1.9103016
2597,0.60147583,-0.33833212,-0.41979265
2589,0.88229775,-0.31126878,-0.8124854
3468,0.41628814,0.31800735,-0.9038111
3024,0.037093665,-0.03924798,0.048893563
3402,1.1981821,-0.36749887,-1.1658084
3308,0.5861231,-0.6743829,0.06414399
3642,0.5452616,0.37281454,-0.35111034
2253,0.3142045,-0.15214846,0.05104988
3273,1.6613432,0.0072817802,-2.335747
2978,0.73843,-0.5267697,0.2989943
3355,1.0209897,0.5404578,-2.0680244
3738,-0.06694992,1.625807,-1.8256081
2136,0.37746805,-0.13873798,-0.30015528
2674,1.0044185,0.0027469634,-1.3820263
3210,1.3740573,-0.67076474,-1.1205882
2022,-1.0861889,2.8238206,-1.7967535
2125,0.6635067,-0.72175264,-0.041909836
2867,0.4239906,0.6589207,-1.3530314
3607,0.26640683,-0.23162207,-0.056881405
3559,0.34535754,1.1938087,-1.8455434
3007,1.7307571,-1.2349981,-0.8846115
2491,0.76374596,-0.30851036,-0.032845676
2471,0.15837173,-0.24317987,0.23005712
3983,0.03820055,0.2828642,0.12810196
3443,-0.1400659,0.6060142,-0.49552378
3111,0.9899594,-0.97523755,-0.109251216
3528,1.1689951,0.6342837,-2.3808904
2705,1.3170747,-0.82425535,-0.8056905
2182,-0.2566774,0.65155315,0.22619523
2286,0.67006844,-0.38069743,-0.45132962
3924,-0.027825093,0.39630094,-0.3613124
3913,1.3658339,-0.05819409,1.4272674
2098,0.9289738,1.4318616,-3.0138185
3096,0.7154722,0.29556453,-1.3265288
3709,0.034109958,0.097090855,-0.009222001
2163,1.0418503,-0.97216225,-0.20744343
2697,0.39393294,-0.38641953,-0.03055811
3581,0.4212118,0.05027145,-0.6071507
3725,-0.35089192,0.5631063,0.2656233
2868,1.2180687,-0.38164452,-1.1845583
2462,0.21477297,1.2669004,-1.7968701
3585,1.6039379,-0.4317986,1.1038381
3259,-0.59911,1.7877392,-0.14392498
3163,1.0275201,-1.0110748,-0.14640298
3039,0.21664563,0.929333,-1.3062071
3942,0.11645838,0.104155436,-0.25871167
2239,0.070193954,-0.00039094835,-0.0065063327
3451,0.39685717,0.2648111,0.068732545
3002,0.22846648,-0.23072651,-0.016466117
2727,0.7078586,-0.3149432,-0.50588113
2034,0.32927406,-0.34528914,-0.018575335
2968,1.0106916,-0.19239068,-1.1322747
3632,1.10422,-0.607437,-0.8099753
2000,0.62044483,-0.14569905,-0.6065038
3034,0.12148838,0.8848361,-1.1948043
2592,0.50794065,0.51975816,-1.2500024
2216,-0.048410762,0.12508157,-0.035263143
3410,1.0843941,0.07428012,-1.5128579
2850,-0.16639233,0.10400293,0.14129323
2410,1.9373364,1.4505825,-1.4110012
3307,-0.24909575,0.5448426,-0.24996133
2297,0.42500514,0.23591813,-0.7867241
3351,0.69513226,-0.35913178,-0.50228965
2775,0.1036344,0.74540156,-1.0076778
3079,-0.19420132,0.28667226,-0.0054727225
2954,0.2135624,-0.22173002,0.0002670288
2208,0.73242205,-0.24054414,-0.03993546
3108,0.23107176,1.6427879,1.9885381
3764,1.2863088,-0.6562513,-0.97941625
2303,1.9005342,-0.88442194,-1.6062012
3485,-0.024621118,0.22757538,0.07013251
2565,0.3691089,-0.0032446147,-0.43460792
3984,0.13932995,-0.069542445,-0.08735671
2782,1.3529803,0.6688529,-2.6852248
2907,1.5316173,-0.83946645,-1.0739561
3145,0.68043643,-0.8136819,0.044665027
3866,0.4241212,-0.49810472,0.106968254
2467,0.26797602,-0.24937445,-0.006898999
3837,0.33712918,0.8407018,1.1491693
2475,0.116527,1.0131893,-1.2915778
3347,0.79175025,-0.86726826,-0.016487693
3708,0.18387029,0.048639324,-0.21280047
3250,2.0025494,0.036857795,-2.7824748
3130,0.5820621,1.6632674,2.2004137
2304,-0.2190499,1.1415584,-1.029338
3380,1.0684712,-1.1198655,-0.14607677
3945,0.51744616,-0.21660715,-0.44639078
2051,0.6673712,0.028942466,0.02403959
2753,-0.17296319,0.4976489,-0.25235763
2576,0.7276527,-0.78872085,-0.025645543
3392,1.2931064,0.7508064,-2.6122057
2540,-0.3678481,1.0118316,-0.5892464
2317,0.5551629,1.890318,-2.9572845
2009,0.68245596,0.7818631,-1.8222518
2201,0.9793684,0.41324097,-1.7862079
3594,1.052368,-0.7710239,-0.4898358
2197,0.23093154,0.28055006,-0.628857
3663,0.69444096,-0.23559943,-0.60533285
3365,0.44866252,-0.49661183,0.063395455
3881,0.28361017,0.25566995,-0.67161185
3179,1.7159915,0.47367984,-2.8856795
2743,1.1817708,1.4547483,-1.054067
2612,1.1059085,-0.225575,1.1040214
3502,0.84278864,-0.22689846,0.53737843
3804,-0.4249367,1.2980435,-0.8882615
3202,0.04368045,-0.0097595025,0.015432489
2858,1.0745376,1.1309564,-0.0904984
3966,0.7645353,-0.7972957,-0.089131735
2809,0.7900605,-0.49117655,-0.4390275
2894,1.5796717,0.4753697,-2.7924972
2839,0.7167394,-0.7430528,-0.007555914
2368,-0.107367046,0.34077528,0.09464018
3763,1.490229,0.033243038,-2.0678062
2608,0.22238445,0.042420726,-0.3275532
3078,0.931107,-0.026345616,-1.1946871
2257,-0.55571264,1.6051172,-1.0171883
3788,0.11326851,0.33045194,0.364688
2291,1.0329498,-0.8813878,-0.37757832
2714,-0.0048449365,0.3105026,-0.3138625
2459,0.71594155,0.5693687,-1.6470033
3157,0.5000399,0.31171608,-1.0436256
3716,0.49974924,1.2957532,-2.231603
3546,1.1042612,0.9371327,2.1703565
2828,0.42477876,-0.504457,0.09403191
2530,0.7315292,0.46316648,-1.565555
3992,1.1158606,-0.59008837,-0.77608573
2875,1.3400494,-0.15936701,-1.6439816
3447,1.1345913,-0.008373546,-1.5268383
2441,0.89388424,-0.27480942,0.237901
3522,1.0839828,-1.0408592,-0.24734783
3362,0.76649654,-0.31214714,0.39937806
3252,0.024211306,0.37025872,-0.07578106
2551,1.2427559,-0.3684393,-1.2202684
3605,1.0964092,0.43586093,1.532799
2579,0.338628,0.7327323,-0.13038756
2904,0.18689336,-0.22305895,0.15094826
2140,1.1160318,-0.16650668,-1.3442713
2183,1.3086746,-1.0073819,-0.6097439
2187,0.19306159,-0.1897445,-0.017755339
2922,1.2540493,-0.07382727,-1.6082369
2308,1.5946349,-0.10966487,-2.0519996
3435,1.8137411,-0.62569267,-1.7314967
3201,0.8652289,0.96881735,-2.2768724
3244,-0.22512624,0.32026544,0.1144242
3430,-0.62448573,0.7469716,0.050561078
3932,0.76085967,-0.32708687,-0.5961062
3300,-0.9047133,1.0724353,0.12267279
2072,1.7544042,-0.8018617,-1.4550545
2764,1.8806337,-0.21394582,-2.3364415
3617,0.0033260821,1.0506859,-1.2401183
2736,0.7591012,-0.5432796,-0.00992505
2458,0.48442468,-0.6128952,0.07538512
2629,0.6854783,-0.81522036,0.03797407
3353,0.7137554,1.4194245,-2.675872
3830,0.17570476,-0.15392596,0.00090693834
3357,0.19062632,1.3043144,1.5795933
2673,1.505414,-0.008798599,-2.1009078
3309,0.62465596,-0.63831145,-0.08119674
2369,0.088445984,0.27543262,-0.42755455
2498,0.45287654,0.38339886,-1.0228131
3959,-0.0807688,1.1444494,-1.1872832
2664,0.73570997,0.20269811,-0.104220256
2577,0.72982395,0.002385676,0.7002243
3560,1.775748,-1.1333593,-1.0553916
2105,0.4411653,-0.45333886,-0.037254345
3298,0.36780193,-0.39005643,-0.0034750463
3118,1.1284662,-0.7907234,-0.62243676
3399,0.48017222,-0.31881452,-0.19617136
2783,1.0295764,-0.9607528,-0.2119546
3612,0.85814834,1.0460416,-2.3864064
