,x1,x2,x3
3280,-0.42303813,-1.1293486,0.57196903
3218,-1.636303,0.32836878,0.5703564
2037,-1.3178633,-1.5472465,0.48601526
2306,0.19644642,0.45514527,0.65363264
3916,-0.10332798,0.9131651,0.5013117
3596,-2.4038916,-3.0333307,0.5181999
2225,0.799701,0.083194435,0.4915284
2846,-0.7439592,-0.41923568,0.5538226
3089,-0.49043205,-1.7073517,0.49160853
3627,-0.049344163,-0.38431907,0.56975794
3452,-0.16140945,-1.989365,0.4408864
2767,-0.95878404,-2.9764175,0.4470726
2315,-1.2525059,-1.9280558,0.49033874
3463,-0.7028509,-0.96106076,0.56578636
2361,-0.13216877,0.8026364,0.16628921
3753,-0.0591244,-0.5858943,0.5098925
2528,-0.4725196,-1.1256875,0.49502948
2560,-2.9033477,-2.1382966,0.5334859
3755,-1.2563782,-2.5656672,0.5123694
3906,0.46854877,0.5486396,1.9190229
3933,-0.39046076,-2.0948312,0.4442854
3815,-1.1304051,-0.5538843,0.52435774
2784,0.3619617,-0.41758487,0.57572407
3341,-0.12808783,-0.4509486,0.53044283
3026,0.84333324,-0.020020103,0.09376347
3523,-0.7314809,-2.608285,0.5258368
2067,-1.6144928,-0.44165325,0.5380959
3909,-1.2465961,-2.6482,0.43389663
3944,-2.0250916,-1.1227171,0.49839824
2688,-1.3640302,-2.906508,0.43847722
2234,0.51239574,-0.09929997,-1.0464497
2503,-1.7565398,-2.4746041,0.5290047
3187,-1.3590171,1.1240156,0.5670894
3156,-1.207651,0.41545153,0.53895783
3953,-1.8338902,-0.90146005,0.5353859
2342,-0.24573882,-0.70205534,0.5110862
2368,-0.9415212,0.060494244,0.5671153
2220,-1.5390817,-1.760866,0.54032683
2343,-0.25247923,-1.291905,0.5288852
3934,-3.3474946,-3.7363935,0.5241491
2304,-1.2423426,-0.912983,0.50528276
2852,-0.8411874,-1.7689555,0.5451988
3833,0.27789953,-0.65459085,0.4705489
2428,-1.0962601,-1.091424,0.51175493
3985,-0.32323223,-0.2993792,0.5158845
2384,-0.43606296,-0.22044899,0.56375784
2683,0.072220854,0.059208736,0.50195795
2389,-0.28912523,1.0741237,0.45055455
2960,-1.3234582,-1.2125589,0.5286109
3288,-1.6329634,-1.5444293,0.50142205
2828,0.4927819,-1.5508573,-0.7873112
3104,0.94442385,-0.47832662,0.50691336
3298,-0.07711275,-1.2995656,0.46546325
3679,0.5335804,0.7230617,0.8557379
2348,-1.3206671,-1.8973688,0.5152427
3437,-1.2555192,-2.7949593,0.51378316
2562,-0.81916225,-1.1338379,0.4972517
3209,0.80349195,0.26776725,0.42550957
2836,-1.150808,-2.2258997,0.48512936
2132,-0.41409224,-0.76780945,0.501811
2416,-2.215767,-4.4201984,0.47560072
2100,-0.38581473,0.44745755,0.54835236
3347,-1.0693935,0.19867754,0.5702655
2917,-0.9076158,-1.3944592,0.5447789
3049,-0.023873495,-1.3301067,0.44657332
2099,-0.36396518,0.20120016,0.5709142
3564,-1.2837274,-3.006116,0.56004083
2701,-1.3800412,-1.8893809,0.5379579
3996,-1.1835388,0.031409383,0.5923323
2482,-0.6939714,-1.2568864,0.5144039
3395,-0.53918093,-2.4757965,0.46881682
3682,0.28415632,-1.2431524,0.47096807
2670,-1.460791,-0.60284674,0.56765354
3472,0.860776,0.4840815,0.5807706
2421,-0.25579968,-1.4048187,0.53634447
3208,-0.4207821,0.44168663,0.5351385
2066,-0.84276044,-0.73807025,0.5452148
3282,-0.8553878,-0.14105207,0.5607365
2507,-0.3750731,-0.94837415,0.5395877
2281,-0.99106914,-1.7613878,0.4535303
2163,1.1886748,-0.3580526,0.81660974
3672,-1.449489,0.24410856,0.5249723
3886,-0.5009098,-0.736392,0.5329658
3645,-1.4563317,-1.3066238,0.48477563
3416,-1.5081488,-2.085855,0.47444135
3102,-0.7644262,-1.6628081,0.53893185
2085,1.0240574,-0.51547384,0.99571425
3151,-1.2154411,0.3878194,0.5727667
2050,-0.8130132,-2.1584258,0.43901673
3732,-0.4676134,-3.9965138,0.53978854
3921,-1.1398122,-0.8357775,0.51436865
2197,-0.3485651,0.18158448,0.5826379
2647,-0.38005266,-1.1495124,0.45639282
3322,-1.1929145,-1.4607644,0.52518034
2609,-0.8553487,-1.190309,0.5086066
2350,-1.1638249,-2.2992063,0.4882145
3397,-2.1244094,-3.619289,0.5375868
3417,0.46175334,-1.5677238,-0.9764256
2768,0.45636207,0.1700207,1.9029709
2884,0.50029016,-1.1867456,0.11101186
2975,-1.1010492,-0.6037562,0.5672544
3372,0.4828878,0.1804967,3.576333
2719,-0.5040583,-0.14251393,0.54051644
3507,-1.4869031,-0.2758088,0.51927674
2713,-0.76262885,-1.0283697,0.4676366
2943,-0.3994791,0.99627125,-0.7452726
2812,-0.5464396,-0.070980966,0.5167476
2752,-0.8364096,0.31417626,0.5036726
2774,0.040891826,-0.19651121,0.47313708
3522,0.62231433,-0.26536715,0.5321051
3519,-1.0221547,-1.347688,0.50473624
3404,-1.7906197,-0.2640574,0.5647765
2169,-0.05783264,0.7835572,-0.42226404
3509,-1.2788539,-0.8027086,0.51661354
2908,-0.7295646,0.45929462,0.5676438
3638,-0.41217083,-1.1599762,0.549278
3994,-1.0845907,-0.8081989,0.5125919
3202,-0.5145915,-0.02372384,0.5082447
3481,-0.10772184,-0.0876572,0.5571641
3935,-0.388728,0.32725927,0.54319906
2070,-1.3394772,-2.5903573,0.5154819
3650,-1.6790779,-1.2279401,0.5247223
2390,-0.8381786,-2.397369,0.52441835
3358,-1.5698433,-0.7231597,0.55113536
3694,-0.73204994,-3.0865843,0.43155926
3485,-0.55365264,-0.26797363,0.5305702
2445,-0.8621942,-1.7021071,0.5368825
2499,-1.6987249,-0.5422716,0.5665559
2781,-0.6675942,-0.15223485,0.52308375
3305,0.31303254,-0.8204011,0.44682926
2375,0.22263105,-0.21261345,0.47580972
3312,-0.7774779,-2.2485526,0.48246726
3080,0.2000136,0.71911323,0.2861656
3568,0.4585028,0.036522627,0.9723253
2349,-1.5770664,-2.5614023,0.48718795
2092,-0.095621094,0.8270393,0.53445375
2032,-0.018305358,-2.118811,0.42482537
2332,-1.4697772,-1.8167086,0.5256181
3266,-0.35166648,-0.535636,0.54595166
2772,0.53487694,-0.9589174,0.47385395
3249,-0.769899,0.03258854,0.5357429
3718,-0.522657,-0.9150301,0.5268041
2871,0.33207637,0.0040022135,0.56611365
3382,-0.87279123,-2.434095,0.57406956
3651,-0.21459915,-1.2993028,0.4959827
3599,-0.6267094,-1.3809471,0.4563761
3374,0.8413597,1.0525438,0.574465
3891,-1.6208638,-2.9259903,0.4655018
2048,-1.271803,1.0202717,0.520891
2018,-1.2213093,-1.061533,0.484904
3495,-0.059579093,-0.20942537,0.53625244
3711,-0.6032983,0.22350836,0.56217957
2946,-1.245257,-1.7041502,0.47360432
2176,0.5045617,-1.1074705,0.45881632
2312,-0.23598146,1.1992882,0.5827984
2385,-0.08411277,-0.9787826,0.47031027
3852,-0.022772966,0.63171387,-0.18079185
3763,-1.2376668,-0.53680855,0.5685388
2056,-1.0981305,-2.3336387,0.46260804
3436,0.49110812,0.96217334,2.3553598
3567,-0.6834499,-0.16255778,0.5815285
3342,-1.721554,-1.8421847,0.5206054
3123,0.54142714,-0.34485686,-0.100915164
2913,-1.6100578,-1.8420852,0.48857102
3805,-0.93781567,-1.8879238,0.48662192
3092,-0.113290966,-1.4255326,0.4662005
3459,-0.28402674,0.39647484,0.5247501
3479,-0.15856443,-0.9091523,0.46297398
3738,-0.7488544,-0.59362805,0.5502745
2190,-0.25232685,-0.28705257,0.55864584
3858,0.05926793,-0.4036082,0.50747424
3592,-0.29729897,-1.400008,0.5032752
2336,0.03542482,-0.9289114,0.51515853
3058,-0.6827771,-0.18902916,0.53850543
3061,-0.68976164,0.19361961,0.574762
2202,0.1351474,0.14712659,0.54043925
3433,-0.89015585,-2.044299,0.47949225
3676,-0.27474967,-0.97403026,0.4725004
3532,-2.1361938,-0.3788842,0.5896927
2438,-1.4185851,-0.14941907,0.58397585
3902,0.089280866,-0.2549085,0.4709861
2295,-0.55699706,-1.3788216,0.5252226
3041,0.1992244,-0.9572063,0.5042064
3879,-1.8929682,0.09649706,0.5850151
2185,-1.0977597,-1.0288607,0.5784508
2144,-0.20742749,-0.5634264,0.55926937
3096,-0.39445913,-1.0197349,0.56589854
3169,-0.6330642,0.9319578,0.5594698
2063,-1.435725,-1.0105368,0.50423104
2673,-0.026666798,0.49752626,0.55664694
2699,-0.0077610826,-0.009747222,0.5537052
2084,0.7531196,-0.6690736,0.47943518
3070,-1.2108033,-1.5585448,0.5725396
3215,-0.71172494,1.4142066,0.123578906
3505,0.51171505,-0.9749218,-0.49415016
2957,-0.72660404,-1.1076394,0.5633824
2877,-1.1126918,-2.0283568,0.52031195
3195,-0.13880269,0.063667074,0.48384285
2707,-0.23172818,-0.27043948,0.50092113
3838,0.18823285,-1.3093016,0.50315857
