,x1,x2,x3
3280,0.6769619,-0.029348612,0.7719692
3218,0.66369706,0.42836878,2.3703563
2037,0.7821367,0.55275357,1.9860157
2306,0.79644644,1.1551453,1.9536327
3916,0.29667202,0.9131651,0.90131176
3596,1.5961084,-0.43333068,0.61819994
2225,0.69970095,-0.01680559,-0.90847164
2846,0.7560408,1.0807643,2.2538226
3089,0.70956796,0.3926483,0.3916086
3627,0.050655838,1.0156809,1.169758
3452,0.6385906,-1.1893649,0.64088655
2767,0.44121596,0.6235825,1.3470726
2315,0.9474941,0.27194428,1.6903386
3463,0.6971491,0.43893918,1.3657861
2361,0.46783122,0.6026364,0.5662892
3753,0.8408756,0.31410575,1.5098927
2528,0.7274804,0.07431257,0.49502957
2560,0.79665226,1.5617034,3.9334857
3755,0.6436218,-0.5656673,0.8123692
3906,0.66854876,0.7486396,2.319023
3933,0.70953923,-1.094831,-1.3557146
3815,0.66959494,1.2461157,3.424358
2784,0.7619617,-0.01758486,1.0757241
3341,0.6719122,0.34905145,1.630443
3026,0.84333324,0.27997988,0.39376354
3523,0.5685191,0.49171495,1.4258368
2067,0.68550724,1.8583467,4.838096
3909,0.6534039,-0.64820004,-0.36610305
3944,0.77490836,1.6772828,2.8983982
2688,0.63596976,-0.90650797,0.7384772
2234,1.0123957,-0.09929997,-0.5464494
2503,0.7434602,0.025395751,0.9290046
3187,-0.95901716,2.1240156,1.4670894
3156,0.39234897,0.71545154,0.43895787
3953,0.6661098,1.59854,3.035386
2342,0.6542612,0.19794464,2.0110862
2368,0.8584788,1.8604943,4.1671157
2220,0.6609183,0.43913397,3.5403266
2343,0.7475208,-0.29190505,1.8288852
3934,0.7525054,0.46360636,3.0241487
2304,0.65765744,0.98701704,2.6052828
2852,0.05881258,1.0310445,3.1451988
3833,0.67789954,-0.25459087,2.070549
2428,0.7037399,0.70857596,3.111755
3985,0.7767678,0.8006208,3.3158846
2384,0.66393703,0.879551,1.5637579
2683,0.6722208,0.6592087,2.501958
2389,-0.08912523,1.1741238,0.7505545
2960,0.7765418,0.28744113,1.4286109
3288,-0.13296342,1.1555707,3.801422
2828,0.2927819,0.84914273,1.4126889
3104,1.0444238,-0.37832665,-1.5930867
3298,0.22288725,0.80043447,0.76546335
3679,0.7335804,0.92306167,1.2557378
2348,1.1793329,0.50263125,1.9152429
3437,0.44448087,0.6050406,2.2137833
2562,0.5808377,0.26616207,3.0972517
3209,0.80349195,0.26776725,0.42550957
2836,1.449192,-0.3258997,1.4851296
2132,0.78590775,0.43219054,1.4018109
2416,-1.5157669,2.5798016,2.1756008
2100,-0.38581473,1.4474576,-0.55164754
3347,0.7306065,1.9986775,2.9702654
2917,0.69238424,0.2055408,2.4447787
3049,0.6761265,-0.6301068,0.1465732
2099,0.63603485,1.2012002,1.9709141
3564,0.21627259,0.89388406,1.5600411
2701,0.7199588,0.21061915,2.237958
3996,-0.38353878,1.4314094,2.6923323
