,years_experience,degree,nr_commits,nr_languages,nr_stars
2099,1.0,0.0,847.0,7.0,4.0
3021,1.0,2.0,853.0,3.0,3.0
2749,2.0,0.0,848.0,1.0,6.0
3228,1.0,0.0,851.0,6.0,7.0
2338,2.0,0.0,848.0,1.0,8.0
3043,1.0,0.0,846.0,4.0,3.0
3248,0.0,0.0,848.0,5.0,2.0
3226,1.0,0.0,844.0,1.0,3.0
2405,2.0,0.0,846.0,1.0,2.0
3088,2.0,0.0,861.0,7.0,3.0
3650,1.0,0.0,843.0,2.0,1.0
3526,2.0,0.0,849.0,8.0,4.0
3898,1.0,0.0,847.0,4.0,2.0
3540,1.0,1.0,844.0,15.0,3.0
3682,3.0,0.0,842.0,5.0,4.0
2734,3.0,0.0,848.0,11.0,4.0
3126,1.0,1.0,852.0,8.0,4.0
3467,1.0,2.0,848.0,3.0,6.0
2182,0.0,0.0,851.0,6.0,3.0
2695,3.0,0.0,1860.0,1.0,2.0
3733,3.0,0.0,1862.0,3.0,3.0
2565,1.0,0.0,848.0,2.0,2.0
2952,1.0,0.0,847.0,16.0,3.0
2396,2.0,0.0,853.0,1.0,3.0
2821,1.0,0.0,844.0,4.0,1.0
3760,1.0,1.0,848.0,5.0,1.0
3654,3.0,0.0,1860.0,1.0,4.0
3704,3.0,0.0,850.0,2.0,0.0
2801,1.0,0.0,851.0,0.0,5.0
3677,1.0,1.0,852.0,5.0,8.0
2334,1.0,0.0,849.0,8.0,4.0
2561,2.0,0.0,850.0,7.0,9.0
3674,0.0,0.0,847.0,3.0,3.0
3745,1.0,0.0,850.0,2.0,4.0
3617,0.0,2.0,846.0,2.0,3.0
2699,1.0,0.0,840.0,0.0,2.0
3777,2.0,0.0,846.0,6.0,0.0
2383,2.0,1.0,1861.0,12.0,11.0
2243,4.0,0.0,1849.0,4.0,3.0
3455,1.0,2.0,845.0,1.0,5.0
3285,1.0,2.0,846.0,6.0,0.0
3801,1.0,1.0,843.0,6.0,2.0
2885,1.0,0.0,848.0,6.0,4.0
2029,1.0,0.0,848.0,0.0,3.0
3571,0.0,1.0,845.0,3.0,2.0
2716,0.0,2.0,847.0,4.0,2.0
3866,0.0,2.0,850.0,8.0,5.0
2351,0.0,1.0,855.0,5.0,9.0
3049,3.0,0.0,1863.0,8.0,7.0
3332,2.0,0.0,850.0,1.0,7.0
2042,1.0,1.0,853.0,1.0,1.0
3282,2.0,0.0,854.0,3.0,5.0
2702,1.0,1.0,850.0,8.0,1.0
3328,0.0,1.0,847.0,8.0,7.0
2941,2.0,0.0,850.0,4.0,1.0
2097,0.0,2.0,2.0,2.0,11.0
2329,3.0,0.0,851.0,6.0,3.0
2893,1.0,1.0,851.0,24.0,7.0
2791,3.0,0.0,849.0,4.0,3.0
2746,4.0,0.0,2871.0,4.0,0.0
3977,3.0,0.0,857.0,0.0,4.0
3549,0.0,1.0,848.0,3.0,3.0
3028,2.0,0.0,844.0,0.0,1.0
3008,3.0,0.0,1855.0,12.0,1.0
2162,2.0,0.0,847.0,2.0,6.0
2169,1.0,0.0,846.0,3.0,4.0
2837,2.0,1.0,1853.0,1.0,4.0
2147,1.0,1.0,847.0,18.0,1.0
2718,3.0,0.0,1861.0,1.0,1.0
2661,0.0,0.0,842.0,0.0,4.0
2120,3.0,0.0,1863.0,10.0,4.0
2198,1.0,1.0,846.0,5.0,2.0
3430,1.0,0.0,851.0,5.0,3.0
3915,2.0,0.0,845.0,0.0,6.0
2563,1.0,1.0,848.0,2.0,5.0
3943,4.0,0.0,1866.0,1.0,5.0
2489,2.0,1.0,850.0,2.0,4.0
2420,1.0,0.0,851.0,11.0,2.0
3879,1.0,2.0,849.0,1.0,3.0
3996,1.0,0.0,848.0,6.0,5.0
3942,2.0,0.0,849.0,1.0,1.0
2984,3.0,0.0,849.0,6.0,1.0
3483,2.0,1.0,851.0,2.0,9.0
2597,1.0,1.0,847.0,3.0,4.0
2316,2.0,0.0,1859.0,6.0,4.0
