ix,goal_cost,intv_cost
3914,0.868,3.8
2556,0.874,1.1
3688,0.87,2.3
2005,0.862,1.9
3839,0.858,2.8
2995,0.856,4.699999999999999
3448,0.868,1.4
2679,0.882,1.6
2410,0.872,2.9
3431,0.876,1.0
2011,0.866,4.6
2942,0.92,1.4
2359,0.89,2.5
2283,0.874,2.1
3053,0.892,0.9
3836,0.854,8.3
2528,0.8920000195503235,1.0
3543,0.892,1.8
3324,0.87,2.4000000000000004
2442,0.866,1.7000000000000002
3792,0.86,8.8
3790,0.856,4.5
3933,0.96,2.1
2380,0.856,4.4
3460,0.864,1.1
3817,0.8759999871253967,1.5
3245,0.856,3.5999999999999996
3129,0.884,4.300000000000001
2751,0.864,1.8
2761,0.858,1.1
3943,0.856,8.3
2303,0.858,7.699999999999999
3383,0.866,2.8
2938,0.87,3.0
2819,0.854,1.1
3178,0.906,1.7
2235,0.878,2.1
2123,0.872,1.2000000000000002
3185,0.888,1.7
3463,0.852,7.300000000000001
3441,0.852,10.8
3333,0.884,1.8
3946,0.884,5.1
2792,0.858,10.0
3474,0.908,1.3
2038,0.888,1.1
2499,0.868,5.8
2272,0.854,3.5
2495,0.864,7.500000000000001
2779,0.92,3.2
2946,0.852,1.8
3633,0.852,3.0
3586,0.856,7.0
2401,0.864,6.300000000000001
2169,0.89,1.7
2193,0.882,2.2
2897,0.86,0.5
2016,0.858,0.8
3024,0.8619999885559082,1.0
2555,0.858,14.3
3330,0.91,4.2
3169,0.854,2.1
3652,0.876,5.3
2736,0.866,1.1
2791,0.87,0.9
3304,0.862,6.300000000000001
3763,0.86,3.7
3566,0.876,9.600000000000001
3252,0.878,3.5999999999999996
3577,0.856,5.3
2672,0.872,10.8
2013,0.874,4.7
2501,0.86,7.6000000000000005
2290,0.892,1.0
3968,0.862,8.0
3813,0.866,0.8
3285,0.908,2.6
2848,0.858,6.9
2608,0.854,7.8
2589,0.924,2.3
3589,0.862,2.7
2367,0.86,1.4
2684,0.872,5.3999999999999995
3932,0.852,4.199999999999999
2158,0.876,6.7
2461,0.87,5.6
3952,0.868,3.0
2506,0.95,4.4
2803,0.86,3.9000000000000004
3469,0.852,5.5
3826,0.86,3.8
3853,0.868,1.1
2464,0.864,6.0
2857,0.854,0.9
2510,0.8679999709129333,2.0
2551,0.872,1.5
2784,0.908,0.7
2973,0.854,5.1
3699,0.868,3.9000000000000004
3341,0.886,4.5
2346,0.856,4.0
2040,0.9,3.0
2222,0.874,0.7
3569,0.868,1.2
2650,0.856,1.2
3159,0.854,9.1
3800,0.86,4.5
3579,0.858,9.100000000000001
3290,0.886,4.4
3380,0.866,2.6
3175,0.876,0.9
2871,0.858,2.0
3664,0.868,5.5
3672,0.864,1.7000000000000002
3899,0.8500000238418579,1.0
3745,0.874,4.300000000000001
3888,0.88,0.8
2675,0.86,1.2
2677,0.852,9.8
3614,0.856,1.1
3629,0.892,1.7
2754,0.87,1.4
2545,0.852,3.0999999999999996
3705,0.856,7.9
2691,0.862,9.2
3334,0.864,2.7
3582,0.868,1.9
3028,0.856,2.6
3421,0.862,1.8
3203,0.868,6.3999999999999995
3385,0.858,4.2
2053,0.894,0.9
3056,0.864,9.3
3907,0.896,1.9
2387,0.852,1.7000000000000002
3298,0.882,2.9
2050,0.852,3.4
3468,0.858,7.9
3408,0.852,6.0
2546,0.852,4.0
2069,0.866,4.3
3910,0.856,6.4
2567,0.86,2.3
3911,0.852,2.7
2397,0.86,9.0
2640,0.858,3.8
3428,0.86,2.3
3803,0.856,1.9
3319,0.89,2.5999999999999996
3382,0.88,6.1
3234,0.856,10.5
3098,0.896,3.3
2365,0.856,1.2
3772,0.984,1.7
2525,0.874,2.0
3628,0.878,3.3
2979,0.862,15.7
2471,0.87,4.1
2719,0.858,4.2
2771,0.854,4.7
3359,0.8560000061988831,3.0
3009,0.874,1.4
2474,0.86,3.1
3975,0.874,2.6
2450,0.852,2.3
2503,0.854,9.0
2298,0.858,0.9
3022,0.856,8.8
2861,0.868,9.8
3743,0.862,8.5
3665,0.938,3.6
3684,0.872,5.0
3378,0.856,2.3
2262,0.868,11.0
3067,0.852,3.2
3895,0.872,2.2
3427,0.862,6.4
3236,0.89,3.5999999999999996
2846,0.888,1.4
2890,0.868,4.199999999999999
2197,0.8700000047683716,1.5
2109,0.88,3.8
3097,0.898,2.3
2711,0.91,4.9
2060,0.858,13.5
2543,0.86,1.7000000000000002
3852,0.876,1.5
2407,0.858,7.3
3425,0.86,7.300000000000001
2633,0.866,1.7
3025,0.856,6.8
2952,0.862,7.0
2587,0.864,2.3
2348,0.866,1.9000000000000001
2823,0.876,1.3
3311,0.88,2.1
3619,0.874,6.199999999999999
3295,0.858,7.7
3528,0.854,5.2
2746,0.884,4.800000000000001
