,x1,x2,x3
3474,0.6924496,0.6939319,1.2217456
2692,-0.5816381,-0.4233928,-0.41798422
3348,-0.050602924,-0.052181195,0.8701398
2074,-1.2357279,-0.88209045,-2.2756705
3409,-1.3977754,-1.22419,-1.4465346
2858,-0.44992417,0.004885876,-1.6135972
2728,-0.31304303,0.111057796,-0.5521671
2768,-2.379941,-1.8246875,-4.18364
2085,0.4511726,0.51202416,0.58495617
3499,-0.60514873,-0.24547866,-1.8527218
2662,-1.3962938,-0.8180501,-3.6368332
2703,-0.9778163,-0.71239537,-1.3213851
2195,-0.21636759,-0.13465007,-0.080603264
2508,-0.32203057,-0.1237908,-0.68875647
2565,0.41333392,0.36598194,1.3591125
2863,0.5732416,0.5936277,0.9844324
2349,0.22417486,0.14742222,1.2574949
2550,-0.17009112,-0.12077779,0.67359114
3376,-1.2804104,-0.99165213,-1.704522
3466,-0.40209407,-0.35992527,0.3232295
3407,-0.9678203,-0.41856286,-2.1435323
3983,-0.8047712,-0.298578,-2.280376
3520,0.45038077,0.44909143,1.1279114
2906,-0.75310665,-0.46852535,-1.4007896
2839,-2.1637304,-1.362028,-4.961258
3436,0.002499473,-0.0038398146,0.55423224
3961,0.11204729,0.06540779,0.9155909
2818,-0.5831843,-0.7001387,0.8379905
3912,-0.8163929,-0.469624,-1.5594634
2632,-0.8423039,-0.5483715,-1.642422
3987,-1.2104104,-0.6484155,-1.4025725
2916,-0.09619254,-0.0010705829,0.040971942
3569,-0.6151446,-0.36616984,-0.8423176
3063,-1.1857841,-0.6586179,-2.729101
3101,-1.2875371,-0.71960056,-4.2596087
2159,-0.3493466,-0.22284344,-0.046308063
2737,-1.6221167,-0.83045274,-4.609992
3696,-1.2528248,-0.8148293,-2.70846
2970,-2.1152897,-1.5351877,-3.1482406
3451,0.047073983,0.055378847,0.67858446
2121,-0.885489,-0.6039637,-1.6499037
2655,-1.3339157,-0.89225703,-2.692278
2672,-0.73362213,-0.6813068,-0.32605538
3837,0.4260002,0.32954726,1.6595361
2184,-1.6783509,-1.0109198,-5.2361345
2978,-1.1575042,-0.88780683,-1.30289
3527,-0.63921124,-0.40480906,-0.83819354
3752,0.027878677,0.07940479,0.25502077
3389,0.66892165,0.48796436,2.0248134
3768,0.10549454,0.15517864,0.39584872
2424,0.029351067,-0.11847751,1.3207209
3028,-0.23039623,-0.22676271,0.55125856
2683,-1.1722711,-0.8290954,-2.144265
2241,-0.16597077,0.17445987,-1.2619983
3335,-0.88596535,-0.6440545,-1.4374006
