ix,goal_cost,intv_cost
660,0.758,1.0
938,0.802,3.9
676,0.772,4.1
661,0.772,0.7
871,0.794,1.2
868,0.772,3.1
525,0.758,2.2
963,0.76,0.5
817,0.786,3.3
775,0.777999997138977,1.0
976,0.774,0.2
924,0.8040000200271606,1.0
521,0.756,0.8
797,0.758,0.6
979,0.7540000081062317,2.0
731,0.764,3.0
596,0.752,1.6
561,0.764,0.9
671,0.758,2.0
650,0.7540000081062317,1.0
685,0.768,2.4
604,0.772,4.8999999999999995
520,0.786,3.8
812,0.752,4.4
670,0.8360000252723694,1.0
841,0.818,2.5
875,0.77,1.7000000000000002
754,0.8119999766349792,1.0
842,0.774,0.6000000000000001
971,0.7608000816099171,0.0
581,0.7879999876022339,1.0
662,0.764,2.6
882,0.766,2.2
630,0.756,3.1
528,0.828,1.0
626,0.818,6.6000000000000005
964,0.784,2.4000000000000004
779,0.762,4.199999999999999
784,0.766,2.7
993,0.792,0.8
572,0.7839999794960022,2.0
589,0.778,2.1
782,0.772,1.9000000000000001
804,0.886,0.8
843,0.82,0.9
562,0.756,2.1
891,0.7540000081062317,0.5
710,0.9720341569389247,0.0
922,0.752,1.9
554,0.792,1.9000000000000001
885,0.756,3.3000000000000003
904,0.9483965052205803,0.0
614,0.786,2.6
955,0.798,0.9
568,0.752,2.7
826,0.79,0.7999999999999999
994,0.758,2.1
923,0.776,2.6
696,0.776,3.4000000000000004
965,0.9197634469163279,0.0
912,0.752,0.9
582,0.8679999709129333,1.0
750,0.778,2.6
893,0.76,2.3
795,0.768,1.2
862,0.776,1.5999999999999999
970,0.7580000162124634,2.5
674,0.764,1.9000000000000001
510,0.782,3.9
668,0.76,1.3
792,0.774,1.3
793,0.9207860784842973,0.0
622,0.7860000133514404,1.0
530,0.8,0.8
839,0.772,2.7
709,0.792,3.4000000000000004
989,0.764,1.9000000000000001
959,0.764,1.3
840,0.86,1.6
873,0.752,3.5999999999999996
857,0.77,1.9
907,0.754,1.4000000000000001
985,0.754,5.9
649,0.792,1.1
947,0.754,1.0
767,0.754,0.7
677,0.7697511302801068,0.0
870,0.8019999861717224,1.0
872,0.77,1.0
691,0.784,1.0
647,0.756,1.9
644,0.7739999890327454,1.0
753,0.758,3.9
544,0.784,3.5000000000000004
886,0.764,0.8
571,0.8040000200271606,1.0
975,0.778,3.4000000000000004
563,0.9713652134468536,0.0
553,0.802,1.6
718,0.778,1.8
