,x1,x2,x3
660,1.6,0.0,-0.1
938,2.7,2.5,0.4
676,3.5,0.0,0.0
661,-0.1,2.3,0.0
871,1.3,0.0,-0.0
868,2.3,-0.0,-0.0
525,1.3,2.3,-0.0
963,0.1,1.5,-0.0
817,2.3,0.0,0.3
775,1.4,-0.0,0.0
976,0.8,0.0,0.0
924,1.4,-0.0,-0.0
521,0.5,1.5,-0.0
797,0.2,1.6,-0.0
979,1.0,2.2,-0.0
731,2.4,0.0,-0.0
596,1.4,0.0,-0.0
561,1.3,2.3,-0.0
671,1.6,0.0,0.8
650,0.0,3.6,0.0
685,2.1,-0.0,0.2
604,1.8,4.1,0.0
520,2.4,3.4,-0.0
812,2.9,3.1,0.0
670,0.0,1.9,-0.0
841,3.1,2.5,-0.0
875,1.7,-0.0,-0.0
754,1.3,0.0,0.0
842,1.1,0.0,-0.0
971,0.7,0.0,-0.0
581,1.5,-0.0,0.0
662,2.3,-0.0,-0.0
882,0.1,2.6,-0.0
630,2.3,0.0,0.3
528,1.2,-0.0,0.0
626,3.5,2.7,0.2
964,1.6,2.6,0.2
779,2.1,3.6,0.0
784,2.1,-0.0,0.0
993,1.3,-0.0,-0.0
572,0.5,2.6,-0.0
589,1.8,-0.0,0.0
782,2.3,0.0,0.0
804,1.3,-0.0,1.0
843,0.2,1.8,-0.0
562,-0.1,3.0,-0.0
891,0.6,1.1,-0.0
710,0.0,0.0,-0.0
922,3.1,-0.0,0.0
554,2.0,-0.0,0.0
885,0.6,3.6,-0.0
904,0.0,0.0,0.0
614,1.4,2.4,0.0
955,1.5,0.0,0.0
568,-0.1,3.8,-0.0
826,1.2,0.0,-0.0
994,0.7,2.6,-0.0
923,1.4,2.5,-0.0
696,2.1,2.4,0.0
965,-0.0,0.5,0.2
912,1.4,-0.0,-0.0
582,1.9,0.0,-0.0
750,0.8,2.7,-0.0
893,2.0,0.0,-0.0
795,-0.1,2.1,-0.0
862,1.7,0.0,0.0
970,2.1,-0.0,-0.0
674,2.3,0.0,0.0
510,2.1,2.6,0.4
668,0.1,2.2,0.0
792,0.7,1.8,0.0
793,0.2,0.0,-0.0
622,0.5,1.7,0.0
530,1.3,-0.0,-0.0
839,2.2,0.0,-0.0
709,2.0,3.0,-0.0
989,1.6,-0.0,0.0
959,-0.1,3.4,0.0
840,1.9,-0.0,0.7
873,2.4,2.8,0.2
857,1.7,1.9,0.0
907,1.5,-0.0,0.0
985,3.5,3.9,-0.2
649,0.7,1.7,0.0
947,0.8,1.8,-0.0
767,2.0,0.0,0.0
677,0.2,0.9,0.9
870,1.3,1.3,0.0
872,0.7,1.7,-0.0
691,1.3,0.0,0.0
647,-0.0,2.3,-0.0
644,0.5,1.8,0.0
753,0.4,4.1,1.0
544,2.2,2.7,0.2
886,0.9,1.3,-0.0
571,1.4,-0.0,0.0
975,2.5,-0.0,-0.0
563,0.0,0.0,0.0
553,2.8,-0.0,0.0
718,0.2,2.1,-0.0
