,years_experience,degree,nr_commits,nr_languages,nr_stars
3281,2.0,2.0,24.0,3.0,3.0
2646,0.0,3.0,7.0,4.0,24.0
3737,0.0,3.0,12.0,3.0,13.0
3211,3.0,1.0,3033.0,6.0,18.0
3087,3.0,1.0,35.0,10.0,6.0
3856,0.0,3.0,3.0,6.0,12.0
2441,2.0,2.0,2022.0,2.0,14.0
3806,3.0,1.0,3034.0,11.0,17.0
2995,2.0,2.0,2022.0,9.0,16.0
3820,3.0,1.0,3035.0,11.0,17.0
3770,0.0,3.0,2.0,3.0,15.0
2973,3.0,1.0,3035.0,1.0,17.0
3492,3.0,1.0,3035.0,3.0,15.0
3881,4.0,1.0,4042.0,4.0,13.0
2139,3.0,1.0,3035.0,8.0,16.0
3653,3.0,1.0,3032.0,7.0,10.0
3817,1.0,3.0,1014.0,1.0,13.0
2503,3.0,1.0,3033.0,4.0,12.0
3885,3.0,1.0,3038.0,1.0,14.0
2117,4.0,0.0,4042.0,4.0,11.0
3925,1.0,3.0,1012.0,3.0,12.0
2436,0.0,3.0,2.0,9.0,16.0
2636,1.0,3.0,1015.0,10.0,12.0
3005,0.0,3.0,4.0,2.0,11.0
2812,1.0,3.0,1010.0,2.0,12.0
3266,0.0,3.0,5.0,9.0,14.0
2570,3.0,1.0,3034.0,6.0,12.0
2219,3.0,1.0,3032.0,2.0,18.0
3031,3.0,1.0,3039.0,5.0,12.0
2329,3.0,1.0,3033.0,3.0,14.0
2317,3.0,1.0,3033.0,7.0,13.0
2087,2.0,2.0,2025.0,11.0,10.0
2820,3.0,1.0,3032.0,5.0,12.0
3818,1.0,3.0,1014.0,3.0,14.0
3551,4.0,0.0,4046.0,2.0,14.0
3860,1.0,3.0,14.0,5.0,7.0
3571,4.0,0.0,4043.0,5.0,18.0
2925,2.0,2.0,2022.0,4.0,14.0
3065,1.0,3.0,1013.0,5.0,15.0
3394,4.0,1.0,4042.0,12.0,13.0
2832,2.0,2.0,2026.0,3.0,11.0
2474,4.0,1.0,4042.0,6.0,13.0
2932,2.0,2.0,2026.0,4.0,15.0
2421,3.0,1.0,3036.0,7.0,11.0
3934,1.0,3.0,1018.0,9.0,14.0
2260,1.0,3.0,14.0,2.0,1.0
3783,0.0,3.0,2.0,12.0,17.0
3236,1.0,3.0,1013.0,2.0,15.0
2300,3.0,1.0,3035.0,3.0,16.0
3401,4.0,0.0,4045.0,1.0,11.0
3284,1.0,3.0,1012.0,1.0,12.0
3990,1.0,3.0,1014.0,1.0,12.0
2667,3.0,1.0,3036.0,1.0,16.0
2463,0.0,3.0,4.0,6.0,11.0
2813,3.0,1.0,3035.0,3.0,17.0
3283,3.0,1.0,3037.0,6.0,13.0
2676,3.0,1.0,3033.0,8.0,13.0
3947,4.0,0.0,4043.0,3.0,13.0
2408,2.0,2.0,2030.0,4.0,12.0
2425,3.0,1.0,3034.0,1.0,15.0
2642,3.0,1.0,3037.0,9.0,13.0
3748,2.0,2.0,2026.0,2.0,15.0
2708,3.0,1.0,3034.0,2.0,13.0
3400,1.0,3.0,1017.0,5.0,15.0
3439,3.0,1.0,33.0,1.0,1.0
2073,3.0,1.0,3034.0,7.0,15.0
3554,4.0,0.0,4046.0,5.0,14.0
3054,4.0,0.0,46.0,4.0,2.0
2128,0.0,3.0,5.0,1.0,14.0
2547,3.0,1.0,3033.0,10.0,14.0
2675,1.0,3.0,1013.0,3.0,16.0
2228,1.0,3.0,1015.0,5.0,15.0
3485,0.0,3.0,5.0,3.0,23.0
2576,3.0,1.0,3031.0,1.0,16.0
2787,2.0,2.0,2021.0,5.0,11.0
2091,1.0,3.0,1014.0,5.0,10.0
3367,0.0,3.0,9.0,4.0,11.0
3796,3.0,1.0,3033.0,15.0,15.0
3998,2.0,2.0,2023.0,11.0,15.0
3710,1.0,3.0,1015.0,3.0,16.0
2627,4.0,0.0,4043.0,2.0,16.0
2000,1.0,3.0,1013.0,9.0,10.0
2981,0.0,3.0,5.0,1.0,10.0
2978,1.0,3.0,1013.0,7.0,12.0
2157,2.0,2.0,2022.0,4.0,14.0
2191,3.0,1.0,3032.0,3.0,25.0
3247,3.0,1.0,3037.0,1.0,14.0
3628,2.0,2.0,2026.0,7.0,15.0
3369,2.0,2.0,2020.0,4.0,12.0
3430,2.0,2.0,2027.0,4.0,17.0
2739,4.0,0.0,4041.0,2.0,12.0
2295,3.0,1.0,3035.0,3.0,19.0
3494,2.0,2.0,2025.0,12.0,18.0
2323,0.0,3.0,7.0,5.0,19.0
3484,3.0,1.0,3032.0,3.0,13.0
3520,2.0,2.0,2021.0,2.0,12.0
3749,2.0,2.0,2022.0,1.0,11.0
2120,3.0,1.0,3034.0,12.0,20.0
3946,4.0,1.0,4044.0,9.0,13.0
3936,3.0,1.0,3036.0,1.0,10.0
2058,1.0,3.0,1014.0,2.0,12.0
3662,3.0,1.0,3038.0,2.0,13.0
2790,0.0,3.0,4.0,2.0,11.0
3220,2.0,2.0,2023.0,7.0,12.0
3322,1.0,3.0,1013.0,6.0,12.0
2831,0.0,3.0,5.0,5.0,12.0
3076,1.0,3.0,1012.0,2.0,17.0
2419,1.0,3.0,1015.0,1.0,16.0
3049,2.0,2.0,2027.0,2.0,11.0
3444,3.0,1.0,3035.0,5.0,14.0
3019,2.0,2.0,2024.0,4.0,15.0
2424,4.0,0.0,4045.0,2.0,14.0
2355,0.0,3.0,9.0,3.0,11.0
2980,2.0,2.0,2026.0,3.0,11.0
3377,3.0,1.0,3034.0,9.0,12.0
2050,3.0,1.0,3035.0,6.0,16.0
2199,3.0,1.0,3034.0,1.0,15.0
2264,0.0,3.0,3.0,5.0,13.0
2545,1.0,3.0,1017.0,6.0,21.0
2635,4.0,0.0,4042.0,3.0,10.0
2638,1.0,3.0,1012.0,10.0,12.0
3704,3.0,1.0,3032.0,7.0,16.0
2592,0.0,3.0,3.0,8.0,13.0
2878,3.0,1.0,3033.0,5.0,17.0
3095,1.0,3.0,1012.0,4.0,12.0
2818,2.0,2.0,2025.0,1.0,13.0
2107,4.0,1.0,43.0,4.0,3.0
2396,3.0,1.0,3036.0,4.0,10.0
