,years_experience,degree,nr_commits,nr_languages,nr_stars
2837,1.0,1.0,10.0,4.0,2.0
2974,0.0,2.0,4.0,2.0,3.0
3396,1.0,0.0,12.0,5.0,3.0
3548,0.0,0.0,4.0,1.0,8.0
2085,3.0,0.0,35.0,0.0,6.0
2691,3.0,0.0,31.0,5.0,4.0
2054,1.0,0.0,14.0,2.0,9.0
3848,0.0,0.0,2.0,3.0,1.0
2290,0.0,0.0,4.0,1.0,5.0
3749,3.0,0.0,33.0,1.0,5.0
3074,2.0,1.0,28.0,5.0,5.0
3979,1.0,0.0,15.0,1.0,2.0
3069,1.0,0.0,12.0,2.0,2.0
2215,2.0,1.0,24.0,8.0,9.0
2274,1.0,1.0,15.0,9.0,8.0
2748,1.0,0.0,12.0,2.0,3.0
3413,2.0,1.0,24.0,3.0,0.0
3314,0.0,1.0,7.0,1.0,1.0
3298,1.0,0.0,16.0,2.0,4.0
2758,0.0,0.0,2.0,5.0,1.0
3268,0.0,2.0,5.0,5.0,3.0
3096,1.0,0.0,14.0,0.0,8.0
2395,1.0,0.0,15.0,2.0,3.0
2657,1.0,1.0,15.0,1.0,2.0
3338,0.0,2.0,3.0,0.0,2.0
2535,1.0,0.0,18.0,11.0,3.0
2263,2.0,1.0,26.0,4.0,5.0
3886,2.0,0.0,21.0,2.0,4.0
3634,2.0,0.0,24.0,2.0,6.0
3252,1.0,0.0,13.0,0.0,5.0
2633,1.0,0.0,15.0,1.0,2.0
3817,0.0,2.0,3.0,5.0,5.0
3645,2.0,0.0,24.0,7.0,7.0
3955,2.0,0.0,21.0,5.0,5.0
2157,0.0,0.0,1.0,2.0,7.0
2916,2.0,0.0,26.0,6.0,4.0
2857,0.0,2.0,4.0,7.0,0.0
2451,1.0,0.0,15.0,6.0,5.0
2175,2.0,0.0,26.0,0.0,1.0
3693,1.0,0.0,17.0,4.0,1.0
3773,1.0,1.0,14.0,4.0,2.0
2661,0.0,0.0,9.0,3.0,3.0
3282,3.0,0.0,33.0,0.0,2.0
2092,2.0,1.0,22.0,8.0,1.0
3031,2.0,0.0,22.0,8.0,1.0
2481,1.0,0.0,16.0,6.0,4.0
