,h_post,h_post_individualized
2000,0.54,
2090,0.54,
3269,0.54,
3378,0.54,
3285,0.54,
2703,0.54,
2862,0.54,
3513,0.54,
3067,0.58,
2972,0.6,
2877,0.54,
3003,0.54,
2368,0.54,
3905,0.54,
2308,0.54,
2987,0.54,
3530,0.54,
3928,0.98,
3965,0.82,
2485,0.52,
2811,0.54,
2904,0.54,
3284,0.54,
2781,0.54,
2237,0.54,
3223,0.54,
3305,0.54,
2060,0.54,
2890,0.54,
3550,0.7,
2127,0.54,
3512,0.54,
3966,0.54,
3258,0.54,
3155,0.54,
2948,0.54,
3702,0.58,
2887,0.54,
3222,0.54,
3903,0.54,
2696,0.58,
3793,0.54,
3042,0.54,
2350,0.84,
3146,0.54,
2057,0.58,
2198,0.54,
3609,0.54,
3169,0.54,
2362,0.54,
3180,0.54,
3849,0.7,
2081,0.54,
2982,0.54,
3344,0.54,
3714,0.54,
3815,0.54,
3038,0.54,
3662,0.54,
2853,0.54,
2916,0.54,
2699,0.54,
3806,0.54,
2014,0.54,
2787,0.58,
2447,0.54,
3097,0.58,
2284,0.54,
3113,0.58,
2240,0.54,
2727,0.54,
3303,0.54,
3982,0.8,
2830,0.58,
3868,0.54,
2589,0.54,
2181,0.54,
2424,0.54,
2249,0.54,
2881,0.54,
3675,0.86,
3049,0.52,
3873,0.54,
2055,0.54,
2603,0.54,
2998,0.54,
2528,0.54,
2652,0.8,
2619,0.54,
2468,0.54,
3289,0.84,
2963,0.54,
3092,0.54,
2550,0.54,
2497,0.54,
3323,0.8,
2661,0.54,
2165,0.58,
3773,0.54,
2850,0.54,
2720,0.58,
2137,0.54,
3252,0.54,
2856,0.54,
2970,0.54,
2931,0.54,
3737,0.88,
2449,0.54,
3865,0.54,
2524,0.58,
3374,0.54,
2381,0.54,
3387,0.54,
3870,0.6,
3152,0.54,
3118,0.58,
3449,0.54,
2761,0.52,
3310,0.54,
2433,0.54,
2626,0.52,
2312,0.52,
3606,0.52,
2863,0.54,
3282,0.54,
3064,0.54,
3360,0.54,
3311,0.58,
3497,0.52,
2663,0.54,
2363,0.88,
3016,0.54,
3878,0.54,
2222,0.54,
3167,0.54,
2609,0.54,
2888,0.54,
2335,0.54,
3503,0.54,
3635,0.58,
3350,0.54,
2671,0.54,
2307,0.54,
3958,0.54,
2234,0.54,
3281,0.54,
3771,0.54,
3039,0.54,
2112,0.54,
2422,0.58,
3421,0.54,
2056,0.54,
2465,0.54,
2499,0.54,
2753,0.54,
3119,0.52,
2214,0.54,
3084,0.54,
2527,0.54,
2261,0.54,
3647,0.54,
2639,0.54,
3747,0.54,
2086,0.54,
2804,0.54,
3294,0.54,
2741,0.54,
3414,0.54,
2011,0.54,
2900,0.54,
3594,0.54,
3924,0.54,
3604,0.54,
2782,0.54,
2399,0.54,
3973,0.54,
2331,0.54,
2239,0.54,
2044,0.54,
3163,0.54,
2775,0.54,
3629,0.54,
3058,0.54,
3822,0.54,
2313,0.54,
3430,0.54,
3037,0.54,
3406,0.54,
3261,0.6,
3112,0.54,
2602,0.54,
2006,0.54,
3597,0.54,
2225,0.54,
3602,0.54,
2845,0.54,
3520,0.54,
2577,0.54,
3613,0.54,
3061,0.54,
