,y_hat
18092,False
17642,False
13749,False
14286,False
10465,False
15091,False
10724,False
14075,False
16704,False
14932,False
14496,False
14612,False
11236,False
19237,False
13560,False
19593,False
14740,False
15214,False
16675,False
16392,False
12122,False
11666,False
13700,False
18306,False
18577,False
10812,False
15457,False
14620,False
16992,False
17223,False
11129,False
13522,False
17351,False
18842,False
11227,False
13876,False
18848,False
17378,False
14613,False
10496,False
12357,False
12150,False
15176,False
19198,False
10727,False
19884,False
11833,False
10396,False
18031,False
18091,False
15177,False
17130,False
14231,False
19668,False
13466,False
14107,False
11941,False
10257,False
14663,False
18672,False
14003,False
17592,False
13027,False
13643,False
18843,False
15622,False
19674,False
11772,False
17638,False
13323,False
10596,False
15721,False
11168,False
16674,False
18260,False
17337,False
19168,False
12969,False
16355,False
18454,False
16242,False
17407,False
19943,False
18747,False
17002,False
15552,False
11992,False
15606,False
16104,False
19077,False
14588,False
10077,False
10666,False
16486,False
13540,False
13054,False
17937,False
17769,False
16972,False
15905,False
16613,False
12084,False
16384,False
19165,False
14528,False
18962,False
10078,False
18527,False
16859,False
19484,False
19004,False
17759,False
11324,False
10963,False
16856,False
13702,False
10492,False
11322,False
10373,False
14028,False
15080,False
13726,False
18564,False
15422,False
13741,False
19545,False
14637,False
12854,False
19270,False
18302,False
13279,False
10580,False
18020,False
13490,False
18734,False
10279,False
11963,False
17361,False
17133,False
17004,False
15753,False
16368,False
16332,False
15527,False
12798,False
17038,False
17577,False
12709,False
19932,False
11093,False
18791,False
18999,False
16581,False
13964,False
16503,False
13656,False
16640,False
12819,False
16126,False
15096,False
17193,False
15369,False
16251,False
19318,False
11604,False
10391,False
15795,False
15465,False
19332,False
18125,False
16650,False
15997,False
19546,False
17109,False
14224,False
14038,False
14314,False
13040,False
12792,False
16815,False
12342,False
19641,False
19568,False
17307,False
19050,False
12026,False
19577,False
10296,False
11361,False
10572,False
10676,False
16424,False
11323,False
16624,False
16314,False
16835,False
17863,False
19341,False
13031,False
18590,False
