,x1,x2
466,3.12,1.01
265,1.62,0.0
351,0.73,1.57
421,0.95,0.03
332,1.0,0.56
301,0.9,0.1
307,2.93,1.54
474,0.47,1.91
486,1.7200000286102295,1.659999966621399
430,1.71,1.19
302,2.49,0.83
346,0.81,0.86
376,0.89,1.42
270,0.87,-0.01
361,1.45,1.54
318,0.66,2.04
259,1.39,0.43
395,2.01,2.79
441,0.83,1.94
476,1.5,1.8799999952316284
427,0.69,1.09
277,1.75,0.8600000143051147
392,2.38,1.42
253,2.2300000190734863,0.0
442,3.52,3.6
338,0.6,2.45
429,1.659999966621399,4.610000133514404
453,0.22,2.52
328,0.93,1.71
257,1.99,0.04
251,1.409999966621399,1.850000023841858
300,1.23,1.94
283,1.68,2.01
493,1.01,1.62
446,0.86,1.2
320,1.33,0.17
292,1.77,3.37
280,0.5799999833106995,1.7100000381469727
327,0.49,1.56
445,1.86,2.01
457,1.190000057220459,0.4300000071525574
305,0.73,1.26
313,0.81,2.1
467,0.38,1.47
420,0.8700000047683716,3.240000009536743
402,1.409999966621399,0.699999988079071
489,0.48,2.24
374,2.06,1.48
363,0.03,0.92
311,0.44,1.98
488,0.49,0.78
491,3.09,1.96
347,0.52,4.78
299,0.61,0.41
353,0.7300000190734863,1.0
407,0.949999988079071,1.5299999713897705
355,0.5,1.9
440,2.28,0.23
399,3.22,3.06
377,1.68,0.0
464,1.2,0.9
264,1.4900000095367432,1.600000023841858
465,0.59,1.95
375,1.66,-0.07
487,0.73,2.22
484,1.66,2.96
298,3.12,2.95
439,2.49,3.69
454,1.3,1.03
319,3.1600000858306885,1.0
256,2.859999895095825,2.369999885559082
387,0.7,0.76
410,1.3799999952316284,1.649999976158142
400,0.99,-0.01
357,0.04,2.51
279,2.48,1.92
268,1.56,2.64
359,1.8200000524520874,3.0199999809265137
472,1.19,0.78
317,1.11,2.79
412,0.46,1.31
460,0.8999999761581421,3.4000000953674316
477,1.91,2.26
496,1.5800000429153442,0.7699999809265137
404,1.5099999904632568,2.5299999713897705
370,1.36,3.18
413,0.38,2.6
414,0.42,0.49
250,2.24,1.83
339,1.68,1.16
378,0.66,1.16
254,0.09,1.85
450,1.39,0.0
354,1.35,0.38
309,1.6,2.61
276,1.1,1.52
396,0.52,2.53
330,1.43,0.78
286,0.63,1.73
459,2.02,1.59
