ix,goal_cost,intv_cost
314,1.0,5.55
465,1.0,7.38
338,1.0,4.779999999999999
354,1.0,7.42
360,1.0,4.49
310,1.0,1.24
351,1.0,5.630000000000001
368,1.0,2.5500000000000003
277,1.0,5.390000000000001
341,1.0,0.9600000000000001
289,1.0,4.73
385,1.0,1.6099999999999999
388,1.0,3.89
283,1.0,1.85
495,1.0,6.05
422,1.0,5.02
407,1.0,5.3
442,1.0,1.68
445,1.0,4.46
426,1.0,1.97
474,1.0,4.040000081062317
487,1.0,1.69
328,1.0,6.760000000000001
265,1.0,2.53
280,1.0,8.560000151395798
364,1.0,0.92
306,1.0,4.8
320,1.0,3.66
429,1.0,3.92
491,1.0,3.39
281,1.0,1.41
440,1.0,8.17
462,1.0,3.69
362,1.0,4.359999999999999
386,1.0,2.6799999999999997
268,1.0,0.8200000000000001
458,1.0,11.83
326,1.0,2.27
293,1.0,7.48
261,1.0,4.01
411,1.0,3.2300000000000004
282,1.0,1.24
335,1.0,5.009999990463257
255,1.0,4.3100000000000005
378,1.0,0.33
359,1.0,6.109999999999999
396,1.0,3.7800000000000002
284,1.0,10.379999697208405
484,1.0,3.64
349,1.0,2.33
309,1.0,0.6899999845772982
356,1.0,3.0
267,1.0,4.69
253,1.0,7.120000000000001
342,1.0,0.37
389,1.0,0.14000000059604645
258,1.0,0.65
478,1.0,4.6
313,1.0,3.76
438,1.0,1.17
403,1.0,2.23
433,1.0,0.44999999999999996
425,1.0,2.83
420,1.0,1.24
391,1.0,2.3
303,1.0,4.94
481,1.0,2.4899999999999998
452,1.0,0.87
479,1.0,3.1199999999999997
395,1.0,1.18
475,1.0,1.1400000000000001
336,1.0,10.56
295,1.0,9.65
300,1.0,1.7599999999999998
437,1.0,4.57
365,1.0,0.42
318,1.0,4.99
276,1.0,5.450000137090683
361,1.0,6.029999999999999
292,1.0,1.8700000047683716
467,1.0,6.629999756813049
473,1.0,1.07
408,1.0,5.74
499,1.0,7.42
291,1.0,0.7
469,1.0,3.75
418,1.0,1.4300000000000002
269,1.0,0.21999999694526196
497,1.0,3.88
430,1.0,1.77
250,1.0,0.45
331,1.0,3.2699999999999996
263,1.0,1.2999999999999998
436,1.0,5.87
454,1.0,6.82
299,1.0,6.67999991774559
472,1.0,2.97
290,1.0,6.5600000000000005
390,1.0,6.2
496,1.0,2.76
