,y
335,0.0
334,0.0
263,0.0
321,0.0
453,0.0
395,0.0
413,0.0
396,1.0
447,0.0
389,1.0
328,1.0
366,0.0
275,0.0
377,1.0
257,0.0
414,0.0
398,0.0
381,1.0
324,1.0
463,0.0
460,1.0
258,0.0
499,0.0
442,0.0
422,0.0
348,0.0
483,0.0
443,0.0
475,0.0
264,1.0
378,0.0
266,1.0
434,0.0
412,0.0
390,1.0
333,1.0
302,0.0
372,0.0
352,0.0
472,0.0
276,0.0
307,1.0
450,1.0
479,0.0
329,0.0
382,0.0
339,0.0
459,0.0
384,0.0
332,0.0
330,0.0
359,0.0
430,0.0
408,0.0
385,0.0
407,1.0
471,0.0
401,0.0
426,1.0
353,0.0
445,0.0
451,0.0
478,0.0
325,0.0
281,0.0
356,0.0
347,0.0
305,1.0
391,0.0
364,0.0
343,0.0
480,0.0
300,0.0
344,0.0
482,0.0
253,0.0
415,0.0
336,1.0
419,0.0
357,0.0
427,1.0
444,0.0
441,0.0
429,0.0
365,0.0
462,0.0
358,1.0
250,0.0
375,0.0
289,0.0
428,1.0
487,0.0
476,0.0
327,1.0
296,1.0
349,0.0
298,0.0
262,0.0
392,0.0
283,0.0
