,x1,x2,x3
180,-0.93023646,-1.8822002,-2.8633375
167,0.3549767,-1.448065,-1.0297304
166,-0.54796505,0.13583839,-0.008862168
112,-0.57922566,0.6765523,-0.41207826
145,0.2934847,-1.1915356,-0.6990225
196,0.63393885,-0.9967889,-0.4311763
174,0.054041266,-2.067844,-1.8272003
113,-0.032731473,-1.3967745,-0.62394744
132,-0.98180556,-0.1144734,0.13420987
110,0.043711007,-0.11562115,-1.1291618
100,-0.6978072,-1.4485772,-1.6058259
125,0.21568733,-2.5160558,-3.1468766
121,-0.35990673,-0.89199334,-1.5195746
182,0.8247405,-1.3430513,-0.052467614
150,-1.0689148,-0.82582504,-1.4485241
115,-1.2604808,0.30059898,-1.3692348
107,-0.84998417,-1.4343977,-2.2463694
152,0.33203018,-0.06752798,-2.0409997
190,-0.5763675,-2.872551,-2.514721
104,-0.90538716,-0.70648247,-0.5604392
139,0.19130853,-0.8252872,0.1876084
126,-1.1213043,-2.5773447,-2.5203543
119,-0.77147865,-0.56579614,0.013335139
101,-1.2409611,-2.2198677,-3.5793858
164,-0.24991441,-0.8225539,-0.14629519
103,-0.17913514,-1.0378531,-2.435656
123,-0.30732018,-0.6295775,-1.0346768
177,-0.21507108,-0.73579943,-1.2290715
194,-0.5518762,-0.003787756,0.0814302
185,-0.3954895,0.014329731,-0.28908852
184,-0.4886155,-0.87969875,0.5078764
