,u_x1,u_x2,u_y,u_x3
100,0.5785935,0.0052275737,0.010659337,0.8714851
101,-0.19236028,0.3979196,0.1156975,1.6164446
102,1.4553881,-0.41745818,0.059962034,-1.5480533
103,1.3341215,0.018525025,0.16118896,-0.043098863
104,0.5799285,0.039607897,0.6375047,-0.25671524
105,1.2494036,0.2514933,0.9551052,-0.78300184
106,0.1623908,0.077065356,0.74147546,0.19368096
107,0.26705852,0.234936,0.2328682,0.68334067
108,0.51991403,0.70650375,0.053373218,0.7579844
109,0.60383487,0.061306957,0.4371431,1.0031267
110,0.7781483,0.6019107,0.8402176,-0.5169149
111,-0.09455609,0.006137967,0.79354215,0.9664322
112,0.9186724,-0.12711114,0.7595042,-0.6325688
113,0.31858146,0.695404,0.7834728,-1.5022193
114,-0.14554256,0.05913442,0.16581953,-2.4348865
115,0.01387772,0.89695346,0.39230084,-1.2102251
116,0.7310825,1.1990525,0.7953409,-0.13975646
117,0.54226065,0.20466118,0.8863827,-0.08420873
118,1.3871384,-0.5062229,0.69724023,1.3503578
119,0.4598965,-0.12782142,0.0038824081,-0.1399037
120,0.31054944,0.9175468,0.6120137,0.8943686
121,0.52767354,-0.14619756,0.888499,-1.3576902
122,0.58134514,0.44857186,0.77189803,-2.8410928
123,0.37144178,0.22763734,0.16158605,-0.28620082
124,0.5142247,0.2486957,0.48434818,-0.47871435
125,-0.0011149645,-0.30879784,0.0830636,-1.2679002
126,0.6087917,-0.033165656,0.019025803,-0.3659917
127,0.38356,-0.34831455,0.84755623,-1.4376187
128,1.7054913,0.4578499,0.68663216,1.6106496
129,0.6799647,0.3872771,0.79458416,-0.3311679
130,-0.004241407,0.2704222,0.08927965,-1.7178075
131,-0.42067862,0.4392719,0.22747445,-1.0088117
132,0.9631214,0.08186933,0.9762267,1.4099919
133,1.6228315,-0.585215,0.6971338,-0.78134114
134,1.1064804,-0.8433828,0.7089027,0.022650868
135,0.65719473,-0.7263376,0.8518063,-0.1617573
136,0.03175068,0.25423115,0.3042637,-0.22762471
137,1.2098753,-0.8717291,0.4655341,-0.5068798
138,0.15123892,0.11653126,0.37603104,-1.1468972
139,0.05254969,-1.3651061,0.28066397,1.9495908
140,0.6290017,-0.11832428,0.9185035,0.17678866
141,0.7725402,0.24635091,0.45700324,0.7704491
142,0.13647968,-0.08130389,0.23766637,-0.061457887
143,0.3778342,0.5016793,0.019179702,-1.1641314
144,0.16722739,-0.7501202,0.5285368,-0.8003126
145,0.5442224,-0.93673575,0.43865812,-0.7753594
146,-0.38132972,-0.49236795,0.52458036,-0.7230811
147,0.144267,0.3419019,0.5862782,-0.93910825
148,-0.37108988,0.29790735,0.05271578,-1.4696242
149,0.600907,0.44191203,0.9314344,0.7319587
150,0.6774113,0.2196798,0.039061308,-0.46406317
151,-0.12412095,0.34064963,0.21599257,-2.8391697
152,0.9475336,0.03879232,0.5066763,-0.29987654
153,-0.3865705,0.2929297,0.26497293,0.3035372
154,-0.14468294,-0.5981624,0.86295044,1.0397637
155,0.5525257,-0.45398974,0.58744204,-1.106051
156,1.2424123,-0.63858134,0.50569487,0.5898093
157,0.57915866,-0.034001525,0.7967597,-0.39678925
158,0.7318974,1.0407366,0.29121125,1.9666809
159,1.7551239,-0.5855019,0.91110384,-0.20999952
160,1.0095003,-1.2780756,0.25303543,0.052374613
161,0.40549934,0.069884636,0.5034833,0.5155815
162,1.6667558,-0.32077497,0.99080193,0.36866945
163,0.3892115,-1.1452838,0.7612786,-0.010698545
164,1.426575,-0.1882802,0.31739807,-0.15363225
165,0.4655447,-0.41213945,0.7631444,1.2917659
166,-0.2152341,-0.513246,0.09550965,0.82538265
167,0.38411134,0.11784195,0.7616159,0.927387
168,0.6238201,-0.055401057,0.22143435,-2.2777038
169,0.4108901,-0.08651639,0.83301735,0.6104469
170,0.8926456,0.8060159,0.65380037,-0.8737639
171,0.85903466,-0.74874485,0.62465954,0.33799592
172,0.5726324,0.11988002,0.7406901,-0.0021740932
173,0.28029528,0.34466755,0.844941,-0.054988366
174,0.664207,0.67035705,0.8116864,-0.54905623
175,0.031569988,-0.12148246,0.46080828,-1.0910894
176,0.39545262,0.90850294,0.35360217,-1.3140116
177,0.722372,0.70304656,0.5592718,-1.1620809
178,-0.24236208,0.8587493,0.9161689,-0.66292906
179,0.47424692,-0.5697087,0.77745163,0.08418548
180,0.013501495,0.466343,0.09293795,1.4735272
181,0.4974985,0.30604506,0.6693071,0.2597687
182,-0.35334098,-1.0005201,0.5509585,0.5322706
183,1.4129951,-0.17529851,0.7063142,0.70602155
184,0.6356966,0.118636444,0.8093792,0.8940355
185,0.68268687,0.02253685,0.8842441,1.3310767
186,0.16330472,-0.45496392,0.05529642,-0.2508714
187,0.82160425,-0.49542156,0.44830334,-0.49564978
188,0.9101612,-0.07097011,0.61301327,-0.97007006
189,0.30455288,-0.2915518,0.86596954,1.3136932
190,-0.054317176,0.74224216,0.73064613,0.41204348
191,1.6202155,-0.95779574,0.4369923,-0.47260782
192,0.27538484,-0.7414497,0.9459964,-0.3039282
193,0.68464565,-0.12479686,0.8584318,0.15862177
194,0.58701015,0.58250946,0.08448911,0.73595977
195,0.65618163,0.17268349,0.6294515,1.5399108
196,1.086166,0.19160119,0.923949,0.59787244
197,1.1305134,-0.49998134,0.77024245,0.6040178
198,0.13839814,-0.12948112,0.46445203,-0.4280606
199,0.36355352,-0.62351704,0.5686873,-0.2720522
