,x1,x2,x3
140,0.62060475,0.9209865,2.4298575
142,0.62062216,0.41083437,1.7206069
192,0.8884026,1.0609796,1.6664767
131,0.79280776,0.409199,1.4681318
141,0.8337182,0.6484074,2.103279
135,0.5305399,0.69619966,1.7866957
193,0.52215326,0.88011986,1.2767204
145,0.90453327,1.0595899,1.7164106
180,0.9812642,1.512124,1.2401383
132,0.4453206,0.64062047,1.2794015
178,0.88546556,1.2477398,2.0466776
173,0.6698732,0.411574,3.0164547
109,0.9896524,1.4349504,2.4793456
150,1.2259991,0.5212026,0.3151319
108,0.90617114,0.40809107,0.72875535
144,1.2246721,0.51721025,1.1597015
128,1.0677603,0.4624113,-0.17792153
