ix,goal_cost,intv_cost
153,1.0,7.13
181,1.0,5.72
152,1.0,3.37
185,1.0,10.660000324249268
150,1.0,4.499999865889549
175,1.0,1.51
125,1.0,14.84
138,1.0,10.050000250339508
111,1.0,3.8499999999999996
151,1.0,2.41
116,1.0,4.85
110,1.0,3.8800000846385956
113,1.0,1.5199999585747719
180,1.0,5.28
166,1.0,1.9699999541044235
126,1.0,2.25
134,1.0,1.1300000000000001
192,1.0,9.09
131,1.0,2.9699999999999998
117,1.0,4.55
132,1.0,5.189999878406525
160,1.0,2.79
163,1.0,2.81
194,0.862,2.1700000166893005
101,1.0,4.11
162,1.0,4.050000000000001
161,1.0,5.96
112,1.0,3.77
119,1.0,5.85
167,1.0,2.67
103,1.0,11.230000138282776
190,1.0,2.430000051856041
141,1.0,6.53
105,1.0,1.66
174,1.0,5.12
171,0.764,1.02
146,1.0,12.48
183,1.0,5.5599998235702515
118,1.0,4.989999949932098
144,1.0,3.08
136,1.0,1.7199999615550041
196,1.0,10.360000014305115
140,1.0,3.72
114,1.0,7.3100000000000005
184,1.0,5.02
127,1.0,3.640000104904175
158,1.0,6.3800002336502075
178,1.0,8.21
