,x1,x2,x3
364,-0.87612736,-2.7689862,-4.0649605
292,-0.9057552,-2.3819008,-3.719794
360,0.1111844,-0.42927384,-0.19451776
410,-0.12972483,0.615368,-0.32079723
280,-1.8179291,-1.3634388,-4.3892393
393,-0.8223763,-0.16360575,-0.08189708
287,-0.28685775,-0.78470755,-1.5432074
483,-0.40070215,1.0734501,-0.5452571
282,-0.6484483,1.1121163,0.3514334
366,-0.69466823,0.97475594,0.45576674
388,-0.55497736,-0.19327283,-0.26701158
264,-0.30097944,-1.0746038,-2.259487
349,-0.77263916,-2.8841953,-2.590581
421,-1.9838933,-3.16085,-6.1580358
372,-0.01965026,0.51735264,0.21305957
319,-0.0977559,-0.16754413,-0.858816
428,-0.7257693,-1.3779724,-2.7134752
411,-1.0837861,-1.7668598,-4.5598216
484,0.5619113,-0.9750076,-1.8316948
470,-0.37492335,-2.4391117,-2.7932968
324,-0.20229882,-1.0115552,0.21498477
429,-0.08727295,-0.62572074,-0.63894516
427,-0.407967,-1.3723384,-0.87001973
459,-1.1416696,-1.132959,-0.8350483
281,0.13878503,-1.3011957,-2.0688903
353,0.3621164,-0.6606354,-2.7537503
321,-0.8377923,-2.823985,-3.8738275
373,-0.21048401,-0.11092663,0.335047
407,-0.6827171,-2.0502167,-3.2283218
465,-0.40708742,-1.0561479,-3.7297146
299,-0.2741232,-1.5969949,-1.601107
488,0.22217743,0.16514467,0.22031592
275,-0.4639484,-0.2670521,-1.9081262
383,0.61222416,-2.2968926,-1.6769255
400,-0.50396734,-0.04845497,-0.7622425
251,-1.9377509,-0.22126245,-2.1007671
252,-1.4892855,-2.2174277,-3.4586034
395,-1.0231335,-2.3286433,-3.4700432
357,-0.99521697,-0.55107296,-0.63104314
387,-1.4789648,-0.42472637,-1.5633962
472,0.23848923,-0.24850933,-3.047197
315,-0.54038185,0.5774887,-0.23024893
498,-1.4401588,-0.29576623,-1.9253647
386,-0.81591755,-0.6187349,-0.36539575
309,-1.6570483,-2.3086758,-3.2111616
493,-0.86307067,-1.1187999,0.15702748
296,-0.65717685,-1.9671065,-2.3217394
426,0.112273775,-1.0011808,-1.6582597
354,-0.941565,-0.2965669,-0.99179614
401,-0.59531325,-1.5242934,-2.0077283
313,-1.8897512,-1.0025513,-2.9900484
491,-0.37640002,-1.2572558,-3.0724244
290,-0.9121552,-1.3488005,-0.15352607
317,-0.9403303,-3.967956,-4.060672
274,0.024897683,-0.61794287,-0.70709646
370,-1.6073518,-3.4275079,-6.313182
396,-1.0523554,-0.9833692,-2.3552969
380,-0.0019992867,-0.6013442,-1.1465434
474,-2.312553,-3.857552,-5.2626257
323,-0.5896576,0.36819768,-0.3798858
310,-0.75337416,-1.4229314,-1.1753352
447,-1.6510458,-1.0644603,-2.489092
325,-0.3455603,-1.7902865,-0.8048824
416,-0.7422397,-0.095100045,-0.3606405
448,-0.52516055,-0.45305264,-2.2654738
285,-1.3787708,-2.8317704,-5.086348
486,-0.34599426,-0.5120091,-2.0067253
254,-1.1963408,-2.999208,-3.9167688
413,-1.3286012,-2.2144608,-4.0093584
318,-0.14592834,-0.14292906,-0.20190105
293,-0.80176556,-2.149222,-3.248953
327,-0.21685661,0.62336534,-0.26003015
356,0.46803886,-0.41471636,-1.7053137
442,-0.07217517,-2.2092652,-2.73319
476,-1.8445573,-1.9315579,-3.3852346
337,-1.1627867,-1.8488069,-2.7544668
267,-1.2174518,-2.6601481,-2.9088826
436,1.4750845,-2.5063932,0.86546206
490,0.22749698,-0.95316994,-1.0860467
316,-0.7056825,-0.7740815,-1.5251861
437,-3.4380832,-2.7186553,-5.4008093
385,-1.3571368,-0.9842831,-2.0045352
256,-0.18065302,-0.90945286,0.2234174
415,-2.217804,-2.5633698,-5.194015
338,-0.92625505,-1.1697949,-2.1526845
336,0.0055526528,-1.4397346,-1.858332
455,-0.24616602,-2.207615,-4.488293
347,-0.07346677,-0.70189315,-0.8274026
255,-0.49910575,-1.4662445,-2.4825182
424,-0.72747743,-0.002886057,-2.2546012
367,0.16409148,-0.68094164,0.09102428
439,0.042739805,-1.8051505,-2.76225
305,-0.4133839,-2.0298433,-2.7728155
258,0.1431922,-0.8872659,-2.3055887
402,-0.10192898,-2.0366747,-2.2148528
266,-1.3983942,-0.84502,-1.487922
479,-0.71618134,-1.5709236,-1.9919541
263,-0.7594474,-0.77558845,-0.68843085
412,0.62595445,-0.7347613,-0.9339091
312,-0.89977056,-1.5313724,-2.872176
