,x1,x2,x3
819,0.24395019,0.92052126,2.6978014
707,-1.5048563,-0.5865987,-1.1948575
962,-0.5351227,0.06784199,0.4589488
645,-0.33032018,-1.1551235,-0.620878
931,-0.11181335,-0.39377803,-0.47656003
825,0.10516032,-0.07746028,0.4466372
512,-0.38079435,1.5516659,0.82084435
637,0.45133573,1.202801,0.8563848
569,-0.13185777,0.038283445,-0.023861181
795,-1.2710499,-0.5022294,-0.57211405
840,0.3183304,-1.1519551,-0.034435295
607,0.4978757,1.5969363,3.347622
919,-0.7690699,0.35290518,0.89655906
715,-0.8812001,0.26814768,0.8484449
794,1.1555814,-1.3688339,-1.860505
589,-0.1925081,0.5095185,0.8606649
960,0.08088823,-1.2219772,-0.80155087
988,-0.98896736,-0.6070347,0.18326004
761,-0.24058856,-1.1485126,-1.3136126
778,-0.25897774,-1.1504427,-0.86057377
918,-0.32837874,-0.83749753,0.06880709
510,-0.41532406,0.26768067,1.1620051
611,-2.36302,-0.63975316,-1.2822396
987,-0.24066319,-1.1606175,-1.2807181
874,-0.7331529,-0.6492863,-1.2772784
798,-0.20784865,-1.148217,-1.1114334
659,-0.1697148,-1.6003587,-0.57376826
944,-0.6394473,-0.41805694,0.44554833
639,1.1722806,0.7800423,3.3593924
964,-0.15425804,-1.3676758,-1.2741069
678,-0.11725309,-0.09450147,-0.6109309
679,-0.23827268,-1.190399,-0.67578375
734,-1.6971769,-0.6425367,-1.2739692
688,0.995323,-1.2203676,-0.10124621
877,-0.17650916,-1.3492627,-0.73405325
726,-0.23149832,-1.1490782,-1.2106614
740,-0.37319833,0.6712167,1.5535924
847,-0.26263836,-1.1713521,-0.46347585
923,-0.6364629,-0.59900177,-1.2776192
756,-2.3736613,-0.7156311,-1.2845132
508,-0.2588746,-1.4145225,-0.51900345
544,-0.16007246,-0.9102061,-0.03698852
845,-0.25402635,-1.0579269,-0.8802888
730,-0.4609953,-0.66380394,-1.2488668
528,-1.2029724,-0.6550907,-0.8697887
844,-0.12173551,-1.3714726,-0.57865655
780,-1.4534155,-0.6912507,-0.19126025
976,-1.4904613,-0.64482445,-1.4990933
894,-1.2018785,-0.3909433,-1.0559206
748,-0.26280698,-1.2313249,-0.8948914
621,-0.005804232,-1.2445718,-1.3105423
583,-2.034458,-0.6587274,-1.3109678
739,-2.2950208,-0.6320056,-1.2766584
983,0.025772447,-0.86067,-0.5447749
640,-0.42099345,-0.50638604,0.21342263
957,-0.18942961,-0.84783953,-0.6161995
858,-0.28070003,-1.2063844,-1.2626008
713,-0.10955832,-0.8311081,-0.55975163
619,-0.36001217,0.55264145,0.40300423
708,-1.6562067,-0.65704316,-1.2593514
683,-1.3142093,-0.5936221,-0.8181813
536,-0.32818907,-2.0372062,-2.4412735
855,0.30412802,-1.6113247,1.4656819
532,-0.31081867,-1.0725247,-0.5144911
813,-0.27873814,-1.1800992,-0.66200876
937,-0.6027884,0.87968576,1.5870697
779,0.21771097,-0.45239425,0.7170998
854,-1.3016512,-0.64914834,-1.0943465
711,-0.2373499,-1.1660247,-0.8719075
564,-1.4565682,-0.023265075,0.38045996
821,-1.2086703,-0.24283093,0.19612889
814,0.57160336,-0.7716457,0.9655409
952,-0.12565482,-0.31111327,0.19629148
993,-0.2131029,-1.2349839,-1.3019329
930,-1.2100941,-0.15763065,0.42046672
689,0.3564757,1.1066667,3.1278348
533,-0.17151715,-1.2490937,-0.6845496
695,-0.2937745,-0.66088265,-0.092126474
642,-1.3440927,-0.5707147,-1.0751392
743,-0.30337813,-1.3896747,-1.2734631
800,-0.24233441,-1.117546,-0.86203116
797,-0.26157564,-1.1824846,-0.7174511
504,-0.58392453,-0.6104651,0.078164674
860,0.29876047,0.59826183,1.6233867
616,0.2347445,-0.15436886,0.6996451
627,0.012389193,-0.55576384,0.92157805
604,-0.3157663,-2.0196378,-1.9459167
624,-0.17940328,-1.4563638,-1.284141
549,0.12477992,-1.1321305,-0.8575385
938,-0.29782596,-0.6675471,-0.12240229
804,0.33672434,0.4996939,0.46005887
948,1.2547463,-1.5184063,-1.9046513
574,-0.17337117,-1.2851354,-0.6977459
530,-2.0744646,-0.6418261,-1.1439009
790,0.24241023,0.05774813,0.67573833
503,-0.27419338,-1.1512239,-1.2444898
716,0.2600682,0.8373066,2.753893
547,0.07749317,-1.4179384,-0.62229836
560,-0.3856883,-0.880513,0.18960166
949,-0.6779487,-0.57032293,0.4208261
