,x1,x2
630,2.2,-0.0
567,1.6,0.0
917,1.9,0.0
781,1.0,-0.0
832,1.0,-0.0
586,1.7,0.0
978,3.9,4.2
758,0.8,0.0
641,1.1,2.0
865,1.9,0.0
814,0.3,3.6
789,0.2,0.5
944,1.6,-0.0
720,0.2,2.1
568,1.7,1.8
609,1.2,-0.0
594,1.9,2.0
869,1.4,-0.0
703,0.6,2.6
643,3.1,2.1
982,0.7,-0.0
545,2.1,0.4
968,0.8,0.0
735,0.4,0.2
655,1.8,1.3
850,2.3,2.6
652,2.0,2.1
846,1.2,-0.0
659,1.4,0.0
516,3.7,2.4
584,0.9,-0.0
769,0.7,0.0
801,1.3,1.3
806,0.5,1.8
684,1.9,0.0
543,1.2,0.0
702,1.3,0.5
879,0.3,1.8
704,1.3,0.0
829,1.4,0.0
549,0.8,-0.0
973,0.6,1.0
779,2.3,2.7
711,1.6,-0.0
856,0.2,4.1
678,3.4,3.1
506,1.7,-0.0
906,2.6,1.0
533,2.1,2.3
571,1.1,-0.0
889,3.2,2.8
762,2.3,2.6
667,2.3,1.7
532,0.3,-0.0
685,1.5,0.9
748,1.3,1.8
754,2.6,0.0
744,1.0,0.0
503,1.2,0.0
583,1.7,0.0
679,1.3,0.0
877,2.3,0.0
766,0.4,-0.0
997,0.5,0.0
500,1.0,-0.0
793,0.8,0.0
693,0.6,0.0
914,2.1,2.1
722,1.3,0.6
874,0.8,2.1
590,3.0,-0.0
740,1.6,0.0
887,0.5,2.3
803,2.1,0.0
522,0.9,1.1
654,0.7,-0.0
610,1.3,0.0
566,0.7,1.8
936,1.5,0.0
632,0.8,-0.0
871,0.0,0.4
878,1.5,-0.0
993,0.5,-0.0
916,0.5,0.0
922,2.1,0.0
783,3.0,2.8
670,2.3,-0.0
943,1.0,2.1
773,0.5,1.4
613,0.7,0.9
986,1.4,2.3
639,0.3,0.0
726,2.6,1.8
635,1.7,2.1
736,0.4,0.0
858,1.3,0.0
984,0.8,0.7
883,0.6,0.0
808,0.2,0.9
716,1.4,2.8
