,x1,x2,x3
630,-1.5858052,-1.6223227,-4.51405
567,-0.76055425,-0.37984592,-2.4975057
917,-1.2785716,-1.0803609,-2.1223736
781,0.025983924,0.005742196,0.058975667
832,-0.44615877,-0.1730133,-0.46443325
586,-0.86513597,-1.240287,-2.6653187
978,-3.184102,-3.8187456,-5.3218784
758,-0.48357746,0.03659329,-0.025836766
641,-1.5516322,-0.4200847,-2.1832778
865,-0.5057116,-1.4104654,-4.2449865
814,-0.96752405,-1.7309072,-2.923428
789,0.44879127,0.062437862,0.9873157
944,-0.8969443,-1.0793256,-2.2838056
720,-0.41673788,-0.58640313,-0.6373137
568,-1.0529728,-1.692521,-0.46203852
609,-0.45107782,-0.49253118,-0.6058314
594,-1.2488484,-1.3456026,-4.1981053
869,-0.64556855,-0.44221205,-3.3188066
703,-0.37415603,-1.6134212,-1.065594
643,-2.0752983,-1.9581794,-4.7547293
982,0.013555261,0.32457063,-0.058211327
545,-0.94312793,-0.37394428,-0.92370236
968,-0.28184682,-0.44110125,0.5678125
735,0.68039125,0.19286948,1.0906953
655,-1.2041537,-0.6696457,-1.6049044
850,-1.4711487,-2.121,-4.647111
652,-1.4679115,-1.4167751,-4.557584
846,-0.3377512,-0.40103734,-1.613469
659,-0.72279865,-0.8308602,-2.77069
516,-2.78784,-2.2457151,-4.9297485
584,-0.157084,0.34443194,-0.44104636
769,0.3174033,-0.27613625,0.08499265
801,-0.96890885,-0.71800613,-0.24186659
806,0.21426785,-0.8712089,-2.5867987
684,-0.8077879,-1.8745251,-1.6957479
543,-0.90643364,-0.70747745,-0.1458956
702,-0.4513726,0.025515199,-0.5633583
879,-0.21711053,-0.5125486,-0.85708255
704,-0.6633423,-0.20357081,-1.8281078
829,-0.76855206,-0.5354986,-3.0723839
549,0.10339804,-0.2681669,-0.069503926
973,-0.30348322,-0.48666012,0.21810286
779,-1.62147,-2.1524155,-5.4154973
711,-0.8700874,-1.1009331,-3.342605
856,-1.6616951,-1.4744116,-1.7425975
678,-2.516823,-2.8324554,-5.456714
506,-1.5715393,-0.58456236,-4.7543206
906,-1.5164897,-0.93920976,-1.9080126
533,-1.4546024,-1.8794204,-1.6578833
571,-1.1970428,0.22396493,0.46754444
889,-2.4992335,-2.3302705,-4.5106397
762,-1.6572926,-2.2107213,-4.062028
667,-1.4034661,-1.3716325,-4.628289
532,0.3086609,0.6994431,0.98663414
685,-0.7685079,-0.43118212,-0.7642015
748,-1.0571498,-0.973838,-1.5795366
754,-2.0132875,-2.062963,-3.7022114
744,-0.3016455,-0.35773224,-0.6859539
503,-0.5912257,-0.31427303,-1.3306662
583,-0.63964343,-0.488769,-2.7993474
679,-0.12996922,-0.80020976,-1.5026323
877,-1.6306158,-1.5168179,-1.7693712
766,0.13287432,0.53545606,0.8266836
997,0.85680586,0.9403072,0.08363545
500,0.08041246,-0.6279481,-0.39163548
793,-0.32202822,0.14793393,-0.099642456
693,-0.12392984,0.16039313,0.55946267
914,-1.3162736,-1.658262,-3.6789017
722,-0.32505128,-0.24323072,-0.4182182
874,-0.6470024,-0.87077653,-2.3158896
590,-1.9951652,-2.7304091,-5.394579
740,-1.1184375,-0.823684,-1.8969539
887,-0.62314737,-1.236944,-0.696061
803,-1.3792409,-1.7010083,-2.571721
522,0.1750986,-0.77060246,-0.6709647
654,-0.29854223,0.6789578,0.59972215
610,-0.501025,-0.49332052,-2.2631183
566,0.116268024,-1.2654544,-1.4080698
936,-0.98663396,-0.14284831,-1.7199149
632,-0.2942553,0.1450626,-0.19440985
871,0.15856095,0.90514296,1.2124043
878,-0.8595435,-1.0734999,-1.6740258
993,0.25342932,0.48740107,1.0250502
916,-0.14184514,0.53468895,0.6706126
922,-1.3346837,-1.7124968,-1.8671753
783,-2.303987,-2.2763245,-4.828616
670,-1.6675316,-1.7775024,-2.8092022
943,-0.6883969,-1.1435833,-2.6556964
773,0.051152322,-0.7105429,-0.3592566
613,-0.34101397,-0.35427397,0.25262934
986,-0.94959295,-1.6618464,-2.181018
639,0.2824378,1.0299673,0.89885604
726,-1.9371145,-1.3573788,-1.9800943
635,-1.1679121,-1.5897691,-2.1147213
736,0.6839529,0.046310246,1.062222
858,-0.65927905,-0.5048941,-2.4608192
984,-0.38219172,-0.16509666,0.3063894
883,0.19279777,0.09722032,-0.11378574
808,0.35265064,0.053954363,0.4241191
716,-1.0727869,-1.9432559,-3.0182385
