,h_post,h_post_individualized
707,0.42,
595,0.6,
736,0.56,
824,0.76,
702,0.64,
731,0.68,
639,0.58,
604,0.52,
703,0.68,
509,0.52,
649,0.56,
916,0.56,
894,0.5,
856,0.28,
967,0.42,
591,0.6,
722,0.46,
924,0.76,
743,0.64,
846,0.48,
942,0.62,
855,0.74,
982,0.52,
905,0.58,
826,0.3,
563,0.58,
612,0.33999999999999997,
603,0.58,
676,0.54,
656,0.62,
564,0.58,
862,0.52,
799,0.8,
594,0.48,
689,0.52,
596,0.94,
536,0.54,
587,0.52,
502,0.5,
762,0.38,
664,0.62,
957,0.52,
586,0.5,
557,0.54,
858,0.54,
659,0.54,
890,0.54,
622,0.84,
616,0.54,
896,0.52,
585,0.52,
761,0.74,
605,0.62,
944,0.52,
996,0.5,
770,0.52,
822,0.54,
776,0.52,
739,0.5,
714,0.5,
830,0.58,
853,0.4,
721,0.54,
686,0.52,
642,0.5,
946,0.52,
786,0.58,
775,0.54,
779,0.32000000000000006,
540,0.78,
904,0.5,
570,0.62,
635,0.5,
921,0.38,
632,0.5,
709,0.82,
628,0.54,
851,0.64,
840,0.56,
704,0.6,
767,0.38,
610,0.6,
560,0.64,
512,0.62,
854,0.4,
723,0.52,
619,0.52,
954,0.58,
655,0.3,
661,0.5,
937,0.64,
758,0.52,
631,0.52,
745,0.52,
947,0.36,
784,0.52,
819,0.6,
737,0.64,
911,0.6,
711,0.62,
