,x1,x2
772,0.4,2.0
856,0.5,0.0
967,0.1,0.1
684,0.4,-0.0
688,0.3,0.0
615,0.5,1.3
546,0.4,0.0
625,0.5,1.4
586,0.1,0.2
973,1.2,1.0
940,0.7,3.2
690,0.7,0.9
865,0.4,1.3
756,1.3,1.3
811,1.3,1.0
759,0.4,1.4
500,0.1,3.6
854,0.0,0.5
969,0.5,0.4
626,0.2,1.5
782,0.4,-0.0
660,0.2,0.0
930,0.1,1.0
652,0.3,0.0
504,0.8999999761581421,1.399999976158142
804,0.0,0.1
522,0.4,-0.0
569,0.2,1.5
799,0.7,2.4
734,0.1,1.8
592,0.6,2.7
859,1.0,-0.0
603,0.7,0.3
993,0.7,-0.0
956,0.0,2.3
897,0.0,0.9
900,0.5,0.0
733,0.1,4.4
536,0.4,-0.0
529,-0.0,-0.0
966,0.9,-0.0
601,0.4,-0.0
889,1.3,0.0
713,0.8,0.0
630,0.4,2.1
644,0.2,0.0
885,1.0,-0.0
723,0.7,1.0
857,1.4,-0.0
874,1.6,0.0
640,0.7,1.8
847,2.1,2.1
816,0.7,1.4
808,0.8,0.0
621,0.2,1.7
567,1.0,1.3
965,0.6,0.0
680,0.0,1.5
564,0.0,2.0
590,0.7,1.5
507,0.4,1.0
614,0.0,0.2
702,1.3,2.0
903,1.0,1.5
747,0.3,-0.0
836,0.3,0.8
560,0.5,0.0
704,0.2,2.1
820,0.9,0.0
503,0.1,0.0
696,0.2,0.0
619,0.0,0.1
583,-0.0,0.8
506,0.2,0.9
646,0.6,1.4
869,0.5,0.0
541,1.3,0.0
784,0.5,0.0
988,0.5,0.0
778,0.1,1.9
609,-0.0,-0.1
556,0.1,2.0
679,1.1,0.0
627,0.1,0.0
863,0.1,1.3
901,0.1,-0.0
834,0.6,0.0
755,0.5,0.7
761,0.1,1.8
749,-0.1,0.0
992,0.4,3.3
685,0.0,0.1
705,0.5,0.5
628,0.1,3.2
667,0.1,2.2
698,0.0,0.2
807,1.0,0.0
588,0.5,1.8
850,0.2,-0.0
912,0.9,0.2
