,h_post,h_post_individualized
955,0.48,
542,0.56,
547,0.54,
660,0.5,
593,0.58,
505,0.52,
747,0.54,
650,0.54,
795,0.5,
745,0.52,
822,0.5,
578,0.5,
673,0.58,
983,0.5,
564,0.5,
855,0.58,
775,0.42,
992,1.0,
810,0.52,
796,0.5,
742,0.5,
520,0.54,
862,0.5,
785,0.58,
953,0.5,
644,0.46,
982,0.66,
894,0.5,
897,0.5,
568,0.5,
501,0.56,
959,0.56,
559,0.54,
596,0.68,
639,0.52,
553,0.56,
595,0.52,
813,0.5,
997,0.52,
604,0.54,
613,0.6,
687,0.58,
825,0.56,
565,0.36,
507,0.4,
963,0.32000000000000006,
771,0.56,
823,0.64,
905,0.58,
580,0.5,
598,0.52,
787,0.56,
966,0.56,
835,0.5,
703,0.52,
526,0.64,
830,0.68,
898,0.5,
946,0.6,
717,0.5,
563,0.62,
939,0.52,
635,0.62,
909,0.56,
842,0.5,
940,0.54,
890,0.5,
575,0.58,
612,0.5,
938,0.58,
711,0.7,
770,0.6,
546,0.54,
669,0.42,
929,0.48,
646,0.52,
704,0.64,
987,0.54,
973,0.6,
994,0.58,
877,0.5,
685,0.38,
522,0.66,
846,0.72,
548,0.5,
915,0.58,
885,0.58,
979,0.56,
727,0.56,
528,0.52,
549,0.52,
936,0.22,
760,0.58,
803,0.46,
670,0.54,
761,0.58,
998,0.5,
718,0.64,
529,0.4,
705,0.54,
