,x1,x2,x3
517,-0.0,-0.0,2.8
548,0.1,2.3,0.0
634,0.9,0.4,0.0
895,-0.0,-0.0,2.2
610,0.1,0.2,3.2
513,2.2,2.3,8.0
774,-0.0,-0.4,6.6
722,0.1,-0.0,1.4
739,0.0,0.0,1.0
877,1.0,-0.1,3.0
566,0.0,-0.0,2.5
936,0.4,-0.1,2.7
633,2.6,1.7,5.7
833,0.1,0.1,2.5
790,0.1,-0.0,4.0
982,0.0,0.0,0.9
922,0.1,0.3,3.1
668,0.0,0.0,2.2
507,-0.1,0.1,1.3
793,-0.0,0.0,1.0
801,-0.0,0.1,1.3
594,0.3,0.2,5.3
927,0.1,-0.0,1.1
756,-0.0,-0.0,1.5
881,-0.0,0.0,0.8
590,0.9,1.3,6.6
903,0.7,1.0,-0.0
502,-0.0,0.3,5.2
611,0.2,0.4,3.4
657,0.3,1.0,6.3
534,0.0,0.1,1.2
815,0.0,-0.0,0.5
740,0.1,0.1,3.1
953,0.0,0.2,3.3
515,0.1,0.1,3.2
609,-0.1,0.2,1.6
665,0.3,-0.0,3.8
573,-0.1,0.9,3.9
792,-0.0,0.2,5.5
852,0.0,-0.1,0.6
699,0.1,0.0,3.1
923,0.0,-0.0,0.7
894,0.0,0.1,4.4
980,-0.1,0.1,2.1
857,0.0,0.0,0.6
808,-0.0,0.0,0.3
710,0.3,0.2,5.2
530,-0.0,0.4,0.1
662,0.0,0.1,0.8
584,0.0,-0.0,1.4
514,0.1,0.3,0.2
850,0.6,1.3,5.7
914,0.6,0.6,4.7
832,0.1,-0.0,1.5
944,0.2,0.2,3.3
714,0.5,-0.1,4.3
701,2.6,1.3,0.0
879,0.0,-0.1,1.8
746,0.1,0.1,1.1
544,0.8,0.0,3.9
516,1.3,0.7,6.3
795,0.0,0.1,0.3
654,0.1,-0.1,0.3
577,0.1,0.1,5.7
725,0.2,-0.2,2.1
552,-0.0,0.3,3.4
723,0.0,-0.0,1.9
629,0.1,0.1,1.4
569,0.1,0.0,0.7
841,0.0,-0.0,1.2
542,0.0,-0.2,1.1
965,0.1,0.0,0.7
565,-0.1,-0.2,2.4
541,-0.0,-0.0,2.8
674,0.0,-0.0,0.2
967,0.0,-0.1,0.9
616,-0.0,0.1,1.8
703,0.1,0.0,2.1
782,0.0,0.0,1.1
568,0.1,0.4,1.6
978,1.6,2.7,6.6
693,-0.0,-0.0,0.3
716,0.3,0.0,4.2
883,0.6,0.0,0.0
684,0.4,0.6,2.7
709,0.5,0.1,1.6
540,0.0,0.0,0.2
943,0.1,0.1,3.7
642,-0.0,0.2,0.4
751,0.0,-0.0,1.0
778,0.0,0.0,0.9
837,0.8,0.7,7.8
932,0.0,0.0,2.0
522,-0.0,-0.0,1.5
720,0.0,-0.1,1.6
656,0.0,-0.1,2.1
991,1.4,2.0,-0.0
856,0.5,0.3,2.9
702,0.3,-0.1,1.4
747,0.5,-0.0,0.0
