,x1,x2,x3
803,0.6612695,0.5071975,2.7167778
709,0.5561169,0.64662695,2.5797496
723,0.36100814,0.88902736,1.480558
805,0.35441923,2.3396947,1.1097853
584,1.3472306,0.8174656,2.2696018
875,0.7392831,0.9665903,2.5363617
864,0.36368513,1.2107323,1.3021572
921,1.1211935,0.5084101,1.4229169
628,1.3515635,0.46728653,1.1630882
703,1.0683583,0.65392745,2.462965
780,1.084481,0.5933553,1.232329
905,-0.10572529,1.1781032,2.005857
848,0.6215217,0.83560103,2.0793548
808,1.1651345,0.84924185,0.9317448
986,0.31025493,0.82403195,2.6044483
677,0.75245637,0.5045199,1.5892837
800,1.328551,-0.09771216,1.4491588
819,0.9815776,0.96003276,2.2478478
796,0.41503122,0.6770152,1.6184251
981,1.080506,-0.35587364,2.216065
993,0.57097006,0.5185687,2.140654
866,0.61755985,0.6680596,2.3029063
512,0.8184604,1.2561452,2.2080643
563,0.625059,0.48739052,2.970472
975,0.8981151,0.069391586,1.7926152
895,0.6346499,0.7212295,1.1055077
639,0.5891605,0.7682631,1.3986943
758,0.41777244,0.6040748,1.7384237
872,0.6485667,1.3318835,2.079466
525,0.7448858,1.3301125,2.02169
751,1.2352202,0.836396,2.7470887
593,1.2804517,1.3134838,2.9039524
904,0.35977417,0.62867504,1.9938272
589,0.963013,0.67173636,2.420736
992,0.7530355,0.8925799,1.8148956
871,0.8518325,0.55126315,2.2315302
789,1.322923,0.7665843,1.7273964
784,0.7381088,1.0499225,2.110409
616,0.20676222,1.1054486,0.7941323
840,0.60341513,0.7201684,1.635659
948,1.0020231,1.3253587,1.8318466
742,0.756595,0.34917507,2.1327736
657,1.2764759,0.8907641,1.642089
708,0.8485261,0.71236587,2.7869518
670,1.2515324,0.6667396,1.8317039
883,1.1075921,1.2495183,1.2141774
669,0.12929276,0.9669939,2.0763328
915,1.5207676,0.63500714,1.8115433
659,0.7849144,0.35035482,2.7083936
987,0.48223057,1.7535458,1.32069
844,0.895458,0.07523446,2.6493714
635,0.63511616,0.83878386,2.2683825
685,1.142268,1.2271523,0.9862716
999,0.39118782,1.0230267,1.6358392
588,0.39399704,0.61750865,2.7098799
882,0.6493399,0.8185452,1.8449516
818,0.16733515,1.2534378,1.1839671
513,1.2249653,0.6309633,1.9933708
837,0.8186831,1.6304775,2.342507
890,0.6745121,1.0810196,0.92883766
566,0.853009,0.39093137,0.82447267
790,1.3699503,1.8914891,0.97608757
861,1.3104872,0.71274734,2.1025171
517,0.4871843,0.40104204,2.0920641
859,0.18769331,0.901888,1.759929
645,0.7694497,0.6246212,1.761959
930,1.0594358,0.51621705,1.9934071
884,0.31798884,1.3539002,1.032305
913,0.9319148,1.128461,2.352443
775,1.1694838,0.69138217,1.4350438
899,1.4098002,-0.018554807,1.7176013
893,0.648549,0.8586574,1.4463633
807,0.6338756,0.6114422,0.932137
836,1.2673397,0.48399436,2.6999893
924,0.66375786,0.9793802,1.9025341
965,0.5356549,1.4814931,1.5210271
901,0.5698855,0.74122846,1.5333633
667,0.6492809,2.3647442,0.72667456
858,0.3322089,1.2008803,1.0384179
769,0.7748945,1.0077662,2.1417475
870,1.1968755,-0.42501077,3.195168
713,0.7483844,0.31876945,1.6951894
779,0.91088355,0.27970347,2.355961
502,0.8989645,0.47864062,2.1400578
783,0.99962413,0.79346687,2.1355221
625,0.632385,0.9621986,2.1957638
990,1.1908642,0.4475984,1.1362506
745,0.8832119,0.18589824,1.9375042
650,1.1547437,0.5562899,1.7262152
515,1.0175331,1.5489895,2.2805243
968,0.76492834,0.37987006,1.5845628
744,0.14667933,1.1704139,1.7201842
608,0.5727893,0.85249645,2.3860018
549,1.388552,0.26005363,1.4344045
804,0.11168138,1.2038299,2.5470598
725,0.9390653,0.8400171,1.5531775
508,0.67250955,0.5804849,2.7226284
792,-0.0901113,1.3540013,2.0915487
849,0.73064554,0.16071603,2.2657113
863,0.38629386,1.1083112,2.3347907
