ix,goal_cost,intv_cost
542,0.798,2.2
588,0.762,1.8
781,0.772,5.199999999999999
591,0.804,1.5
535,0.758,5.0
919,0.788,1.2
711,0.808,2.2
993,0.776,2.2
748,0.754,2.1
715,0.76,1.1
615,0.772,3.9
761,0.814,2.6
632,0.762,1.3
963,0.84,1.5
964,0.754,1.6
758,0.774,1.8
527,0.762,4.3
844,0.758,3.3
583,0.7979999780654907,1.5
573,0.77,0.3
794,0.777999997138977,1.0
969,0.774,1.6
551,0.776,3.8
694,0.7940000295639038,1.0
714,0.77,0.9
785,0.792,2.2
760,0.774,3.6999999999999997
855,0.762,1.9
599,0.754,5.1
674,0.762,3.0
937,0.778,0.30000000000000004
998,0.818,0.8
968,0.778,2.2
932,0.788,0.7
675,0.77,2.0
880,0.768,3.7
566,0.7760000228881836,2.5
589,0.7919999957084656,1.0
702,0.754,1.6
543,0.764,1.7
634,0.752,2.8000000000000003
582,0.952,2.3
804,0.808,1.1
796,0.754,4.2
808,0.784,0.6
547,0.766,2.4
700,0.772,2.1
556,0.798,0.6000000000000001
807,0.802,0.7
763,0.778,1.2999999999999998
886,0.81,1.2
719,0.784,3.8
961,0.756,2.6
879,0.766,1.8
843,0.764,4.9
541,0.766,2.6
991,0.782,2.4
729,0.7760000228881836,2.0
572,0.774,2.1999999999999997
584,0.754,7.4
559,0.774,3.0
523,0.768,4.0
586,0.7620000243186951,5.5
637,0.784,1.7999999999999998
651,0.782,1.2
912,0.804,1.3
698,0.768,0.3
862,0.786,2.0999999999999996
642,0.752,2.6
749,0.77,0.9
946,0.818,1.2
965,0.754,1.0
817,0.774,1.5
631,0.808,2.2
596,0.752,1.2000000000000002
962,0.788,1.3
526,0.76,1.9000000000000001
742,0.76,0.9
546,0.7540000081062317,2.5
682,0.7639999985694885,3.5
827,0.778,2.3
745,0.766,1.4
809,0.768,2.9000000000000004
754,0.812,1.4
705,0.752,1.4000000000000001
977,0.78,0.3
545,0.78,3.5
685,0.772,1.4
914,0.8,1.6
989,0.824,0.4
975,0.79,2.9000000000000004
548,0.756,2.5
900,0.776,1.8
792,0.772,4.9
819,0.798,7.4
903,0.76,2.1
581,0.768,1.9000000000000001
515,0.846,0.2
597,0.788,3.4
746,0.792,2.6
