ix,goal_cost,intv_cost
748,0.872,2.1
975,0.868,0.8
745,1.0,1.9
746,1.0,2.8
619,1.0,7.0
589,1.0,1.2999999999999998
632,0.758,2.5999999999999996
832,1.0,0.5
509,1.0,2.9000000000000004
586,1.0,7.7
771,0.754,3.1
598,1.0,5.7
714,1.0,4.3
655,1.0,0.5
856,1.0,1.4000000000000001
760,1.0,0.8
715,1.0,0.6000000000000001
724,0.772,3.8
830,1.0,2.2
596,0.77,0.2
609,1.0,8.2
955,0.806,0.2
685,1.0,3.2
547,0.774,0.7
852,0.758,2.2
592,1.0,1.6
661,1.0,2.5999999999999996
777,0.77,3.4
557,1.0,0.8
642,1.0,2.1
885,1.0,3.1999999999999997
914,0.994,0.1
590,1.0,1.9
527,1.0,7.3999999999999995
584,1.0,2.2
502,1.0,5.0
853,1.0,1.4000000000000001
826,1.0,2.6
789,0.764,4.7
583,1.0,1.0
545,1.0,0.5
953,1.0,3.8
947,0.758,1.9000000000000001
612,0.804,2.8000000000000003
958,1.0,1.7
580,1.0,1.3
631,0.806,3.9000000000000004
602,0.868,1.9
818,1.0,5.5
995,1.0,3.9
842,1.0,0.4
673,1.0,5.2
731,0.76,2.0
696,1.0,2.3
886,0.82,3.3
704,1.0,3.1999999999999997
979,0.894,1.4
653,1.0,3.9000000000000004
921,0.812,2.0
967,1.0,3.5
762,1.0,0.7
784,1.0,2.2
767,1.0,4.800000000000001
770,1.0,2.3000000000000003
538,1.0,2.2
934,0.8,0.4
893,1.0,1.0
628,1.0,0.6
920,0.816,4.3
623,0.864,1.0
809,1.0,1.4
621,1.0,8.2
755,0.76,3.6
828,0.848,2.9
822,1.0,7.8
721,0.764,1.4
604,0.764,0.8
546,0.798,1.7
512,0.766,3.4
946,1.0,2.1
937,1.0,4.2
613,0.912,5.8999999999999995
890,1.0,8.5
650,1.0,8.3
951,0.886,1.4000000000000001
702,1.0,2.1
622,1.0,5.6
737,1.0,3.8
779,1.0,3.2
744,1.0,2.5
728,1.0,1.0
905,1.0,3.8
982,1.0,3.3000000000000003
536,0.886,1.2000000000000002
901,1.0,1.9
795,1.0,4.7
944,1.0,3.9
840,0.758,1.3
874,0.798,1.7000000000000002
854,1.0,1.5999999999999999
