,x1,x2,x3
529,0.3,1.1,2.2
959,0.9,0.0,0.0
885,0.1,1.3,0.0
500,0.1,2.6,-0.0
953,0.1,0.1,1.2
830,0.0,1.1,0.0
626,0.2,0.0,3.3
821,0.0,1.2,4.0
985,0.0,0.5,-0.0
514,0.1,0.7,-0.0
701,0.0,0.1,0.4
589,0.6,-0.0,1.7
580,0.1,-0.0,0.0
995,-0.0,0.2,2.7
907,0.0,0.4,3.4
961,0.0,-0.1,1.2
518,0.1,0.0,3.8
928,0.6,-0.0,5.0
759,0.1,0.6,3.3
849,0.0,2.7,4.6
863,0.4,0.7,-0.0
921,0.1,0.0,0.1
688,0.0,0.3,0.0
618,0.1,0.7,4.0
733,0.8,-0.0,3.7
981,-0.0,0.1,1.9
609,0.1,0.0,1.7
919,0.0,0.1,1.5
649,0.3,2.0,5.4
724,-0.0,0.0,0.2
851,0.6,0.0,0.0
790,0.0,0.3,-0.0
553,0.1,0.0,-0.0
747,0.3,-0.0,1.3
913,0.4,0.7,-0.0
902,-0.0,0.2,2.4
719,0.3,0.0,4.6
808,0.0,0.3,2.7
990,0.4,-0.0,3.5
646,1.2,0.0,-0.0
520,0.5,0.0,-0.0
661,0.1,0.0,1.2
720,0.5,0.0,-0.0
803,0.3,0.3,4.5
584,0.1,-0.0,0.1
866,0.0,0.7,3.6
869,0.5,-0.0,3.3
833,0.0,1.0,0.0
875,0.2,-0.0,1.9
653,-0.2,0.0,0.5
516,-0.0,0.4,0.0
848,0.3,1.3,2.8
508,0.2,1.0,0.0
908,0.0,0.4,1.6
762,0.1,0.4,2.3
744,0.4,2.1,0.0
652,0.1,-0.0,0.0
565,0.3,0.0,2.3
671,0.1,0.0,0.7
741,0.0,0.2,3.7
880,0.0,0.0,0.5
816,0.2,0.6,0.0
964,0.1,1.2,3.3
708,0.2,0.0,2.6
780,-0.0,0.9,-0.0
799,0.3,-0.0,0.0
931,0.0,0.1,1.8
660,-0.0,0.0,2.1
930,0.1,-0.0,1.7
722,0.7,-0.0,3.3
543,-0.0,0.0,1.0
738,0.1,0.8,4.5
927,0.2,0.7,4.2
681,-0.0,0.1,3.2
604,0.1,0.1,1.6
911,0.3,-0.1,4.2
925,0.0,0.2,3.8
577,0.3,0.2,1.3
680,0.0,0.1,0.6
897,-0.0,0.2,3.9
910,0.4,0.0,0.4
945,-0.0,0.1,1.8
906,0.6,-0.0,2.2
757,0.5,-0.0,1.3
847,0.0,-0.0,0.6
602,0.3,-0.0,0.0
606,0.1,-0.0,-0.0
782,0.1,0.9,2.5
891,0.7,0.3,-0.0
501,0.0,-0.0,0.2
665,0.6,-0.0,3.1
711,0.5,-0.0,3.1
802,0.4,0.0,0.0
809,0.1,-0.0,0.0
881,0.0,0.4,0.0
651,-0.0,0.1,1.8
769,0.1,1.6,4.2
793,0.8,0.0,-0.0
591,0.1,0.0,0.9
586,-0.0,-0.0,0.7
