,x1,x2,x3
570,-0.5002898,-0.0747273,0.94547015
954,0.030294847,0.34131184,1.2013363
934,0.18520191,0.41679344,-1.2711236
660,-0.33477387,-0.4047633,0.9623325
575,-0.13438515,-0.34911755,0.8736124
920,0.3111489,-0.5286182,0.7984693
637,0.7705705,0.37937906,0.7594037
650,-1.7728987,-0.5494954,1.8622669
867,-0.6745673,-0.04887891,0.98268896
833,0.26729974,-0.32615995,0.71936625
871,-0.8654148,-1.1640226,1.5733858
706,-0.07478334,-0.49544588,0.9173073
796,0.49419498,0.0061435103,0.57696146
638,0.021727642,-0.6012257,0.92469126
972,-0.30768755,-0.24755113,1.2062263
863,-0.35122278,-0.546132,1.0335486
662,0.54444623,0.46213403,2.2552779
649,-0.21086569,0.07162661,0.65304196
888,-1.1443937,-1.0465533,1.7276623
672,-0.7778378,-0.7115312,1.3826864
956,-1.5248982,-1.527809,2.1399467
656,-0.471201,-0.08615745,0.84959704
770,-1.8791317,-0.7563095,1.8713144
906,0.30905086,0.28103727,0.69383955
527,-1.4574502,-0.67585266,1.6778389
981,0.04248349,0.45508605,0.47575626
807,-0.34816694,-0.22308423,1.2919185
982,0.5278497,0.009129798,0.012680054
845,-0.6528406,-0.5192821,1.1432482
695,0.23182891,0.1576215,0.5076597
596,-0.22887836,-1.2069873,1.3125684
903,-0.2661439,-0.37199554,0.909039
725,0.09429332,-0.17393938,0.6570215
853,-0.09642233,0.068444625,0.6057435
905,-0.67559904,-0.89457697,1.3758923
893,0.042401843,-0.49110532,0.83857566
552,-0.1820223,-0.21676783,0.8112977
580,-0.044985533,-0.40270534,0.84359264
812,-0.6078795,-1.1543893,1.5409917
985,-0.03844011,-0.698568,0.97020125
600,-0.86953974,-0.86328584,1.4580835
670,-0.6954737,-0.542138,1.1865833
914,0.19803521,0.14779183,0.45991424
997,-0.54441833,-0.11973864,0.9068492
657,0.3836874,0.14777586,2.948227
675,0.19957647,-0.3751239,0.72494936
777,-0.4808465,-0.04978051,1.0020088
654,0.4094517,0.20085128,0.42860538
989,-0.2742429,-0.026739765,0.74816847
865,-1.3180785,-0.5932164,1.4786565
957,-0.95926523,-0.60078317,1.3398702
684,-0.76399493,-1.0975931,1.4890846
545,-0.760611,-0.7518229,1.3112546
537,-0.0033700645,-0.109598294,0.9306962
794,0.094906114,0.56819564,1.3366804
538,-0.090999104,0.6596871,0.6190447
531,-0.43738994,1.0514208,1.9428444
878,-0.68933296,-0.1153368,0.9557539
512,-0.6235872,-0.69940615,1.235916
980,-0.6782992,-0.033539914,0.91215324
971,0.112428,0.49395728,0.8831297
816,0.27769458,-0.17078021,0.6516361
630,-0.8012826,-0.8583809,1.4115365
719,-0.6754196,-1.0971247,1.4841095
785,0.097311415,-0.6022433,0.8687649
876,0.037534166,0.47653857,0.071872115
658,-0.056176186,0.8549916,0.23016909
535,-0.64712167,-0.73828745,1.2918888
832,-1.2389989,-1.6211734,2.232551
850,-0.045504782,0.54845625,1.275908
673,0.31447178,-0.24293226,0.6723465
530,0.17871028,-0.04372102,0.5615853
579,-0.6083451,0.20811054,0.75539315
622,-0.44256243,-0.4692503,1.1477262
846,-0.65604246,-0.5384343,1.1695225
568,0.067117564,0.413257,-1.7902839
727,-1.3458766,-0.5044966,1.5331608
810,-0.23047817,-0.661113,1.0717608
802,-0.27990523,-0.016817164,0.76092964
744,-0.94547445,-0.5445133,1.2973813
715,-0.7816631,-1.0453047,1.538645
661,-0.067615606,-0.3470732,1.0533369
565,0.70665556,0.5994659,2.6930962
586,0.12110684,0.47717714,0.84282464
752,-0.17820564,0.5331081,0.42861992
808,-0.5590057,-0.32987148,1.0606173
693,0.13739976,0.03136214,0.5891303
961,0.5341122,-0.15895176,-0.69422793
768,0.4668848,0.10157472,0.25691783
855,-0.95576054,-0.13763683,1.1533937
952,-0.99468493,-0.60368246,1.365911
651,0.18216379,0.1798676,0.8148794
991,-0.06405044,-0.1084002,0.90049726
659,-0.25089076,-0.35492194,0.8968306
823,-0.23923106,0.029245216,0.69294643
942,-0.4011704,-0.67770886,1.1539376
872,0.011024718,-0.41710427,0.8696275
626,-0.28210974,0.04544742,0.69539356
990,-0.17610413,-0.31147885,0.8581236
644,-0.006642389,-0.89629877,1.0622804
