,x1,x2,x3
547,-1.1195425,-1.1448232,-1.0571492
815,0.6811583,-0.65504575,-0.32828027
567,-0.45519632,-1.459975,-1.7148871
986,-0.32498103,-1.0468199,-0.5086038
614,-0.46724734,-1.404303,-1.88166
558,-1.4105086,-2.7363582,-2.8119278
945,-1.5031656,-0.26632333,-1.2330129
594,-0.18712904,-2.1185744,-2.688693
515,-2.1555,-2.3570163,-3.8795643
699,-1.2560828,-0.65284806,-1.8173758
688,-0.6629942,-1.2055516,-0.9091855
750,-1.0839765,-1.0325893,-1.4764731
753,-0.3414425,-1.657925,-1.9197133
729,0.13711771,-0.4541357,0.116966814
734,-0.5271499,-1.8023671,-1.6549311
838,-1.4371426,-1.6010001,-4.1183653
725,-0.62937284,-0.59083605,-1.1357064
635,-0.04400393,-1.3372446,-0.47915673
634,-0.4275782,-0.93531513,-0.8651017
526,-0.7359383,-0.83618957,-1.5838053
577,0.5019946,-1.0025218,0.051962018
934,-0.2854731,-2.5063806,-2.0781016
993,-0.44220817,-1.2135644,-0.44518176
817,-1.4148437,-1.3046379,-2.297824
678,-1.2900159,-1.9122188,-2.9026103
659,-0.63295835,-1.0046178,-0.74070716
693,-0.42043117,-2.035318,-2.6346722
557,-1.3538182,-1.7696072,-1.9980683
636,-0.89151645,-1.3972845,-1.598071
782,-0.70114994,-1.1019615,-0.97761554
813,-0.8036358,-0.11506492,-0.6922425
645,-1.5193998,-0.6265778,-0.5884006
764,-1.0382004,-0.7466068,-1.4514189
963,-1.0507578,-2.1011353,-2.7935398
829,-0.9608946,-0.5936183,-1.4356191
958,0.03706201,-1.1599966,-1.0589926
560,-1.0870407,-1.7624571,-1.8868483
781,-0.5105144,-0.15654314,-0.8466669
794,-1.3967588,-1.6432886,-1.8418583
587,-1.8680097,-0.63096714,-0.6911571
869,-0.9988021,-1.6934862,-0.23345327
999,-1.5585415,-1.3490496,-1.4475186
507,-1.070137,-0.1744737,-0.28022873
565,0.2241123,-2.0376287,-1.4943737
522,-0.6207015,-1.0216138,-0.073604465
566,-0.537572,-1.1923556,-1.1356544
798,0.11638113,-2.072054,-2.276744
541,-0.43750176,-0.9739816,-0.53085446
675,-0.41160974,-1.6124083,-1.5808966
506,0.50640845,-0.24875438,0.5345988
649,-0.9946593,-1.7671514,-2.1058807
502,-0.80054396,-0.6608818,-1.004478
886,-2.6609297,-1.7654189,-3.9123297
504,-1.6579381,-2.7318158,-3.7910674
856,0.3142137,-0.74086446,0.15792346
820,-2.188412,-2.6861045,-4.23612
751,-0.13055778,-1.7810177,0.02613163
712,0.28821263,0.49886087,0.16741168
613,-0.8871105,-1.5826454,-2.9348464
527,-2.1211705,-1.4852571,-2.8230226
737,-0.56186146,-0.45685095,-0.32954925
832,-1.6927323,-1.5691998,-3.208961
732,-0.93106055,-1.5198011,-1.8106749
937,-0.97342825,-0.9284847,-0.9725795
739,-0.8278807,-1.5178792,-1.5861835
924,-0.054715734,-1.8240815,-1.1703224
793,0.15873736,-1.1535149,-1.0337347
771,-1.3512295,-1.3369299,-1.2238219
837,-0.9302924,-0.97005457,-2.220868
513,-1.3429433,-1.9426556,-1.9477749
822,-1.3035736,-1.2173845,-1.8482409
595,-0.8743524,-1.8032277,-2.7770176
882,-0.8517411,-0.78111607,-0.76287967
833,-0.9574448,-0.47508162,-0.9112245
988,-0.55294985,-1.2807217,-2.361878
901,-0.15936574,-1.3215237,-0.9942846
603,-2.3669949,-2.2039864,-3.771938
588,-0.52632844,0.15400249,-0.24772924
841,-0.32075828,-0.6941668,0.41591448
909,-0.9680229,-1.6668882,-2.2731962
619,0.31113043,-0.49840412,0.6078177
964,-2.0651608,-2.0251176,-3.2943423
795,-1.7945383,-1.1710343,-1.8711121
926,-0.9924882,-0.9675684,-0.64367056
908,-1.899943,1.0033542,-0.81831646
762,-0.8923348,-0.1776936,-1.3670945
715,0.6070605,-0.94076294,0.3203135
733,-0.41924977,-2.0831726,-1.499563
921,-0.9170823,-0.7904379,-0.8871872
890,-0.84351766,-1.2586874,-0.55954957
755,0.14940797,-0.79469424,-0.7507125
521,-0.78198934,-0.09153634,-0.11019397
920,-0.024167012,-1.5926278,-0.8223095
834,-0.021309618,-0.31454375,0.32761517
509,-1.5878764,-0.6473859,-1.8361673
941,0.21627373,-0.832151,0.51530015
778,-0.7996263,-0.096508145,-0.088774204
893,-0.21075502,-1.0489208,-0.705621
775,-0.18341705,-1.1083907,-1.1208587
954,-0.36969292,-0.76450765,0.09642249
