,x1,x2,x3
651,0.2,0.8,2.6
598,-0.0,0.0,1.9
658,-0.0,0.0,1.5
650,-0.0,0.0,1.0
879,0.1,-0.0,1.6
702,0.2,0.0,1.7
668,0.7,0.5,3.0
681,-0.0,-0.1,4.9
562,0.0,0.0,0.5
523,0.3,0.4,4.1
819,0.4,0.6,8.9
991,0.4,2.1,5.1
780,-0.0,0.2,2.3
528,0.0,0.2,1.0
901,0.1,2.1,5.5
899,0.6,1.2,7.5
652,0.3,1.8,4.4
638,0.0,0.2,1.9
620,2.3,2.4,6.2
542,0.6,0.1,0.8
932,0.0,-0.1,0.6
540,0.1,-0.0,2.2
964,0.9,0.1,2.5
894,-0.0,-0.0,2.6
962,0.1,-0.1,1.3
732,0.3,0.0,1.0
509,0.3,0.8,1.4
982,0.0,0.1,0.4
963,0.1,0.0,2.3
535,0.2,0.8,5.8
769,0.1,-0.0,1.9
851,0.8,-0.0,2.3
923,0.3,0.0,3.1
692,0.0,0.0,1.6
746,0.7,0.0,2.7
763,0.2,0.0,1.9
846,0.1,0.2,4.4
951,0.4,0.1,4.7
965,0.3,-0.3,0.5
931,0.2,-0.4,1.1
615,-0.3,0.2,5.2
559,-0.0,0.2,2.8
550,0.3,0.1,2.7
588,0.1,0.1,3.2
597,0.8,0.3,5.1
933,0.3,0.4,5.5
781,-0.0,2.0,5.4
737,0.2,0.5,1.2
734,0.2,-0.0,1.8
547,0.5,-0.1,2.0
606,0.5,0.1,2.1
724,0.0,-0.0,2.0
610,0.2,0.4,1.4
712,1.0,0.9,4.0
594,0.3,0.7,3.8
990,0.5,1.0,3.0
928,0.7,0.0,2.0
682,0.1,0.6,3.3
569,0.5,-0.1,2.2
859,0.9,0.4,3.2
992,0.1,-0.1,2.3
567,0.0,-0.1,-0.0
869,0.5,0.2,4.4
989,0.0,0.0,0.9
898,0.1,-0.1,1.5
973,0.2,0.1,0.7
807,0.1,-0.0,1.0
764,0.8,0.0,3.1
790,0.6,0.7,4.4
993,0.4,0.4,1.3
988,-0.0,-0.1,0.1
685,0.0,-0.3,1.4
994,0.1,0.0,0.0
669,0.1,0.0,1.3
584,0.2,0.2,9.4
531,-0.1,0.4,3.2
787,1.0,-0.1,3.8
582,-0.0,-0.1,2.4
908,0.0,-0.0,1.1
503,0.3,0.1,1.9
622,0.8,1.0,5.6
521,0.0,0.0,0.2
674,0.1,0.9,3.5
642,2.0,0.1,5.5
500,0.1,0.1,0.6
720,0.0,0.7,5.1
929,-0.0,0.0,0.8
868,-0.0,-0.0,1.3
843,1.1,0.4,5.9
902,0.8,0.5,2.9
552,0.5,0.6,3.3
700,0.8,1.7,4.7
581,0.0,0.2,2.0
698,0.0,0.8,2.1
537,-0.0,0.7,7.5
662,0.2,0.0,1.5
958,1.2,1.8,7.0
566,1.5,0.4,2.9
718,0.1,-0.1,2.0
913,0.6,0.8,5.5
