,0
884,1.0
982,1.0
800,1.0
717,1.0
886,0.0
971,1.0
787,0.0
868,0.0
765,0.0
546,1.0
778,0.0
723,1.0
809,1.0
808,0.0
601,1.0
975,1.0
859,1.0
720,1.0
566,1.0
725,0.0
545,1.0
931,1.0
946,1.0
559,1.0
554,1.0
746,0.0
885,0.0
718,0.0
855,1.0
954,0.0
729,0.0
576,0.0
994,1.0
705,1.0
861,1.0
627,1.0
812,1.0
523,1.0
819,1.0
943,1.0
827,1.0
838,0.0
531,1.0
869,0.0
733,1.0
527,1.0
900,1.0
712,0.0
872,1.0
937,1.0
987,0.0
951,1.0
742,0.0
839,1.0
751,1.0
860,1.0
503,0.0
817,0.0
509,0.0
541,1.0
792,0.0
823,1.0
719,1.0
582,1.0
669,0.0
862,1.0
620,0.0
540,1.0
738,1.0
641,0.0
586,0.0
866,1.0
901,1.0
926,0.0
652,1.0
615,1.0
830,1.0
807,0.0
555,1.0
621,1.0
660,1.0
569,1.0
963,1.0
700,1.0
763,1.0
903,1.0
997,1.0
757,1.0
616,1.0
715,1.0
603,0.0
761,1.0
622,1.0
748,1.0
594,1.0
637,1.0
658,0.0
988,1.0
928,1.0
521,0.0
