,y_hat
552,False
734,False
626,False
969,False
793,False
766,False
820,False
869,False
588,False
732,False
814,False
817,False
747,False
603,False
966,False
946,False
632,False
644,False
807,False
947,False
804,False
753,False
541,False
549,False
995,False
615,False
865,False
729,False
723,False
786,False
621,False
617,False
881,False
690,False
956,False
792,False
592,False
812,False
553,False
646,False
821,False
721,False
782,False
544,False
689,False
506,False
886,False
776,False
630,False
784,False
569,False
710,False
696,False
802,False
847,False
762,False
759,False
852,False
662,False
547,False
808,False
965,False
688,False
684,False
611,False
656,False
652,False
642,False
903,False
973,False
826,False
850,False
706,False
897,False
685,False
777,False
856,False
791,False
948,False
507,False
733,False
567,False
601,False
939,False
760,False
705,False
542,False
844,False
889,False
692,False
940,False
548,False
587,False
902,False
863,False
851,False
779,False
516,False
741,False
500,False
