ix,goal_cost,intv_cost
864,1.0,1.8
941,1.0,5.4
788,1.0,1.0
867,1.0,0.7999999999999999
762,1.0,2.4000000000000004
737,0.758,4.3
791,1.0,5.0
859,0.986,0.2
549,0.91,4.5
794,1.0,1.7
840,1.0,7.3
963,0.842,5.1
529,1.0,3.8000000000000003
721,1.0,3.6
755,0.828,2.5
916,1.0,1.0
954,0.91,1.3
925,1.0,5.3
707,1.0,4.7
580,0.974,2.2
603,1.0,2.5
851,1.0,1.3
584,1.0,5.1
767,1.0,4.2
653,1.0,2.8
706,1.0,2.3000000000000003
778,1.0,5.0
843,1.0,0.3
596,0.8,1.4
774,1.0,0.9
693,1.0,4.8
842,0.904,0.6
602,1.0,2.1
968,1.0,10.3
658,0.83,8.2
894,1.0,2.5
756,1.0,3.3
852,1.0,6.7
971,0.878,1.6
893,0.86,2.1999999999999997
628,0.924,2.9
534,1.0,4.0
701,0.844,4.7
621,1.0,0.1
705,0.814,1.6
525,0.978,1.5999999999999999
501,1.0,6.199999999999999
699,0.944,1.4000000000000001
966,0.89,4.1
835,1.0,1.6
728,0.814,0.8
622,0.98,1.8
998,1.0,1.0
687,1.0,0.3
674,0.968,1.6
641,1.0,2.5
776,0.798,3.2
514,1.0,2.5999999999999996
928,0.854,2.8
676,0.972,2.5
853,1.0,2.0
637,0.898,3.4000000000000004
685,1.0,4.8999999999999995
542,1.0,2.5
799,1.0,2.5
934,1.0,6.4
761,1.0,3.0
823,1.0,1.5
956,1.0,2.1
505,1.0,0.8
877,1.0,2.8
519,1.0,2.0
562,1.0,0.6
537,1.0,5.1
769,1.0,2.4
541,1.0,5.2
528,0.82,5.199999999999999
871,0.816,2.1
683,0.774,0.5
888,1.0,0.6000000000000001
806,1.0,6.6
810,0.862,3.6
973,0.822,1.3
736,0.778,3.8
839,1.0,6.5
753,1.0,4.0
538,1.0,1.1
909,1.0,0.1
516,1.0,0.6
716,1.0,6.4
673,1.0,1.0
588,0.768,1.6
570,1.0,0.1
734,1.0,6.5
582,1.0,9.4
504,1.0,11.3
926,1.0,4.300000000000001
552,1.0,1.9000000000000001
948,1.0,4.0
661,1.0,3.7
