,u_x1,u_x2,u_x3,u_y
500,1.3801153,-0.25137404,-0.42332375,0.7472247
501,-0.26847935,0.78590786,-0.3209187,0.1640544
502,-1.7101512,1.7732524,-0.07125974,0.43133843
503,0.002981639,-0.14881982,0.13512547,0.6509404
504,2.073119,2.8114502,-0.42866555,0.5925379
505,0.88973296,0.84462386,-0.5527498,0.8567147
506,0.66559315,1.0569531,-0.13604347,0.97583175
507,-1.3684287,-0.33226216,-0.8442075,0.9442085
508,-0.4769177,-0.68415815,-0.1738968,0.747149
509,0.31024328,-1.7785189,-0.19413264,0.99746764
510,-0.99554217,1.9724947,-0.46178764,0.24090219
511,-1.8934113,0.37106696,0.47479331,0.57495904
512,0.47947767,1.5989133,-0.022301372,0.7201749
513,-1.0144924,0.3970901,0.43178076,0.1794852
514,-2.3319705,0.7280505,-0.28468424,0.16049218
515,-0.4546048,0.16723087,-0.21201816,0.4575833
516,-0.100435644,-0.049139224,-0.14951514,0.44086576
517,-0.9141987,1.6599606,0.39454848,0.25725746
518,1.2663789,-0.02803528,-0.68148404,0.6330172
519,-0.11616618,-2.6462798,-0.97715527,0.14923298
520,-0.20641366,-0.15527639,-1.2020077,0.23491383
521,-1.251816,0.75617844,0.5564934,0.011233687
522,0.45847678,-0.48324805,0.5530501,0.21462727
523,-1.5322195,0.42435196,0.022816675,0.42844248
524,0.15064393,0.26608008,-0.2987729,0.5992756
525,0.5473746,0.2982206,-0.42599833,0.69798553
526,-0.019012772,1.0992538,0.9006633,0.7603233
527,0.8383601,-1.1636891,-0.6097064,0.8515867
528,1.4768465,-0.06521612,-0.6881495,0.6611819
529,-0.045502782,-1.1892921,-0.042556442,0.29768503
530,-0.101753555,0.4290886,0.24951844,0.97009706
531,0.48041615,-0.5123558,0.30515486,0.7471721
532,-1.9106457,0.53611577,0.6664856,0.6647104
533,-0.35735196,0.17553072,0.12283038,0.10758495
534,-0.5414866,-1.0480546,-0.17543708,0.05404997
535,1.124938,0.7926242,-0.8145427,0.77612245
536,-1.8108054,-1.2085351,0.6561988,0.56025445
537,2.270188,-1.1019293,0.1999544,0.6666126
538,-0.6583072,0.19952588,-0.060474817,0.21636581
539,2.045266,0.40934575,-0.022314232,0.8544769
540,0.13276249,0.64492446,-0.82455707,0.68586624
541,0.74487793,-0.9557917,0.22523056,0.49370944
542,1.1562219,2.0502224,-0.70321023,0.8216511
543,0.61146826,0.92177886,-0.41643712,0.78502774
544,0.63025296,-1.6470666,0.47677916,0.21880198
545,-0.22254176,1.9398227,0.13709626,0.47449458
546,0.42848453,0.25845662,0.36357528,0.8046162
547,-0.43253863,-0.2275309,-0.020424455,0.22410715
548,0.5358481,-0.04626616,0.6165729,0.19517982
549,-0.27291307,0.3777249,-0.72179335,0.30951846
550,0.28670472,-0.059839226,0.5325727,0.014745712
551,-0.6184449,1.3152869,0.36266565,0.18916476
552,0.84516907,-0.82278866,-0.25146475,0.59531057
553,0.54011196,1.6691966,0.18333276,0.29756057
554,0.32546857,0.25601563,-0.44788983,0.90471756
555,-1.2388097,0.7975158,0.18980512,0.19534552
556,0.13305943,-1.2966303,-0.069432124,0.8765955
557,-0.64109486,0.3546782,0.26577628,0.8784162
558,-0.17663705,-1.6855164,0.43139845,0.7474222
559,1.113501,-1.8115866,0.3076819,0.37367368
560,0.85979146,-0.12201165,-0.7602628,0.09989941
561,1.1280756,1.4311764,-0.28865963,0.7662928
562,0.4013788,0.22315578,0.36230698,0.5995399
563,0.8769947,1.5713178,0.63196206,0.6372036
564,1.3568859,-1.183058,0.7441524,0.54189074
565,0.78585374,-0.36330533,-0.5125679,0.31463528
566,0.7029788,1.0206009,1.0729526,0.33368003
567,0.6103929,-1.0757521,-0.43339443,0.13629878
568,0.12850648,0.4389298,0.7589333,0.47543824
