,x1,x2,x3
828,-2.0913289,-2.040855,-4.0709195
840,-1.0497966,-0.9939999,-2.0502834
727,-0.79677445,-1.0557003,-1.7581961
682,-0.63857937,-1.2724805,-1.9374093
868,-0.10026957,-0.0057421997,-0.32253978
965,-1.280059,-1.0636337,-2.482509
624,-0.9823627,-1.321892,-2.3231504
712,-1.4958684,-2.6155303,-4.066936
542,-1.1968989,-1.277401,-2.6430283
794,-0.7427684,-0.044579268,-0.94847757
696,-0.55837387,0.07697445,-0.6188571
695,-0.9509766,-1.4557216,-2.3571057
937,-1.070297,-0.64096355,-1.7779701
602,-1.47348,-1.1611733,-2.6602333
782,-1.4240497,-1.0985539,-2.5092103
587,-2.802066,-1.4942465,-4.3156557
945,-0.11934932,-0.08287338,-0.25738224
812,-1.086133,-1.7952464,-2.97324
521,-0.6767583,-1.4134266,-2.1161535
643,-1.1286824,-1.0173653,-2.102669
925,-0.10435326,-0.32726365,-0.5180675
786,-2.2230453,-2.2754934,-4.5783305
873,-1.5038956,-1.7200705,-3.320414
634,-0.22462574,-0.22683409,-0.3678272
777,-2.2824721,-1.8097491,-4.101055
657,-0.49433354,-0.3182783,-0.84407866
870,-0.6953237,-0.6880252,-1.3441442
901,-1.3477297,-1.3611248,-2.7563322
577,-0.8270702,-0.774581,-1.7726306
852,-2.2376473,-1.9787624,-4.2105865
618,-0.31153584,-0.826927,-1.1397598
946,-0.36336693,-0.50349754,-0.9036137
847,-0.5743498,-0.55458575,-0.9297211
507,-0.5105252,-0.046143174,-0.59087765
844,-0.91199076,-1.4694415,-2.4215012
501,-0.7746557,-0.90585953,-1.7069815
793,-0.39094713,-0.92990434,-1.2673855
832,-0.74746794,-1.1944968,-1.7819486
988,-1.1424952,-2.1707015,-3.6039157
899,-0.7399829,-0.15740156,-0.93876964
730,-0.081474185,-0.39349756,-0.41197243
889,-1.7655729,-0.9340517,-2.700722
619,-1.8634042,-2.5683126,-4.495262
767,-0.30894563,-0.1662034,-0.43787777
764,-0.14072724,-0.30733883,-0.12811896
833,-0.20034483,-0.17904297,-0.2472768
668,-0.6420236,-1.2351904,-1.7561347
811,-0.13580768,-0.27292854,-0.26839182
768,-0.31724915,-1.0715238,-1.3734238
681,-1.4423825,-1.8268044,-3.348594
977,-1.1225909,-0.8397598,-1.7615043
978,-0.011025166,-0.27707964,-0.41268614
933,-1.1701484,-1.2132477,-2.534812
887,-1.5095205,-2.234861,-3.6343722
503,-0.7579775,-1.5096653,-2.3331637
614,-1.3330159,-1.8431256,-3.0993803
583,-1.9919261,-2.401258,-4.496008
963,-0.072303094,-0.21394971,-0.33856913
647,-0.0216094,-0.377784,-0.431745
903,-2.527259,-2.948249,-5.6191044
512,-0.6180423,-0.56063443,-1.1804584
913,-0.5071398,-0.64314777,-1.325685
752,-0.26998302,-0.50630367,-0.95326304
702,-0.60364467,-0.7182249,-1.2728226
757,-1.2437538,-0.73210996,-1.8760006
644,-1.1728078,-1.129294,-2.2195287
658,0.22188614,-0.51638347,-0.32878062
956,-0.9784701,-0.85291636,-1.937399
771,-1.4520206,-0.48768306,-1.9777004
530,-1.7034131,-1.78541,-3.412089
916,-0.61494553,-0.88877165,-1.4413358
625,-0.83674777,-0.53406334,-1.1838547
632,-1.1960114,-0.6312139,-1.8200141
769,-0.49315074,0.025864571,-0.43786636
968,-1.3252301,-1.7611359,-3.039589
756,0.15880151,-0.51072526,-0.4949022
962,-1.0867802,0.045294046,-0.9702739
897,-0.6229334,-0.6964507,-1.323201
783,-1.0295835,-0.90592325,-1.9965658
735,-0.52257335,-0.3115458,-0.89755386
732,-0.29918683,-0.15900007,-0.3657482
547,-2.4474115,-1.740195,-4.255575
692,-0.31171495,-0.64187586,-0.7938738
553,-1.9248438,-2.5942173,-4.45054
621,-1.7611865,-2.7212896,-4.473105
669,-0.14682357,-0.3178136,-0.5259128
649,-0.5795474,-0.4236174,-0.9781068
876,-1.669421,-1.6200472,-3.209891
502,-0.7999629,-0.8430151,-1.6209705
535,0.106774405,-0.60344213,-0.4524177
848,0.2406304,-0.53051484,-0.25294185
834,-1.4944547,-1.3309861,-2.838676
958,-1.0367559,-1.4728141,-2.5762992
564,-0.41080368,0.006712824,-0.43693542
894,-0.25381982,-0.16861068,-0.4174038
804,-1.8572042,-1.7240274,-3.4837713
700,-0.71587855,-0.44353995,-1.309245
881,-0.6038064,-1.0463749,-1.7335663
549,-1.674704,-1.6094688,-3.3666825
743,-0.75376433,-1.6854604,-2.4918222
