ix,goal_cost,intv_cost
763,0.757,6.0
688,0.764,4.6
619,0.816,1.0
896,0.894,0.9
703,0.758,6.6
953,0.917,4.6
978,0.827,1.2
817,0.761,5.5
607,0.765,10.0
838,0.753,6.4
967,0.751,3.5999999999999996
979,0.87,2.0
668,0.754,10.0
921,0.756,1.1
581,0.764,4.6
720,0.883,0.9
578,0.766,9.2
926,0.773,5.7
624,0.752,3.1
670,0.772,7.9
638,0.76,1.4000000000000001
809,0.811,1.1
890,0.755,5.6
613,0.753,5.3
647,0.76,2.4000000000000004
714,0.811,0.9
654,0.755,5.9
522,0.83,1.2
726,0.752,3.7
743,0.76,6.1
993,0.751,4.4
649,0.758,5.4
755,0.757,2.1
502,0.76,2.6
661,0.753,2.8
567,0.757,4.7
563,0.756,12.3
663,0.769,3.4
939,0.757,3.7
500,0.761,8.6
733,0.751,5.0
753,0.761,5.0
552,0.77,9.0
829,0.775,0.9
739,0.76,5.199999999999999
771,0.763,6.6
715,0.81,1.1
833,0.782,1.8
605,0.777,0.7
954,0.921,1.2
568,0.756,1.7
791,0.764,3.9000000000000004
760,0.761,5.699999999999999
808,0.756,2.3
797,0.758,11.9
604,0.788,4.6
566,0.766,3.8
794,0.765,6.5
897,0.761,3.6999999999999997
886,0.751,10.200000000000001
678,0.757,7.0
560,0.753,6.199999999999999
891,0.756,4.300000000000001
983,0.764,4.8
615,0.754,2.4
746,0.77,2.7
565,0.755,3.9000000000000004
697,0.862,0.9
710,0.892,0.9
606,0.772,3.0
721,0.85,1.9000000000000001
623,0.856,1.0
717,0.752,7.9
914,0.752,8.4
734,0.764,5.1
774,0.779,1.4
509,0.753,5.3
934,0.758,6.699999999999999
909,0.755,5.300000000000001
599,0.77,1.7
865,0.763,4.6
893,0.763,3.0
798,0.766,3.5
575,0.754,3.3
592,0.767,2.7
986,0.76,3.5
627,0.766,5.9
802,0.76,8.3
521,0.771,1.9
782,0.753,4.6
637,0.756,5.5
507,0.861,0.9
658,0.771,1.9
882,0.761,3.0
948,0.759,8.5
853,0.854,0.8
900,0.757,1.5999999999999999
864,0.765,5.4
837,0.755,4.6
761,0.771,14.0
