,x1,x2,x3
727,-0.2,0.3,2.0
982,-0.0,0.0,0.7
688,0.1,0.1,0.0
850,0.1,0.3,0.1
806,-0.1,0.1,0.1
740,0.1,-0.6,-0.2
987,0.1,-0.1,0.1
718,-0.2,-0.0,-0.1
619,-0.6,-0.0,-0.0
676,-0.3,-0.1,0.4
596,0.0,0.0,-0.7
978,-0.1,0.1,0.1
624,0.1,-0.0,0.7
650,0.0,-0.1,-0.6
711,-0.0,0.0,0.5
673,0.3,-0.0,-0.1
739,-0.1,-0.0,0.0
642,0.1,0.0,3.0
720,-0.0,0.0,0.2
872,0.2,0.1,-0.0
731,0.3,-0.1,2.0
587,-0.1,-0.1,1.8
842,0.1,-0.0,-0.0
590,-0.1,0.0,0.0
881,0.4,0.0,0.9
674,0.5,-0.2,1.1
734,0.1,0.0,0.0
661,0.3,0.0,0.1
656,-0.0,0.0,0.1
738,0.3,0.0,0.2
892,0.1,-0.0,-0.4
867,-0.1,0.0,0.1
870,-0.2,0.0,-0.0
771,0.3,0.0,1.1
632,0.5,-0.0,-0.1
707,0.6,-0.0,-0.0
940,0.1,0.0,0.5
520,0.2,0.0,-0.1
741,0.0,0.0,0.4
969,-0.7,-0.1,0.1
791,0.1,-0.0,-0.5
887,-0.1,0.1,-0.1
629,-0.1,-0.1,0.0
543,0.0,-0.4,-0.1
808,-0.0,0.0,1.0
954,0.0,-0.0,-0.5
534,0.1,0.1,-0.2
657,0.9,0.2,0.3
836,0.3,0.0,0.4
617,-0.1,0.0,-0.0
644,0.3,-0.0,0.0
775,0.2,-0.0,1.2
882,-0.4,0.0,-0.0
719,-0.0,0.1,0.5
516,0.5,0.1,-0.1
748,-0.1,0.0,0.4
827,0.4,-0.0,-0.0
802,-0.3,0.0,0.0
900,0.1,0.3,0.9
693,0.5,0.1,2.6
959,0.7,0.4,0.9
903,-0.3,0.0,-0.1
761,-0.6,-0.0,-0.0
706,0.2,0.0,0.0
578,-0.0,0.0,0.1
662,0.3,-0.0,0.5
702,0.1,0.0,-0.1
766,1.0,-0.0,2.1
737,-1.1,0.0,0.0
822,-0.0,0.0,0.7
692,-0.0,-0.1,0.1
671,0.1,0.0,0.3
722,-0.6,0.0,-0.5
785,0.0,0.0,0.1
860,0.3,-0.0,0.7
542,-0.2,-0.0,0.0
522,-0.1,0.1,0.7
914,-0.5,0.0,0.0
639,0.4,0.3,3.8
810,0.3,-0.2,-0.0
726,-0.1,-0.0,0.0
605,-0.2,-0.0,-0.1
948,-0.9,0.0,0.2
990,0.0,0.0,-0.1
902,0.3,-0.0,1.2
792,0.2,-0.2,0.8
968,0.1,0.0,0.2
844,-0.2,0.0,-0.4
815,0.1,0.0,0.0
564,0.8,0.3,2.9
960,1.1,0.6,3.8
602,0.1,0.0,0.0
938,0.1,-0.0,0.0
509,-0.7,-0.0,0.1
581,-0.5,0.0,0.0
583,0.3,0.1,0.1
998,-0.9,-0.0,0.0
830,0.4,-0.0,0.1
615,-0.5,-0.1,-0.4
638,0.1,0.0,0.7
