ix,goal_cost,intv_cost
996,1.0,0.30000000000000004
953,1.0,2.3
759,1.0,0.2
735,0.756,3.9
502,1.0,4.0
632,1.0,2.0
843,1.0,0.8
744,1.0,2.6
896,1.0,1.2
888,1.0,2.1
509,1.0,1.1
717,1.0,0.2
668,1.0,0.6
853,1.0,0.7999999999999999
677,1.0,4.800000000000001
743,1.0,3.8000000000000003
916,1.0,1.8
585,1.0,0.6
819,1.0,0.9
842,1.0,0.5
783,1.0,0.4
686,0.906,1.2000000000000002
854,1.0,1.2
784,1.0,0.7
942,1.0,0.1
791,1.0,1.4
957,1.0,1.0
982,1.0,1.9
938,1.0,0.7999999999999999
592,1.0,0.7000000000000001
799,1.0,1.4
824,0.894,1.5
921,1.0,0.30000000000000004
979,1.0,1.8
711,1.0,0.30000000000000004
855,1.0,0.4
878,1.0,1.8
920,1.0,1.9000000000000001
596,0.85,0.4
874,1.0,1.3
944,1.0,2.6
815,1.0,0.6000000000000001
748,1.0,2.1
901,0.912,0.6
969,1.0,0.4
948,1.0,0.6000000000000001
609,1.0,4.6
828,1.0,1.4
679,1.0,0.4
689,0.766,1.9000000000000001
594,1.0,2.2
546,0.908,1.2
883,1.0,1.1
891,0.848,0.4
673,0.862,0.2
862,0.806,1.5
741,1.0,0.2
540,1.0,0.7
851,1.0,2.4
611,1.0,0.6000000000000001
739,1.0,1.3
703,1.0,0.3
623,0.85,0.7
663,1.0,1.5
745,1.0,1.6
676,1.0,3.2
536,0.798,0.4
635,1.0,2.3
994,1.0,1.7
863,1.0,0.30000000000000004
670,1.0,0.2
761,1.0,2.6999999999999997
852,1.0,1.2
955,0.854,0.30000000000000004
977,0.832,0.1
919,1.0,0.8999999999999999
662,1.0,1.1
973,1.0,0.5
724,1.0,0.6
510,1.0,0.2
811,1.0,2.3000000000000003
885,1.0,1.2
886,1.0,2.3
595,0.842,0.9
537,1.0,2.8
518,1.0,1.2999999999999998
774,1.0,0.8999999999999999
958,1.0,0.8
655,1.0,0.4
685,1.0,1.3
796,1.0,2.5
631,1.0,3.3000000000000003
696,1.0,1.7000000000000002
605,1.0,1.4
731,1.0,1.6
939,0.78,0.4
777,1.0,1.9000000000000001
586,1.0,4.300000000000001
752,1.0,0.7
928,1.0,0.3
