,h_post,h_post_individualized
669,0.49930310318339965,0.7532624006271362
953,0.5179598842498649,1.0
906,0.5085550468511276,0.7389795184135437
967,0.5090343041995791,0.7419937252998352
722,0.5138106176200341,1.0
842,0.5128893960215292,1.0
622,0.5122783183550716,1.0
695,0.45256368577079303,0.9465702772140503
780,0.5128893960215292,1.0
994,0.5084230812415633,0.6280041337013245
555,0.5164550869862723,1.0
884,0.5121767991933174,0.6690281629562378
890,0.4930919071755428,0.7569030523300171
965,0.45277026930706854,0.958189070224762
631,0.5109638708500273,0.730038583278656
838,0.5033395019955721,1.0
548,0.5138106176200341,0.6071582436561584
765,0.50505722626343,0.10472321510314941
769,0.5117506421039207,1.0
591,0.5066120156134264,1.0
565,0.5093241075781156,1.0
654,0.5127514481474258,1.0
701,0.5147487856969034,0.6510177850723267
893,0.5197796318984251,1.0
619,0.5093241075781156,1.0
821,0.5185835111595533,1.0
683,0.5104837389461253,0.7208185195922852
857,0.5142388578784983,1.0
817,0.504543010574055,1.0
616,0.5060656815125635,1.0
847,0.5136290489886479,1.0
521,0.515967910309947,0.5847898125648499
808,0.5122783183550716,1.0
779,0.4977256025190517,0.06160367280244827
502,0.5086798522047146,0.6510230302810669
880,0.5095451816978442,0.6487077474594116
755,0.5095451816978442,0.7116320729255676
990,0.5079556058257014,0.6771880388259888
966,0.5114726220893759,1.0
682,0.5053346109962732,0.6215676665306091
602,0.5095451816978442,1.0
672,0.4977086199928757,0.018763255327939987
846,0.5095451816978442,0.5570383071899414
960,0.5066120156134264,1.0
536,0.49733675777704983,0.28787195682525635
859,0.5116639883249209,1.0
802,0.5073977750472146,0.6877395510673523
668,0.5122216322994846,1.0
752,0.517153308022504,1.0
886,0.5074194285301263,1.0
500,0.5128893960215292,1.0
810,0.4951058741132348,0.5589307546615601
983,0.5084856089962885,0.6748990416526794
659,0.5073977750472146,0.7129144072532654
908,0.49292702275080796,0.15659333765506744
850,0.5066752035624482,0.8061635494232178
799,0.5058079894685472,1.0
562,0.5116639883249209,1.0
649,0.4977086199928757,0.06108209490776062
679,0.5023445939818384,1.0
959,0.4977256025190517,1.0
823,0.5066120156134264,1.0
887,0.5138106176200341,1.0
876,0.5138106176200341,0.6066427230834961
694,0.5101313738119356,1.0
714,0.5193096446407491,1.0
532,0.510686718669542,0.6990615725517273
607,0.5138106176200341,0.7653017044067383
699,0.5185835111595533,0.32268399000167847
736,0.50006650303207,1.0
568,0.500607482216166,0.4040592610836029
662,0.515024474061709,1.0
709,0.5093410845416669,1.0
827,0.5093410845416669,1.0
646,0.511455648137164,1.0
775,0.5000495201520919,0.2769854962825775
605,0.5055432304603606,0.08206372708082199
941,0.5074822814061575,1.0
851,0.5101313738119356,1.0
806,0.49361662252101185,0.7598212957382202
899,0.5060826618863986,0.3449830412864685
704,0.5093241075781156,0.3343382775783539
750,0.6860197620045111,1.0
860,0.5146175368850296,1.0
803,0.5066120156134264,1.0
640,0.5095451816978442,1.0
811,0.5074822814061575,0.23633897304534912
545,0.5088323776733455,0.6593097448348999
749,0.5104837389461253,0.7409166693687439
784,0.4977256025190517,1.0
716,0.517153308022504,1.0
706,0.4998580514244432,1.0
561,0.5185835111595533,1.0
677,0.5095451816978442,0.6901324391365051
552,0.5105533543102185,0.2779085338115692
889,0.5105533543102185,0.1979556828737259
945,0.50505722626343,0.5988192558288574
609,0.5095451816978442,0.5663033723831177
961,0.4977256025190517,0.06601246446371078
861,0.5114712019452872,0.7216957807540894
